caseid,task,start_timestamp,end_timestamp,resource
0,Create Purchase Requisition,2017-08-14 08:00:00.0,2017-08-14 08:34:41.234,Role 1
0,Analyze Purchase Requisition,2017-08-14 08:34:41.234,2017-08-14 08:39:49.913,Role 2
0,Create Request for Quotation,2017-08-14 08:39:49.913,2017-08-14 08:41:49.846,Role 2
0,Analyze Request for Quotation,2017-08-14 08:41:49.846,2017-08-14 09:24:10.691,Role 4
0,Amend Request for Quotation,2017-08-14 09:24:10.691,2017-08-14 09:34:32.161,Role 8
0,Analyze Request for Quotation,2017-08-14 09:34:32.161,2017-08-14 09:42:05.174,Role 4
0,Amend Request for Quotation,2017-08-14 09:42:05.174,2017-08-14 09:49:26.176,Role 8
0,Analyze Request for Quotation,2017-08-14 09:49:26.176,2017-08-14 10:27:35.603,Role 4
0,Send Request for Quotation to Supplier,2017-08-14 10:27:35.603,2017-08-14 10:50:32.1,Role 4
1,Create Purchase Requisition,2017-08-14 13:05:44.395,2017-08-14 13:41:12.394,Role 1
1,Analyze Purchase Requisition,2017-08-14 13:41:12.394,2017-08-14 14:16:07.889,Role 2
1,Create Request for Quotation,2017-08-14 14:16:07.889,2017-08-14 14:17:12.328,Role 2
1,Analyze Request for Quotation,2017-08-14 14:17:12.328,2017-08-14 14:28:07.745,Role 4
1,Amend Request for Quotation,2017-08-14 14:28:07.745,2017-08-14 14:37:03.912,Role 8
1,Analyze Request for Quotation,2017-08-14 14:37:03.912,2017-08-14 14:49:36.04,Role 4
1,Amend Request for Quotation,2017-08-14 14:49:36.04,2017-08-14 14:56:20.694,Role 8
1,Analyze Request for Quotation,2017-08-14 14:56:20.694,2017-08-14 15:21:01.959,Role 4
1,Send Request for Quotation to Supplier,2017-08-14 15:21:01.959,2017-08-14 15:28:45.443,Role 4
0,Create Quotation comparison Map,2017-08-14 10:50:32.1,2017-08-14 16:50:20.769,Role 4
0,Analyze Quotation Comparison Map,2017-08-14 16:50:20.769,2017-08-14 17:22:57.914,Role 1
0,Choose best option,2017-08-14 17:22:57.914,2017-08-14 17:22:57.914,Role 8
1,Create Quotation comparison Map,2017-08-14 15:28:45.443,2017-08-14 21:23:16.247,Role 4
0,Settle Conditions With Supplier,2017-08-14 17:22:57.914,2017-08-14 21:33:37.736,Role 4
1,Analyze Quotation Comparison Map,2017-08-14 21:23:16.247,2017-08-14 21:36:47.358,Role 1
1,Choose best option,2017-08-14 21:36:47.358,2017-08-14 21:36:47.358,Role 8
0,Create Purchase Order,2017-08-14 21:33:37.736,2017-08-14 21:40:03.596,Role 4
0,Confirm Purchase Order,2017-08-14 21:40:03.596,2017-08-14 22:04:36.55,Role 11
2,Create Purchase Requisition,2017-08-14 22:15:10.183,2017-08-14 22:26:37.521,Role 1
2,Analyze Purchase Requisition,2017-08-14 22:26:37.521,2017-08-14 22:30:08.113,Role 2
2,Create Request for Quotation,2017-08-14 22:30:08.113,2017-08-14 22:32:02.759,Role 2
2,Analyze Request for Quotation,2017-08-14 22:32:02.759,2017-08-14 22:46:14.469,Role 4
2,Amend Request for Quotation,2017-08-14 22:46:14.469,2017-08-14 23:00:11.306,Role 8
3,Create Purchase Requisition,2017-08-14 22:40:24.055,2017-08-14 23:06:08.271,Role 1
3,Analyze Purchase Requisition,2017-08-14 23:06:08.271,2017-08-14 23:09:33.721,Role 2
3,Create Request for Quotation,2017-08-14 23:09:33.721,2017-08-14 23:11:08.751,Role 2
3,Analyze Request for Quotation,2017-08-14 23:11:08.751,2017-08-14 23:31:35.538,Role 4
2,Analyze Request for Quotation,2017-08-14 23:00:11.306,2017-08-14 23:35:37.63,Role 4
3,Amend Request for Quotation,2017-08-14 23:31:35.538,2017-08-14 23:42:20.963,Role 8
2,Amend Request for Quotation,2017-08-14 23:35:37.63,2017-08-14 23:47:31.633,Role 8
3,Analyze Request for Quotation,2017-08-14 23:42:20.963,2017-08-15 00:01:25.916,Role 4
2,Analyze Request for Quotation,2017-08-14 23:47:31.633,2017-08-15 00:11:33.315,Role 4
3,Amend Request for Quotation,2017-08-15 00:01:25.916,2017-08-15 00:13:28.685,Role 8
2,Send Request for Quotation to Supplier,2017-08-15 00:11:33.315,2017-08-15 00:27:35.938,Role 4
3,Analyze Request for Quotation,2017-08-15 00:13:28.685,2017-08-15 00:42:28.652,Role 4
3,Send Request for Quotation to Supplier,2017-08-15 00:42:28.652,2017-08-15 01:00:33.737,Role 4
1,Settle Conditions With Supplier,2017-08-14 21:36:47.358,2017-08-15 01:38:21.161,Role 4
1,Create Purchase Order,2017-08-15 01:38:21.161,2017-08-15 01:44:22.389,Role 4
1,Confirm Purchase Order,2017-08-15 01:44:22.389,2017-08-15 02:03:05.657,Role 11
0,Deliver Goods Services,2017-08-14 22:04:36.55,2017-08-15 03:35:56.449,Role 11
0,Release Purchase Order,2017-08-15 03:35:56.449,2017-08-15 03:36:56.449,Role 8
0,Approve Purchase Order for payment,2017-08-15 03:36:56.449,2017-08-15 03:37:56.449,Role 4
0,Send Invoice,2017-08-15 03:37:56.449,2017-08-15 03:37:56.449,Role 11
0,Release Supplier's Invoice,2017-08-15 03:37:56.449,2017-08-15 03:43:07.825,Role 16
0,Authorize Supplier's Invoice payment,2017-08-15 03:43:07.825,2017-08-15 03:43:07.825,Role 16
0,Pay Invoice,2017-08-15 03:43:07.825,2017-08-15 03:55:08.402,Role 16
4,Create Purchase Requisition,2017-08-15 04:11:17.419,2017-08-15 04:29:14.697,Role 1
4,Analyze Purchase Requisition,2017-08-15 04:29:14.697,2017-08-15 04:34:55.079,Role 2
4,Create Request for Quotation,2017-08-15 04:34:55.079,2017-08-15 04:38:18.506,Role 2
4,Analyze Request for Quotation,2017-08-15 04:38:18.506,2017-08-15 05:06:40.342,Role 4
4,Amend Request for Quotation,2017-08-15 05:06:40.342,2017-08-15 05:15:53.18,Role 8
2,Create Quotation comparison Map,2017-08-15 00:27:35.938,2017-08-15 05:40:13.715,Role 4
4,Analyze Request for Quotation,2017-08-15 05:15:53.18,2017-08-15 05:46:23.683,Role 4
2,Analyze Quotation Comparison Map,2017-08-15 05:40:13.715,2017-08-15 06:05:36.431,Role 1
2,Choose best option,2017-08-15 06:05:36.431,2017-08-15 06:05:36.431,Role 8
4,Send Request for Quotation to Supplier,2017-08-15 05:46:23.683,2017-08-15 06:17:46.883,Role 4
3,Create Quotation comparison Map,2017-08-15 01:00:33.737,2017-08-15 06:33:35.462,Role 4
3,Analyze Quotation Comparison Map,2017-08-15 06:33:35.462,2017-08-15 06:42:58.303,Role 1
3,Choose best option,2017-08-15 06:42:58.303,2017-08-15 06:42:58.303,Role 8
1,Deliver Goods Services,2017-08-15 02:03:05.657,2017-08-15 08:55:47.559,Role 11
1,Release Purchase Order,2017-08-15 08:55:47.559,2017-08-15 08:56:47.559,Role 8
5,Create Purchase Requisition,2017-08-15 10:27:25.844,2017-08-15 10:47:36.286,Role 1
