caseid,resource,processing,waiting,avg_process_time,avg_waiting_time,cycle_time,start_time
0,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[3111.311, 450.164, 60.271, 2039.239, 287.462, 1493.533, 1673.709, 15173.361, 1015.213, 0.0, 30747.999, 509.36, 1899.2, 164798.995, 60.0, 60.0, 0.0, 281.734, 0.0, 361.25]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 966.307, 0.0, 0.0, 0.0, 0.0, 89004.759, 0.0, 0.0, 0.0]",11201.14005,4498.5533000000005,313993.867,2017-08-14 08:00:00
1,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[3399.724, 793.064, 80.396, 1362.548, 1930.441, 14250.958, 797.255, 0.0, 24529.143, 492.693, 1816.583, 53593.119, 60.0, 60.0, 0.0, 374.9, 0.0, 763.116]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 45009.586, 0.0, 0.0, 0.0]",5794.663333333334,2500.5325555555555,149313.526,2017-08-14 11:06:21.769000
2,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[420.658, 206.273, 103.436, 1015.109, 731.718, 6599.978, 1973.97, 0.0, 17050.067, 635.502, 246.684, 52062.622, 60.0, 60.0, 0.0, 398.24, 0.0, 417.367]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 509.36, 0.0, 0.0, 0.0, 0.0, 48764.542, 0.0, 0.0, 0.0]",4554.534666666666,2737.4390000000003,131255.526,2017-08-14 16:01:57.360000
3,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1815.238, 444.593, 86.118, 441.705, 645.96, 1836.751, 797.719, 19163.039, 387.464, 0.0, 17140.842, 753.814, 827.504, 48884.542, 60.0, 60.0, 0.0, 131.818, 0.0, 304.124]","[0.0, 0.0, 0.0, 13946.081, 0.0, 1023.504, 0.0, 0.0, 0.0, 0.0, 5240.749, 1025.571, 878.21, 4257.643, 0.0, 1389.637, 1314.792, 0.0, 0.0, 0.0]",4689.061549999999,1453.80935,122857.41799999998,2017-08-14 19:02:40.232000
4,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[2598.661, 484.763, 84.289, 1873.085, 1380.308, 17042.629, 433.12, 0.0, 15516.585, 426.212, 1632.024, 117092.887, 60.0, 60.0, 0.0, 207.505, 0.0, 689.189]","[0.0, 0.0, 0.0, 1741.005, 0.0, 0.0, 0.0, 0.0, 2214.189, 8375.471, 0.0, 1737.393, 0.0, 0.0, 89013.013, 0.0, 0.0, 0.0]",8865.62538888889,5726.726166666667,262662.32800000004,2017-08-14 22:19:45.249000
5,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16', 'Role 16']","[1009.064, 202.214, 118.991, 815.036, 321.542, 1156.925, 323.585, 1673.493, 1834.525, 6320.91, 893.976, 0.0, 28648.255, 576.735, 909.889, 97162.986, 60.0, 60.0, 0.0, 331.197, 812.778, 0.0, 333.423]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 779.397, 1180.026, 1128.979, 7102.71, 0.0, 0.0, 5189.131, 0.0, 0.0, 0.0, 0.0]",6241.979304347825,668.7062173913044,158945.767,2017-08-15 00:27:11.441000
6,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[892.178, 104.503, 88.511, 1673.373, 1038.642, 3215.763, 1826.545, 0.0, 44934.883, 471.877, 1580.755, 30344.707, 60.0, 60.0, 0.0, 162.495, 0.0, 794.705]","[0.0, 0.0, 0.0, 3210.209, 2108.89, 2132.309, 0.0, 0.0, 9950.635, 12509.432, 6487.204, 1243.674, 0.0, 0.0, 24053.395, 0.0, 0.0, 0.0]",4847.163166666666,3427.541555555556,148944.685,2017-08-15 03:05:12.325000
7,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[3253.365, 451.813, 164.116, 1608.667, 552.336, 2412.45, 8281.24, 10008.228, 1105.766, 0.0, 28476.522, 629.912, 1243.674, 127774.293, 60.0, 60.0, 0.0, 331.016, 0.0, 566.46]","[0.0, 0.0, 0.0, 1497.262, 0.0, 3187.069, 17140.842, 0.0, 0.0, 0.0, 442.5, 1825.824, 7438.047, 30344.707, 0.0, 6001.521, 26352.14, 0.0, 0.0, 0.0]",9348.9929,4711.4956,281209.76999999996,2017-08-15 04:07:42.075000
8,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[3359.798, 827.227, 128.257, 1429.116, 514.936, 778.25, 540.457, 1531.191, 506.515, 1548.266, 2251.596, 8873.031, 513.035, 0.0, 21845.886, 482.637, 1454.911, 87308.594, 60.0, 60.0, 0.0, 234.088, 0.0, 326.151]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 923.035, 0.0, 148.319, 7344.703, 18560.964, 0.0, 0.0, 755.858, 699.076, 29403.106, 9465.338, 0.0, 3253.266, 5400.978, 0.0, 0.0, 0.0]",5607.247583333334,3164.7767916666667,210528.58500000002,2017-08-15 14:38:52.362000
9,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1021.475, 183.621, 93.846, 1260.744, 1095.346, 6501.032, 707.183, 0.0, 37424.844, 699.076, 1906.942, 136074.559, 60.0, 60.0, 0.0, 121.368, 0.0, 853.709]","[0.0, 0.0, 0.0, 0.0, 1531.191, 1103.848, 0.0, 0.0, 2871.057, 12644.863, 27978.801, 3402.189, 0.0, 36236.597, 0.0, 0.0, 0.0, 0.0]",10447.985833333334,4764.919222222223,273832.291,2017-08-15 16:17:53.752000
10,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[3348.933, 260.383, 148.959, 479.067, 286.14, 1353.947, 1208.893, 14595.145, 467.826, 0.0, 35013.676, 377.698, 1824.419, 41536.462, 60.0, 60.0, 0.0, 187.963, 0.0, 351.972]","[0.0, 0.0, 0.0, 9430.708, 0.0, 18115.016, 7199.825, 9261.023, 0.0, 0.0, 0.0, 0.0, 91004.18, 1961.969, 0.0, 34673.494, 0.0, 0.0, 0.0, 0.0]",5078.07415,8582.31075,273207.698,2017-08-15 17:02:55.045000
11,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1617.517, 201.159, 98.553, 1103.848, 847.577, 10836.226, 771.644, 0.0, 37447.605, 471.138, 1947.278, 134143.278, 60.0, 60.0, 0.0, 146.139, 0.0, 809.186]","[0.0, 0.0, 0.0, 392.124, 6501.032, 9976.334, 0.0, 0.0, 2003.351, 0.0, 23333.802, 7526.314, 0.0, 33213.406, 0.0, 0.0, 0.0, 0.0]",10586.730444444443,4608.131277777778,273507.511,2017-08-15 17:05:50.622000
12,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16', 'Role 16']","[1496.304, 65.475, 47.284, 978.218, 494.641, 1474.683, 858.904, 1079.832, 618.938, 1261.599, 770.995, 1678.261, 316.658, 1306.792, 1002.092, 2461.533, 1217.256, 14261.147, 576.939, 0.0, 47993.998, 533.515, 1705.452, 96472.196, 60.0, 60.0, 0.0, 124.992, 1805.643, 0.0, 352.128]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5102.762, 25818.625, 408.197, 0.0, 26284.228, 38038.363, 0.0, 0.0, 0.0, 0.0]",5841.14435483871,3085.554032258064,276727.65,2017-08-17 03:02:37.918000
13,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16', 'Role 16']","[3221.836, 698.097, 147.604, 2419.294, 682.13, 1856.127, 950.864, 1395.768, 2077.623, 8152.253, 1532.08, 0.0, 22510.405, 672.718, 1961.969, 78015.724, 60.0, 60.0, 0.0, 384.068, 1025.607, 0.0, 490.943]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 18688.041, 4987.856, 0.0, 2837.496, 111335.014, 0.0, 0.0, 0.0, 0.0]",5578.917826086957,5993.409000000001,266163.517,2017-08-17 04:59:06.043000
14,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[2348.818, 126.748, 139.198, 1915.361, 669.317, 929.889, 1021.026, 18432.283, 1292.938, 0.0, 23601.394, 726.956, 408.197, 155759.628, 60.0, 60.0, 0.0, 203.784, 0.0, 824.657]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 992.648, 26397.988, 1961.296, 0.0, 16609.673, 128671.597, 0.0, 0.0, 0.0]",10426.0097,8731.6601,383153.396,2017-08-17 12:38:05.257000
15,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16', 'Role 16']","[1624.207, 156.944, 96.123, 1740.879, 902.116, 1609.925, 634.314, 1287.996, 1608.015, 19502.988, 434.812, 0.0, 42296.713, 544.84, 1756.376, 150398.901, 60.0, 60.0, 0.0, 143.308, 851.733, 0.0, 577.895]","[0.0, 0.0, 0.0, 0.0, 0.0, 1066.198, 0.0, 462.17, 2733.351, 1837.826, 0.0, 0.0, 1431.179, 11359.56, 0.0, 1130.842, 0.0, 23933.183, 107200.205, 0.0, 0.0, 0.0, 0.0]",9838.612391304348,6571.935391304348,377442.59900000005,2017-08-17 19:35:17.492000
16,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[2462.372, 215.471, 162.496, 1328.643, 1030.994, 1096.484, 676.077, 1353.598, 932.723, 17703.055, 745.488, 0.0, 38976.076, 684.34, 459.214, 174768.915, 60.0, 60.0, 0.0, 248.077, 0.0, 595.512]","[0.0, 0.0, 0.0, 0.0, 0.0, 578.931, 0.0, 1991.672, 2513.118, 5657.184, 0.0, 0.0, 7365.74, 6127.382, 738.831, 56225.348, 0.0, 21108.626, 37195.457, 0.0, 0.0, 0.0]",11070.887954545453,6341.013136363636,383061.82399999996,2017-08-17 19:58:54.977000
17,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[2604.323, 203.692, 135.489, 1379.753, 539.61, 845.103, 582.605, 1015.273, 805.393, 399.133, 586.298, 1356.391, 776.966, 1555.238, 972.783, 1083.11, 1733.039, 5489.989, 1831.1, 0.0, 30176.0, 706.27, 671.628, 117486.373, 60.0, 60.0, 0.0, 157.769, 0.0, 251.987]","[0.0, 0.0, 0.0, 1053.147, 0.0, 2482.003, 0.0, 4992.029, 0.0, 3815.611, 0.0, 140.658, 0.0, 491.717, 0.0, 1725.686, 1405.639, 2269.272, 0.0, 0.0, 3926.93, 9371.955, 1050.106, 3640.78, 0.0, 20407.166, 121680.241, 0.0, 0.0, 0.0]",5782.177166666666,5948.431333333333,351918.255,2017-08-17 21:08:21.713000
18,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[3012.262, 285.307, 116.73, 1268.683, 211.024, 1329.645, 862.957, 7640.324, 807.909, 0.0, 18988.217, 597.616, 1709.295, 38248.085, 60.0, 60.0, 0.0, 322.564, 0.0, 423.247]","[0.0, 0.0, 0.0, 632.814, 0.0, 2713.038, 2222.964, 2462.164, 0.0, 0.0, 31386.316, 1942.463, 110737.398, 4199.215, 0.0, 18895.084, 101006.534, 0.0, 0.0, 0.0]",3797.1932500000003,13809.8995,352141.855,2017-08-18 02:23:11.111000
19,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[2031.502, 330.828, 103.23, 1368.824, 1188.431, 1003.034, -54.233, 1326.297, 1094.649, 604.429, 944.049, 5249.946, 821.796, 0.0, 41695.069, 670.055, 1093.401, 64701.051, 60.0, 60.0, 0.0, 156.944, 0.0, 551.788]","[0.0, 0.0, 0.0, 1679.587, 0.0, 1361.144, 0.0, 2053.057, 0.0, 9018.235, 35899.087, 5867.673, 0.0, 0.0, 16658.645, 19402.165, 37368.308, 29155.185, 0.0, 23489.167, 48599.878, 0.0, 0.0, 0.0]",5208.37875,9606.338791666667,355553.221,2017-08-18 03:08:36.998000
20,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1944.549, 117.02, 87.285, 1405.639, 545.017, 1413.879, 1876.481, 7331.383, 1592.629, 0.0, 17222.996, 472.994, 1299.473, 138188.7, 60.0, 60.0, 0.0, 153.528, 0.0, 768.324]","[0.0, 0.0, 0.0, 2409.669, 0.0, 2043.415, 7293.428, 33629.842, 0.0, 0.0, 6268.775, 8451.795, 88726.24, 4203.802, 0.0, 13414.554, 16813.265, 0.0, 0.0, 0.0]",8726.99485,9162.739250000002,357794.68200000003,2017-08-18 04:04:45.201000
21,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[645.445, 107.639, 77.003, 1803.439, 749.505, 1375.732, 799.267, 1588.557, 3289.132, 19704.22, 1551.534, 0.0, 49209.676, 565.236, 1569.514, 106135.969, 60.0, 60.0, 0.0, 130.393, 0.0, 607.867]","[0.0, 0.0, 0.0, 6772.827, 0.0, 33381.086, 0.0, 7903.226, 6572.954, 17428.981, 0.0, 0.0, 15905.568, 5497.77, 3984.452, 106307.617, 0.0, 6818.919, 235551.389, 0.0, 0.0, 0.0]",8637.733090909092,20278.3995,636154.917,2017-08-18 06:15:38.749000
