caseid,resource,processing,waiting,avg_process_time,avg_waiting_time,cycle_time,start_time
0,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[2708.082, 80.546, 90.03, 1669.22, 3926.425, 18732.799, 481.133, 0.0, 47121.968, 665.483, 832.52, 174941.317, 60.0, 60.0, 0.0, 412.1, 0.0, 270.076]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5410.058, 0.0, 0.0, 0.0, 0.0]",14002.872166666666,300.5587777777778,257461.75699999998,2017-08-14 08:00:00
1,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[2933.589, 148.267, 215.661, 1100.744, 1437.329, 13386.271, 720.899, 0.0, 37691.559, 477.165, 1241.19, 165905.11, 60.0, 60.0, 0.0, 132.003, 0.0, 653.618]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9728.364, 0.0, 0.0, 0.0]",12564.633611111109,540.4646666666666,235891.76899999997,2017-08-14 12:29:03.375000
2,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[2738.299, 1185.548, 100.831, 1422.21, 634.762, 1486.119, 231.147, 1629.727, 806.732, 1626.776, 473.222, 2015.212, 1128.175, 1802.741, 841.868, 3594.044, 1341.116, 0.0, 41296.418, 703.575, 820.91, 48625.337, 60.0, 60.0, 0.0, 208.528, 0.0, 542.42]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4120.561321428571,0.0,115375.717,2017-08-14 16:30:55.932000
3,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1516.445, 513.563, 57.6, 1485.942, 293.051, 1656.931, 322.883, 1374.929, 1001.981, 1479.863, 496.197, 1828.909, 1277.262, 10037.523, 1044.946, 0.0, 24116.848, 589.724, 761.882, 108639.2, 60.0, 60.0, 0.0, 185.837, 0.0, 883.857]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2043.255, 0.0, 0.0, 0.0]",6141.745115384615,78.58673076923077,161728.628,2017-08-15 05:10:10.471000
4,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1091.65, 188.326, 85.466, 1909.467, 455.228, 1023.853, 664.121, 900.366, 1966.799, 8884.884, 995.362, 0.0, 28496.612, 719.062, 1509.382, 54688.676, 60.0, 60.0, 0.0, 188.227, 0.0, 852.314]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1779.424, 0.0, 0.0, 0.0]",4760.899772727273,80.8829090909091,106519.219,2017-08-15 08:47:56.281000
5,"['Role 1', 'Role 2', 'Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16', 'Role 16']","[3180.807, 468.364, 1498.339, 343.556, 146.169, 1580.536, 727.89, 1764.854, 960.145, 12176.843, 1855.965, 0.0, 47616.402, 466.76, 957.836, 140717.316, 60.0, 60.0, 0.0, 261.811, 1546.125, 0.0, 818.663]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 299.572, 0.0, 0.0, 0.0, 0.0, 0.0]",9443.842652173911,13.024869565217392,217507.95299999995,2017-08-15 11:52:54.210000
6,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[3145.105, 394.926, 100.583, 1363.047, 837.278, 1553.544, 968.211, 2112.023, 648.605, 1081.212, 1572.333, 14192.853, 690.136, 0.0, 46766.712, 704.673, 340.815, 134431.441, 60.0, 60.0, 0.0, 311.473, 0.0, 515.256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1334.5, 0.0, 3302.721, 0.0, 0.0, 0.0, 900.764, 0.0, 0.0, 0.0]",8827.092749999998,230.74937500000001,217388.21099999995,2017-08-15 19:20:02.412000
7,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1407.015, 551.308, 178.937, 2348.057, 1095.143, 20661.869, 1775.65, 0.0, 17760.583, 658.358, 1899.424, 13215.915, 60.0, 60.0, 0.0, 344.626, 0.0, 510.743]","[0.0, 0.0, 0.0, 0.0, 0.0, 1515.04, 0.0, 0.0, 388.133, 0.0, 1275.754, 0.0, 0.0, 0.0, 220.815, 0.0, 0.0, 0.0]",3473.7571111111115,188.87455555555556,65927.37000000001,2017-08-15 23:47:19.688000
8,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[3296.3, 316.501, 162.611, 1515.04, 486.455, 2024.636, 680.796, 1333.18, 2454.811, 14243.429, 2013.451, 0.0, 35700.373, 566.927, 1785.374, 55518.783, 60.0, 60.0, 0.0, 129.996, 0.0, 240.165]","[0.0, 0.0, 0.0, 14.367, 0.0, 4350.489, 0.0, 13119.493, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7396.922, 377.881, 0.0, 7034.649, 0.0, 0.0, 0.0, 0.0]",5572.219454545454,1467.9000454545453,154882.629,2017-08-16 00:17:10.369000
9,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1375.095, 165.092, 131.521, 1495.97, 827.221, 2462.727, 1734.064, 0.0, 15126.823, 523.226, 377.881, 161415.657, 60.0, 60.0, 0.0, 213.378, 0.0, 768.496]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7484.531, 4531.754, 0.0, 0.0, 640.435, 0.0, 0.0, 0.0]",10374.286166666669,703.151111111111,199393.87100000004,2017-08-16 16:59:25.254000
