caseid,task,start_timestamp,end_timestamp,resource
0,Create Purchase Requisition,2017-08-14 08:00:00.0,2017-08-14 08:08:13.176,Role 1
0,Analyze Purchase Requisition,2017-08-14 08:08:13.176,2017-08-14 08:12:21.433,Role 2
0,Create Request for Quotation,2017-08-14 08:12:21.433,2017-08-14 08:14:04.815,Role 2
0,Analyze Request for Quotation,2017-08-14 08:14:04.815,2017-08-14 08:26:18.55,Role 3
0,Amend Request for Quotation,2017-08-14 08:26:18.55,2017-08-14 08:30:47.087,Role 1
0,Analyze Request for Quotation,2017-08-14 08:30:47.087,2017-08-14 08:47:45.704,Role 3
0,Amend Request for Quotation,2017-08-14 08:47:45.704,2017-08-14 08:56:03.258,Role 1
0,Analyze Request for Quotation,2017-08-14 08:56:03.258,2017-08-14 09:20:00.258,Role 3
0,Amend Request for Quotation,2017-08-14 09:20:00.258,2017-08-14 09:32:08.514,Role 1
0,Analyze Request for Quotation,2017-08-14 09:32:08.514,2017-08-14 10:00:25.832,Role 3
0,Send Request for Quotation to Supplier,2017-08-14 10:00:25.832,2017-08-14 10:12:11.703,Role 3
0,Create Quotation comparison Map,2017-08-14 10:12:11.703,2017-08-14 14:24:08.993,Role 3
0,Analyze Quotation Comparison Map,2017-08-14 14:24:08.993,2017-08-14 14:42:53.836,Role 1
0,Choose best option,2017-08-14 14:42:53.836,2017-08-14 14:42:53.836,Role 1
1,Create Purchase Requisition,2017-08-14 14:39:14.484,2017-08-14 14:45:21.034,Role 1
1,Analyze Purchase Requisition,2017-08-14 14:45:21.034,2017-08-14 14:47:11.527,Role 2
1,Create Request for Quotation,2017-08-14 14:47:11.527,2017-08-14 14:49:44.369,Role 2
1,Analyze Request for Quotation,2017-08-14 14:49:44.369,2017-08-14 15:05:53.42,Role 3
1,Send Request for Quotation to Supplier,2017-08-14 15:05:53.42,2017-08-14 15:23:00.911,Role 3
1,Create Quotation comparison Map,2017-08-14 15:23:00.911,2017-08-14 18:18:59.948,Role 3
1,Analyze Quotation Comparison Map,2017-08-14 18:18:59.948,2017-08-14 18:41:49.658,Role 1
1,Choose best option,2017-08-14 18:41:49.658,2017-08-14 18:41:49.658,Role 1
2,Create Purchase Requisition,2017-08-14 20:12:48.035,2017-08-14 20:23:46.663,Role 1
2,Analyze Purchase Requisition,2017-08-14 20:23:46.663,2017-08-14 20:27:43.76,Role 2
2,Create Request for Quotation,2017-08-14 20:27:43.76,2017-08-14 20:29:53.032,Role 2
2,Analyze Request for Quotation,2017-08-14 20:29:53.032,2017-08-14 20:56:17.063,Role 3
2,Send Request for Quotation to Supplier,2017-08-14 20:56:17.063,2017-08-14 21:19:45.337,Role 3
0,Settle Conditions With Supplier,2017-08-14 14:42:53.836,2017-08-14 22:40:55.549,Role 3
0,Create Purchase Order,2017-08-14 22:40:55.549,2017-08-14 22:51:14.952,Role 3
0,Confirm Purchase Order,2017-08-14 22:51:14.952,2017-08-14 23:18:35.394,Role 11
2,Create Quotation comparison Map,2017-08-14 21:19:45.337,2017-08-15 00:28:44.62,Role 3
2,Analyze Quotation Comparison Map,2017-08-15 00:28:44.62,2017-08-15 00:37:05.575,Role 1
2,Choose best option,2017-08-15 00:37:05.575,2017-08-15 00:37:05.575,Role 1
3,Create Purchase Requisition,2017-08-15 00:29:08.177,2017-08-15 01:17:35.043,Role 1
3,Analyze Purchase Requisition,2017-08-15 01:17:35.043,2017-08-15 01:20:24.717,Role 2
3,Create Request for Quotation,2017-08-15 01:20:24.717,2017-08-15 01:21:55.822,Role 2
3,Analyze Request for Quotation,2017-08-15 01:21:55.822,2017-08-15 01:34:19.044,Role 3
4,Create Purchase Requisition,2017-08-15 01:30:54.425,2017-08-15 01:37:26.724,Role 1
4,Analyze Purchase Requisition,2017-08-15 01:37:26.724,2017-08-15 01:39:06.087,Role 2
4,Create Request for Quotation,2017-08-15 01:39:06.087,2017-08-15 01:41:33.7,Role 2
3,Send Request for Quotation to Supplier,2017-08-15 01:34:19.044,2017-08-15 02:00:53.898,Role 3
4,Analyze Request for Quotation,2017-08-15 02:00:53.898,2017-08-15 02:19:19.136,Role 3
4,Amend Request for Quotation,2017-08-15 02:19:19.136,2017-08-15 02:34:36.789,Role 1
3,Create Quotation comparison Map,2017-08-15 02:19:19.136,2017-08-15 04:51:45.439,Role 3
4,Analyze Request for Quotation,2017-08-15 04:51:45.439,2017-08-15 05:18:29.814,Role 3
3,Analyze Quotation Comparison Map,2017-08-15 04:51:45.439,2017-08-15 05:23:21.954,Role 1
3,Choose best option,2017-08-15 05:23:21.954,2017-08-15 05:23:21.954,Role 1
4,Send Request for Quotation to Supplier,2017-08-15 05:18:29.814,2017-08-15 05:42:25.374,Role 3
