instanceId,costs,duration,effective,waiting,offTime
0,2265650.0,126551,103130,23421,0
1,2333936.0,248235,206309,41926,0
2,2553320.0,210663,150944,59719,0
3,2192227.0,199406,162454,36952,0
4,4888911.0,260870,216031,44839,0
5,3552634.0,561020,199406,361614,0
6,2621911.0,244720,192504,52216,0
7,2111899.0,232090,104028,128062,0
8,872303.0,198918,56880,142038,0
9,2540977.0,521963,200462,91101,230400
10,1649640.0,462502,98282,364220,0
11,2262205.0,516773,204732,81641,230400
12,3170601.0,461330,158964,71966,230400
13,2856612.0,569151,213116,125635,230400
14,4857151.0,533860,200240,103220,230400
15,1190558.0,546647,105201,441446,0
16,1148919.0,474310,78221,396089,0
17,1269836.0,496480,105781,160299,230400
18,3504772.0,532149,184000,348149,0
19,3077704.0,479110,129966,118744,230400
20,1080923.0,449681,79961,139320,230400
21,2168201.0,910037,197021,713016,0
22,1727112.0,940098,96365,843733,0
23,4394885.0,929392,230018,468974,230400
24,2529545.0,526600,155654,370946,0
25,4280140.0,519092,169437,349655,0
26,1544646.0,903058,116436,786622,0
27,3112308.0,1054293,173322,880971,0
28,2294187.0,836487,125336,480751,230400
29,2673510.0,829353,195481,633872,0
30,2679910.0,804981,189835,615146,0
31,1369205.0,451362,82019,369343,0
32,4295258.0,796034,198346,367288,230400
33,1068051.0,792418,167274,394744,230400
34,1839860.0,714438,87277,396761,230400
35,1705499.0,1310234,128297,951537,230400
36,2484891.0,877569,178440,699129,0
37,1710147.0,1126817,185507,710910,230400
38,1357430.0,1159189,166489,992700,0
39,4790729.0,1104774,203136,901638,0
40,2890836.0,1128934,121688,1007246,0
41,1535037.0,619892,70445,549447,0
42,1712010.0,1128424,68378,1060046,0
43,2449305.0,755169,139279,385490,230400
44,2442849.0,1052632,158768,893864,0
45,3727205.0,1079677,223965,625312,230400
46,3760794.0,1055321,231936,823385,0
47,4079176.0,1865116,241476,1162840,460800
48,2122387.0,993598,125721,867877,0
