caseid,task,start_timestamp,end_timestamp,resource
0,Create Purchase Requisition,2017-08-14 08:00:00.0,2017-08-14 08:21:16.115,Role 1
0,Analyze Purchase Requisition,2017-08-14 08:21:16.115,2017-08-14 08:25:22.072,Role 3
0,Create Request for Quotation,2017-08-14 08:25:22.072,2017-08-14 08:26:36.031,Role 3
0,Analyze Request for Quotation,2017-08-14 08:26:36.031,2017-08-14 08:54:06.36,Role 4
0,Amend Request for Quotation,2017-08-14 08:54:06.36,2017-08-14 09:08:45.196,Role 1
0,Analyze Request for Quotation,2017-08-14 09:08:45.196,2017-08-14 09:38:48.657,Role 4
0,Send Request for Quotation to Supplier,2017-08-14 09:38:48.657,2017-08-14 10:12:23.628,Role 4
1,Create Purchase Requisition,2017-08-14 09:51:05.213,2017-08-14 10:27:33.412,Role 1
1,Analyze Purchase Requisition,2017-08-14 10:27:33.412,2017-08-14 10:32:16.01,Role 3
1,Create Request for Quotation,2017-08-14 10:32:16.01,2017-08-14 10:34:39.979,Role 3
1,Analyze Request for Quotation,2017-08-14 10:34:39.979,2017-08-14 10:43:56.703,Role 4
1,Amend Request for Quotation,2017-08-14 10:43:56.703,2017-08-14 10:55:58.012,Role 1
1,Analyze Request for Quotation,2017-08-14 10:55:58.012,2017-08-14 11:27:45.909,Role 4
1,Amend Request for Quotation,2017-08-14 11:27:45.909,2017-08-14 11:43:23.059,Role 1
1,Analyze Request for Quotation,2017-08-14 11:43:23.059,2017-08-14 12:09:19.666,Role 4
1,Amend Request for Quotation,2017-08-14 12:09:19.666,2017-08-14 12:25:24.9,Role 1
1,Analyze Request for Quotation,2017-08-14 12:25:24.9,2017-08-14 12:55:37.715,Role 4
1,Send Request for Quotation to Supplier,2017-08-14 12:55:37.715,2017-08-14 13:28:20.576,Role 4
0,Create Quotation comparison Map,2017-08-14 10:12:23.628,2017-08-14 16:04:48.365,Role 4
0,Analyze Quotation Comparison Map,2017-08-14 16:04:48.365,2017-08-14 16:35:07.401,Role 1
0,Choose best option,2017-08-14 16:35:07.401,2017-08-14 16:35:07.401,Role 1
1,Create Quotation comparison Map,2017-08-14 13:28:20.576,2017-08-14 17:09:29.401,Role 4
1,Analyze Quotation Comparison Map,2017-08-14 17:09:29.401,2017-08-14 17:42:50.224,Role 1
1,Choose best option,2017-08-14 17:42:50.224,2017-08-14 17:42:50.224,Role 1
3,Create Purchase Requisition,2017-08-15 01:04:07.376,2017-08-15 01:17:14.043,Role 1
3,Analyze Purchase Requisition,2017-08-15 01:17:14.043,2017-08-15 01:29:50.032,Role 3
3,Create Request for Quotation,2017-08-15 01:29:50.032,2017-08-15 01:32:54.937,Role 3
3,Analyze Request for Quotation,2017-08-15 01:32:54.937,2017-08-15 01:34:39.947,Role 4
2,Create Purchase Requisition,2017-08-15 00:42:57.341,2017-08-15 01:37:28.284,Role 1
