caseid,task,start_timestamp,end_timestamp,resource
0,Create Purchase Requisition,2017-08-14 08:00:00.0,2017-08-14 08:08:30.854,Role 1
0,Analyze Purchase Requisition,2017-08-14 08:08:30.854,2017-08-14 08:16:46.425,Role 3
0,Create Request for Quotation,2017-08-14 08:16:46.425,2017-08-14 08:19:23.511,Role 3
0,Analyze Request for Quotation,2017-08-14 08:19:23.511,2017-08-14 08:42:55.113,Role 4
0,Amend Request for Quotation,2017-08-14 08:42:55.113,2017-08-14 08:59:16.446,Role 1
0,Analyze Request for Quotation,2017-08-14 08:59:16.446,2017-08-14 09:17:38.268,Role 4
0,Send Request for Quotation to Supplier,2017-08-14 09:17:38.268,2017-08-14 09:34:28.74,Role 4
1,Create Purchase Requisition,2017-08-14 10:22:56.73,2017-08-14 11:17:43.46,Role 1
0,Create Quotation comparison Map,2017-08-14 09:34:28.74,2017-08-14 11:37:04.319,Role 4
1,Analyze Purchase Requisition,2017-08-14 11:17:43.46,2017-08-14 11:38:12.039,Role 3
1,Create Request for Quotation,2017-08-14 11:38:12.039,2017-08-14 11:41:45.971,Role 3
1,Analyze Request for Quotation,2017-08-14 11:41:45.971,2017-08-14 12:03:17.315,Role 4
0,Analyze Quotation Comparison Map,2017-08-14 11:37:04.319,2017-08-14 12:04:19.952,Role 1
0,Choose best option,2017-08-14 12:04:19.952,2017-08-14 12:04:19.952,Role 1
1,Amend Request for Quotation,2017-08-14 12:03:17.315,2017-08-14 12:12:39.848,Role 1
1,Analyze Request for Quotation,2017-08-14 12:12:39.848,2017-08-14 12:37:57.23,Role 4
1,Amend Request for Quotation,2017-08-14 12:37:57.23,2017-08-14 12:40:09.205,Role 1
1,Analyze Request for Quotation,2017-08-14 12:40:09.205,2017-08-14 13:03:12.776,Role 4
1,Send Request for Quotation to Supplier,2017-08-14 13:03:12.776,2017-08-14 13:42:04.045,Role 4
2,Create Purchase Requisition,2017-08-14 14:58:10.33,2017-08-14 15:13:13.812,Role 1
2,Analyze Purchase Requisition,2017-08-14 15:13:13.812,2017-08-14 15:33:56.672,Role 3
2,Create Request for Quotation,2017-08-14 15:33:56.672,2017-08-14 15:35:16.74,Role 3
2,Analyze Request for Quotation,2017-08-14 15:35:16.74,2017-08-14 16:09:00.356,Role 4
2,Send Request for Quotation to Supplier,2017-08-14 16:09:00.356,2017-08-14 16:26:36.302,Role 4
2,Create Quotation comparison Map,2017-08-14 16:26:36.302,2017-08-14 18:48:36.248,Role 4
1,Create Quotation comparison Map,2017-08-14 13:42:04.045,2017-08-14 18:56:37.906,Role 4
1,Analyze Quotation Comparison Map,2017-08-14 18:56:37.906,2017-08-14 19:17:22.814,Role 1
1,Choose best option,2017-08-14 19:17:22.814,2017-08-14 19:17:22.814,Role 1
2,Analyze Quotation Comparison Map,2017-08-14 18:48:36.248,2017-08-14 19:22:27.084,Role 1
2,Choose best option,2017-08-14 19:22:27.084,2017-08-14 19:22:27.084,Role 1
3,Create Purchase Requisition,2017-08-14 20:39:14.769,2017-08-14 20:57:51.235,Role 1
3,Analyze Purchase Requisition,2017-08-14 20:57:51.235,2017-08-14 21:15:08.615,Role 3
3,Create Request for Quotation,2017-08-14 21:15:08.615,2017-08-14 21:16:36.972,Role 3
4,Create Purchase Requisition,2017-08-14 21:06:08.002,2017-08-14 21:50:52.446,Role 1
4,Analyze Purchase Requisition,2017-08-14 21:50:52.446,2017-08-14 21:59:31.078,Role 3
4,Create Request for Quotation,2017-08-14 21:59:31.078,2017-08-14 22:03:16.457,Role 3
0,Settle Conditions With Supplier,2017-08-14 12:04:19.952,2017-08-14 22:55:43.59,Role 4
3,Analyze Request for Quotation,2017-08-14 22:55:43.59,2017-08-14 23:14:56.072,Role 4
4,Analyze Request for Quotation,2017-08-14 23:14:56.072,2017-08-14 23:25:53.93,Role 4
0,Create Purchase Order,2017-08-14 23:25:53.93,2017-08-14 23:37:48.274,Role 4
4,Amend Request for Quotation,2017-08-14 23:25:53.93,2017-08-14 23:39:21.126,Role 1
0,Confirm Purchase Order,2017-08-14 23:37:48.274,2017-08-14 23:56:32.361,Role 2
3,Send Request for Quotation to Supplier,2017-08-14 23:37:48.274,2017-08-15 00:02:32.75,Role 4
4,Analyze Request for Quotation,2017-08-15 00:02:32.75,2017-08-15 00:39:12.077,Role 4
4,Amend Request for Quotation,2017-08-15 00:39:12.077,2017-08-15 00:56:55.126,Role 1
1,Settle Conditions With Supplier,2017-08-14 19:17:22.814,2017-08-15 02:39:48.149,Role 4
4,Analyze Request for Quotation,2017-08-15 02:39:48.149,2017-08-15 02:59:02.016,Role 4
1,Create Purchase Order,2017-08-15 02:59:02.016,2017-08-15 03:09:34.389,Role 4
2,Settle Conditions With Supplier,2017-08-14 19:22:27.084,2017-08-15 03:19:38.423,Role 4
1,Confirm Purchase Order,2017-08-15 03:09:34.389,2017-08-15 03:30:36.761,Role 2
2,Create Purchase Order,2017-08-15 03:19:38.423,2017-08-15 03:30:57.974,Role 4
4,Send Request for Quotation to Supplier,2017-08-15 03:09:34.389,2017-08-15 03:33:04.394,Role 4
2,Confirm Purchase Order,2017-08-15 03:30:57.974,2017-08-15 03:40:20.738,Role 2
3,Create Quotation comparison Map,2017-08-15 00:39:12.077,2017-08-15 03:48:56.191,Role 4
3,Analyze Quotation Comparison Map,2017-08-15 03:48:56.191,2017-08-15 04:07:09.585,Role 1
3,Choose best option,2017-08-15 04:07:09.585,2017-08-15 04:07:09.585,Role 1
4,Create Quotation comparison Map,2017-08-15 03:33:04.394,2017-08-15 04:58:06.134,Role 4
4,Analyze Quotation Comparison Map,2017-08-15 04:58:06.134,2017-08-15 05:17:58.914,Role 1
4,Choose best option,2017-08-15 05:17:58.914,2017-08-15 05:17:58.914,Role 1
5,Create Purchase Requisition,2017-08-15 07:50:41.535,2017-08-15 08:26:37.172,Role 1
5,Analyze Purchase Requisition,2017-08-15 08:26:37.172,2017-08-15 08:39:02.771,Role 3
5,Create Request for Quotation,2017-08-15 08:39:02.771,2017-08-15 08:40:23.993,Role 3
5,Analyze Request for Quotation,2017-08-15 08:40:23.993,2017-08-15 09:12:53.572,Role 4
5,Amend Request for Quotation,2017-08-15 09:12:53.572,2017-08-15 09:15:57.938,Role 1
5,Analyze Request for Quotation,2017-08-15 09:15:57.938,2017-08-15 09:36:32.622,Role 4
5,Send Request for Quotation to Supplier,2017-08-15 09:36:32.622,2017-08-15 10:08:29.437,Role 4
4,Settle Conditions With Supplier,2017-08-15 05:17:58.914,2017-08-15 14:06:25.242,Role 4
2,Deliver Goods Services,2017-08-15 03:40:20.738,2017-08-15 14:07:59.307,Role 2
2,Release Purchase Order,2017-08-15 14:07:59.307,2017-08-15 14:08:59.307,Role 1
4,Create Purchase Order,2017-08-15 14:06:25.242,2017-08-15 14:18:47.347,Role 4
2,Approve Purchase Order for payment,2017-08-15 14:18:47.347,2017-08-15 14:19:47.347,Role 4
2,Send Invoice,2017-08-15 14:19:47.347,2017-08-15 14:19:47.347,Role 2
2,Release Supplier's Invoice,2017-08-15 14:19:47.347,2017-08-15 14:23:17.883,Role 5
2,Authorize Supplier's Invoice payment,2017-08-15 14:23:17.883,2017-08-15 14:23:17.883,Role 5
4,Confirm Purchase Order,2017-08-15 14:18:47.347,2017-08-15 14:24:02.241,Role 2
2,Pay Invoice,2017-08-15 14:23:17.883,2017-08-15 14:33:05.213,Role 5
5,Create Quotation comparison Map,2017-08-15 10:08:29.437,2017-08-15 15:25:58.781,Role 4
0,Deliver Goods Services,2017-08-14 23:56:32.361,2017-08-15 15:33:30.274,Role 2
0,Release Purchase Order,2017-08-15 15:33:30.274,2017-08-15 15:34:30.274,Role 1
0,Approve Purchase Order for payment,2017-08-15 15:34:30.274,2017-08-15 15:35:30.274,Role 4
0,Send Invoice,2017-08-15 15:35:30.274,2017-08-15 15:35:30.274,Role 2
0,Release Supplier's Invoice,2017-08-15 15:35:30.274,2017-08-15 15:39:40.738,Role 5
0,Authorize Supplier's Invoice payment,2017-08-15 15:39:40.738,2017-08-15 15:39:40.738,Role 5
5,Analyze Quotation Comparison Map,2017-08-15 15:25:58.781,2017-08-15 15:41:47.145,Role 1
5,Choose best option,2017-08-15 15:41:47.145,2017-08-15 15:41:47.145,Role 1
0,Pay Invoice,2017-08-15 15:39:40.738,2017-08-15 15:45:04.55,Role 5
3,Settle Conditions With Supplier,2017-08-15 04:07:09.585,2017-08-15 16:16:49.61,Role 4
3,Create Purchase Order,2017-08-15 16:16:49.61,2017-08-15 16:27:31.204,Role 4
3,Confirm Purchase Order,2017-08-15 16:27:31.204,2017-08-15 16:55:47.065,Role 2
6,Create Purchase Requisition,2017-08-16 02:09:31.217,2017-08-16 02:21:02.215,Role 1
6,Analyze Purchase Requisition,2017-08-16 02:21:02.215,2017-08-16 02:27:13.653,Role 3
6,Create Request for Quotation,2017-08-16 02:27:13.653,2017-08-16 02:27:55.589,Role 3
5,Settle Conditions With Supplier,2017-08-15 15:41:47.145,2017-08-16 02:34:03.7,Role 4
3,Deliver Goods Services,2017-08-15 16:55:47.065,2017-08-16 02:41:08.197,Role 2
3,Release Purchase Order,2017-08-16 02:41:08.197,2017-08-16 02:42:08.197,Role 1
5,Create Purchase Order,2017-08-16 02:34:03.7,2017-08-16 02:42:27.219,Role 4
3,Approve Purchase Order for payment,2017-08-16 02:42:08.197,2017-08-16 02:43:08.197,Role 4
3,Send Invoice,2017-08-16 02:43:08.197,2017-08-16 02:43:08.197,Role 2
3,Release Supplier's Invoice,2017-08-16 02:43:08.197,2017-08-16 02:48:07.554,Role 5
3,Authorize Supplier's Invoice payment,2017-08-16 02:48:07.554,2017-08-16 02:48:07.554,Role 5
6,Analyze Request for Quotation,2017-08-16 02:27:55.589,2017-08-16 02:53:27.884,Role 4
3,Pay Invoice,2017-08-16 02:48:07.554,2017-08-16 02:59:59.202,Role 5
