caseid,task,start_timestamp,end_timestamp,resource
0,Create Purchase Requisition,2017-08-14 08:00:00.0,2017-08-14 08:37:27.799,Role 1
0,Analyze Purchase Requisition,2017-08-14 08:37:27.799,2017-08-14 08:44:11.611,Role 3
0,Create Request for Quotation,2017-08-14 08:44:11.611,2017-08-14 08:45:40.08,Role 3
0,Analyze Request for Quotation,2017-08-14 08:45:40.08,2017-08-14 08:59:03.237,Role 4
0,Amend Request for Quotation,2017-08-14 08:59:03.237,2017-08-14 09:09:32.801,Role 1
0,Analyze Request for Quotation,2017-08-14 09:09:32.801,2017-08-14 09:38:16.716,Role 4
0,Amend Request for Quotation,2017-08-14 09:38:16.716,2017-08-14 09:42:05.42,Role 1
0,Analyze Request for Quotation,2017-08-14 09:42:05.42,2017-08-14 09:57:10.101,Role 4
0,Amend Request for Quotation,2017-08-14 09:57:10.101,2017-08-14 10:12:55.26,Role 1
0,Analyze Request for Quotation,2017-08-14 10:12:55.26,2017-08-14 10:47:12.761,Role 4
0,Send Request for Quotation to Supplier,2017-08-14 10:47:12.761,2017-08-14 11:00:03.264,Role 4
0,Create Quotation comparison Map,2017-08-14 11:00:03.264,2017-08-14 13:42:02.385,Role 4
0,Analyze Quotation Comparison Map,2017-08-14 13:42:02.385,2017-08-14 14:08:46.997,Role 1
0,Choose best option,2017-08-14 14:08:46.997,2017-08-14 14:08:46.997,Role 1
1,Create Purchase Requisition,2017-08-14 20:29:29.319,2017-08-14 20:45:53.593,Role 1
1,Analyze Purchase Requisition,2017-08-14 20:45:53.593,2017-08-14 20:53:35.332,Role 3
1,Create Request for Quotation,2017-08-14 20:53:35.332,2017-08-14 20:55:00.956,Role 3
1,Analyze Request for Quotation,2017-08-14 20:55:00.956,2017-08-14 21:20:50.715,Role 4
1,Amend Request for Quotation,2017-08-14 21:20:50.715,2017-08-14 21:29:15.517,Role 1
1,Analyze Request for Quotation,2017-08-14 21:29:15.517,2017-08-14 21:40:35.552,Role 4
1,Amend Request for Quotation,2017-08-14 21:40:35.552,2017-08-14 21:51:51.438,Role 1
1,Analyze Request for Quotation,2017-08-14 21:51:51.438,2017-08-14 22:11:47.197,Role 4
1,Amend Request for Quotation,2017-08-14 22:11:47.197,2017-08-14 22:21:31.24,Role 1
1,Analyze Request for Quotation,2017-08-14 22:21:31.24,2017-08-14 22:44:29.161,Role 4
1,Send Request for Quotation to Supplier,2017-08-14 22:44:29.161,2017-08-14 22:57:52.543,Role 4
