caseid,resource,processing,waiting,avg_process_time,avg_waiting_time,cycle_time,start_time
0,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[1522.523, 724.016, 97.344, 1970.547, 1765.739, 8855.497, 1539.984, 0.0, 39980.049, 440.69, 269.602, 91827.715, 60.0, 60.0, 0.0, 161.395, 0.0, 729.099]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1083.691, 0.0, 0.0, 0.0, 6316.24, 0.0, 0.0, 0.0, 0.0]",8333.566666666666,411.10727777777777,157404.131,2017-08-14 08:00:00
1,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[871.053, 508.781, 98.04, 1713.318, 969.798, 12251.185, 1467.772, 0.0, 42171.19, 411.709, 700.192, 13337.056, 60.0, 60.0, 0.0, 307.707, 0.0, 785.609]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 38.595, 0.0, 0.0, 0.0, 7986.549, 0.0, 0.0, 0.0, 0.0]",4206.300555555556,445.84133333333335,83738.554,2017-08-14 08:53:51.926000
2,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5', 'Role 5']","[2996.442, 60.553, 98.25, 960.816, 1458.108, 4344.866, 1233.655, 0.0, 40936.996, 506.047, 1369.734, 13986.058, 60.0, 60.0, 0.0, 333.031, 1749.0, 0.0, 521.503]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 641.81, 7374.361, 0.0, 0.0, 0.0, 15300.738, 0.0, 0.0, 0.0, 0.0, 0.0]",3719.739947368421,1227.2057368421054,93991.968,2017-08-14 17:37:10.268000
3,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[2252.813, 203.849, 296.138, 1875.465, 1083.691, 5341.578, 1498.613, 0.0, 35081.891, 594.315, 1256.172, 149132.246, 60.0, 60.0, 0.0, 258.573, 0.0, 398.898]","[0.0, 0.0, 0.0, 1528.223, 10030.931, 440.69, 0.0, 0.0, 0.0, 3553.74, 0.0, 0.0, 0.0, 652.49, 51143.571, 0.0, 0.0, 0.0]",11077.457888888888,3741.6469444444447,266743.887,2017-08-14 19:11:08.280000
4,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 1', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[2086.377, 195.65, 106.139, 946.971, 865.913, 1065.276, 1798.341, 15196.841, 1796.079, 0.0, 49977.144, 386.138, 1085.423, 122467.539, 60.0, 60.0, 0.0, 185.305, 0.0, 547.276]","[0.0, 0.0, 0.0, 1204.786, 0.0, 0.0, 0.0, 1292.869, 0.0, 0.0, 2135.051, 5521.968, 0.0, 0.0, 0.0, 4157.718, 34258.362, 0.0, 0.0, 0.0]",9941.3206,2428.5377,247397.16599999997,2017-08-15 00:34:50.111000
5,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[554.292, 351.759, 76.124, 1292.869, 1367.89, 8858.961, 1929.858, 0.0, 39803.896, 508.824, 1243.498, 160787.35, 60.0, 60.0, 0.0, 325.061, 0.0, 672.374]","[0.0, 0.0, 0.0, 1032.747, 15196.841, 60.0, 0.0, 0.0, 17.088, 7328.057, 0.0, 0.0, 0.0, 27.211, 963.297, 0.0, 0.0, 0.0]",12105.153111111113,1368.0689444444445,242517.99700000003,2017-08-15 02:19:04.642000
6,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 1', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[2310.969, 155.635, 100.75, 1018.64, 788.52, 1440.899, 2173.45, 18576.029, 992.505, 0.0, 16150.551, 411.698, 1537.591, 77334.935, 60.0, 60.0, 0.0, 326.51, 0.0, 628.461]","[0.0, 0.0, 0.0, 1471.592, 0.0, 6073.248, 3219.091, 3035.468, 0.0, 0.0, 11807.353, 3876.119, 0.0, 0.0, 0.0, 0.0, 5082.426, 0.0, 0.0, 0.0]",6203.357149999999,1728.26485,158632.43999999997,2017-08-15 07:08:42.818000
7,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5', 'Role 5']","[3251.414, 325.332, 121.951, 1380.29, 910.238, 15436.651, 1693.95, 0.0, 17294.458, 477.972, 1117.711, 156213.484, 60.0, 60.0, 0.0, 256.389, 1220.453, 0.0, 452.103]","[0.0, 0.0, 0.0, 4604.216, 20231.207, 3781.026, 0.0, 0.0, 435.862, 11348.412, 0.0, 0.0, 0.0, 3882.984, 86032.201, 0.0, 0.0, 0.0, 0.0]",10540.652421052633,6858.732,330588.304,2017-08-15 10:02:52.699000
8,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[2421.173, 742.507, 116.261, 1060.863, 307.441, 1361.355, 679.061, 1988.903, 369.127, 1679.182, 1971.665, 17662.371, 641.12, 0.0, 26726.773, 404.242, 1231.999, 46570.646, 60.0, 60.0, 0.0, 408.465, 0.0, 523.759]","[0.0, 0.0, 0.0, 4135.338, 0.0, 19178.826, 0.0, 11719.785, 0.0, 3550.076, 6692.682, 2316.152, 0.0, 0.0, 3130.57, 8172.352, 22135.098, 3970.427, 0.0, 0.0, 19774.271, 0.0, 0.0, 0.0]",4457.788041666667,4365.649041666667,211762.49,2017-08-15 10:50:34.938000
9,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 1', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[1400.796, 260.463, 78.702, 2359.671, 819.76, 1957.93, 1596.695, 14070.625, 437.836, 0.0, 49130.216, 415.361, 499.494, 167993.423, 60.0, 60.0, 0.0, 235.892, 0.0, 429.809]","[0.0, 0.0, 0.0, 14963.732, 0.0, 11148.318, 2019.467, 2177.026, 0.0, 0.0, 633.264, 1293.253, 22951.736, 16909.281, 0.0, 0.0, 4834.433, 0.0, 0.0, 0.0]",12090.33365,3846.5255000000006,318737.183,2017-08-15 14:21:55.009000
