instanceId,costs,duration,effective,waiting,offTime
0,3864390.0,279450,171560,107890,0
1,2367236.0,118370,111757,6613,0
2,5273055.0,749156,260681,488475,0
3,2520493.0,749080,160211,588869,0
4,2374348.0,596166,196515,399651,0
5,3511209.0,582378,146239,436139,0
6,4729320.0,722908,195895,296613,230400
7,2093720.0,1323548,167156,925992,230400
8,1953747.0,692961,109958,352603,230400
9,1723200.0,824668,74515,750153,0
10,1295624.0,751749,53734,698015,0
11,3332962.0,1169175,173120,996055,0
12,3800766.0,1160535,176514,984021,0
13,2141857.0,1151028,110215,1040813,0
14,1161674.0,1126941,67878,1059063,0
15,3795219.0,1091270,223397,637473,230400
16,2022657.0,2965097,91948,2873149,0
17,3756845.0,1714549,230499,1253650,230400
18,5986896.0,1709635,250011,1229224,230400
19,2527706.0,1698189,159665,1308124,230400
20,5241062.0,2944468,254876,2689592,0
21,4131686.0,1678079,220585,1227094,230400
22,3382496.0,2920579,232140,2688439,0
23,2675377.0,1653516,137099,1286017,230400
24,2186685.0,4779488,108032,4671456,0
25,2009384.0,4685119,114709,4570410,0
26,1447954.0,2853602,92722,2760880,0
27,4763111.0,1603192,193756,1409436,0
28,3621423.0,6246509,212578,6033931,0
29,2670701.0,7680500,104595,7575905,0
30,2010456.0,1563809,113149,1450660,0
31,4083345.0,2804497,186014,2388083,230400
32,3573033.0,2779349,176437,2372512,230400
33,1982315.0,1512218,116636,1395582,0
34,1864362.0,2745439,88742,2656697,0
35,4054483.0,2731858,177416,2324042,230400
36,3987563.0,2701212,180048,2521164,0
37,1841067.0,1440715,124316,1316399,0
38,1413636.0,2630963,102539,2298024,230400
39,1567231.0,2618634,95511,2523123,0
40,4415174.0,4492445,217993,4044052,230400
41,2102173.0,4465504,132570,4332934,0
42,2725991.0,2563864,139166,2194298,230400
43,2729306.0,5940221,182576,5527245,230400
44,2776874.0,4419506,134990,4054116,230400
45,1822796.0,4330199,126832,4203367,0
46,1830865.0,4397770,113113,4054257,230400
47,3616738.0,4308172,144231,4163941,0
48,5757961.0,4377111,235473,4141638,0
49,1610855.0,4279495,92723,4186772,0
50,4797241.0,4345052,192018,3922634,230400
51,2729231.0,4343883,165296,4178587,0
52,1416007.0,4246485,103349,3912736,230400
53,5109015.0,5805940,205085,5600855,0
54,2084885.0,4272749,130361,4142388,0
55,4051628.0,7231311,250429,6980882,0
56,1854080.0,5755629,90606,5665023,0
57,3296321.0,4244119,175549,4068570,0
58,2128102.0,4200422,156721,4043701,0
59,3844671.0,10213526,243595,9739531,230400
60,2119589.0,5670217,99745,5340072,230400
61,3086755.0,7120861,144223,6746238,230400
62,6105953.0,4151147,246191,3904956,0
63,1806500.0,4146070,109387,3806283,230400
64,1788117.0,7112678,133146,6979532,0
65,2716590.0,4129545,135331,3763814,230400
66,1536660.0,4104297,87178,3786719,230400
67,4604323.0,7064777,219755,6384222,460800
68,1389642.0,7016451,103891,6912560,0
69,2810847.0,6993915,148222,6845693,0
70,2008008.0,4023632,163808,3629424,230400
71,2633419.0,3993504,145693,3617411,230400
72,3942236.0,6952857,217164,6505293,230400
73,2352470.0,6944360,153579,6790781,0
74,2146093.0,3968639,117667,3850972,0
75,2789328.0,6938029,145232,6562397,230400
76,4027727.0,3963139,167352,3795787,0
77,2855689.0,3957117,174755,3782362,0
78,4600459.0,7399290,265078,7134212,0
79,4799062.0,6811030,202594,6608436,0
80,2020996.0,6780320,152713,6627607,0
81,4949251.0,6775259,201136,6574123,0
82,3910307.0,9023336,225153,8567783,230400
83,1141137.0,6747696,65509,6451787,230400
84,1902972.0,9803443,82344,9721099,0
85,3247572.0,6721680,190474,6531206,0
86,581304.0,6613867,40183,6573684,0
87,3361907.0,7125699,136892,6988807,0
88,3264342.0,6589897,132476,6457421,0
89,828343.0,6583873,38851,6545022,0
90,2421880.0,9592459,108557,9483902,0
91,4395131.0,9393767,217913,9175854,0
92,2091952.0,9591768,147895,9443873,0
93,2409382.0,6489012,158814,6330198,0
94,2490308.0,7567425,179927,7387498,0
95,4045533.0,9500402,165484,9334918,0
96,4003784.0,6377638,187722,5959516,230400
97,1377302.0,9399383,66109,9333274,0
98,2272992.0,6354761,97007,6257754,0
99,1930278.0,6307448,120219,6187229,0
100,2401353.0,6301534,138489,6163045,0
101,1771101.0,9331305,81327,9249978,0
102,2703343.0,9358380,199569,8928411,230400
103,4469594.0,6267970,178971,5858599,230400
104,2356861.0,6238431,136542,6101889,0
105,5121360.0,7295586,209073,7086513,0
106,883105.0,6210315,52045,6158270,0
107,3405731.0,7476831,140180,7336651,0
108,3695239.0,9047715,156806,8890909,0
109,3288194.0,9240602,144092,9096510,0
110,2741153.0,9229202,149764,8849038,230400
111,2339225.0,7822034,189588,7632446,0
112,2173104.0,6114922,132926,5981996,0
113,1479976.0,6103788,103561,5769827,230400
114,1583011.0,6104896,77982,5566114,460800
115,2438963.0,6098194,123775,5744019,230400
116,3131193.0,6091095,212268,5878827,0
117,1865947.0,6087550,84816,6002734,0
118,4039413.0,9125807,160608,8965199,0
119,2252421.0,9054975,120427,8934548,0
120,3714798.0,6036155,148185,5887970,0
121,3127676.0,6546747,200931,6345816,0
122,1756672.0,6532707,98479,6434228,0
123,1383590.0,6911059,81905,6598754,230400
124,1100743.0,8968885,54768,8914117,0
125,2127367.0,8947670,110342,8837328,0
126,2063691.0,8913059,128922,8784137,0
127,4569442.0,7965331,188383,7776948,0
128,3138802.0,6855904,161987,6693917,0
129,3486402.0,7060937,174970,6885967,0
130,1321475.0,8499106,77506,8421600,0
131,3584286.0,8738473,141063,8597410,0
132,2031686.0,7352508,89828,7262680,0
133,4855827.0,8701150,227565,8473585,0
134,4646615.0,8041765,199032,7612333,230400
135,3362248.0,7984345,219142,7074003,691200
136,2355870.0,8677903,160518,8517385,0
137,2843078.0,8686956,138099,8318457,230400
138,2574339.0,8607189,153386,8453803,0
139,1362739.0,8618342,68152,8550190,0
140,3925474.0,8590625,242663,8117562,230400
141,2465203.0,8572061,181108,8390953,0
142,2556773.0,8551388,154851,8166137,230400
143,1858411.0,8553881,107168,8446713,0
144,2724809.0,8553070,217208,8105462,230400
145,4672762.0,8533079,223246,8079433,230400
146,2062668.0,8502425,113167,8389258,0
147,2414809.0,8480296,114200,8135696,230400
148,1362897.0,8477389,83584,8393805,0
149,5556621.0,8441838,223110,7988328,230400
150,2757053.0,8452897,215315,8237582,0
151,1116491.0,8443441,77746,8135295,230400
152,2414105.0,8429359,190350,8008609,230400
153,2033139.0,8373183,122081,8251102,0
154,2650424.0,8378386,156660,7991326,230400
155,2907739.0,8391354,181490,7979464,230400
156,5719594.0,8358737,231261,7897076,230400
157,3973340.0,8330027,165432,7934195,230400
158,2921524.0,8319676,129705,8189971,0
159,2431976.0,8310611,125217,8185394,0
160,2013940.0,8267314,166126,8101188,0
161,3442573.0,8287497,144161,8143336,0
162,2705273.0,8275191,139763,8135428,0
163,3336278.0,8276812,168347,8108465,0
164,1526758.0,8230378,69920,7930058,230400
165,1533038.0,8210259,83096,7435963,691200
166,2981069.0,8207976,180567,8027409,0
167,2304436.0,8212028,95783,8116245,0
168,3155569.0,8182178,199942,7521436,460800
169,3198222.0,8139195,252002,7656793,230400
170,4345144.0,8140509,180512,7729597,230400
171,2292914.0,8116703,178106,7938597,0
172,2996927.0,8123638,145846,7747392,230400
173,2206081.0,8090446,103555,7986891,0
174,3311762.0,8093108,170202,7692506,230400
175,2004735.0,8102688,92810,8009878,0
176,3561296.0,8077842,185780,7661662,230400
177,2156271.0,8069760,101727,7968033,0
178,3848724.0,8070590,168932,7901658,0
179,5935773.0,7998091,260840,7506851,230400
180,4259215.0,7991123,204674,7786449,0
181,4395849.0,7947285,180967,7766318,0
182,1629828.0,7957925,89030,7868895,0
183,2155985.0,7944461,136971,7577090,230400
184,2231343.0,7923262,183922,7508940,230400
185,2651231.0,7909794,219900,7459494,230400
186,2179905.0,7901416,91089,7579927,230400
187,5407730.0,7867903,223890,7413613,230400
188,3377407.0,7853379,173619,7449360,230400
189,2082747.0,7859441,102022,7757419,0
190,1187628.0,7847739,81648,7766091,0
191,2419477.0,7815886,118663,7697223,0
192,2805907.0,7826050,134235,7691815,0
193,3195031.0,7726229,129592,7596637,0
194,3826541.0,7742147,165247,7576900,0
195,1294883.0,7732943,56094,7676849,0
196,3573995.0,7706386,185129,7521257,0
197,1289940.0,7687322,63080,7624242,0
198,3977099.0,7670508,213756,7456752,0
199,1541811.0,7616204,73323,7542881,0
200,3364455.0,7571906,139785,7201721,230400
201,2260985.0,7570952,93599,7477353,0
202,2353025.0,7508756,115228,7393528,0
203,3534719.0,7479972,202072,7047500,230400
204,3429517.0,7417954,142814,7275140,0
205,1413506.0,7377336,90271,7287065,0
206,1603408.0,7363570,113965,7249605,0
207,1045804.0,7320158,45736,7274422,0
208,3373702.0,7301770,169136,6902234,230400
209,1908553.0,7278725,109587,7169138,0
210,3211628.0,7262695,144644,7118051,0
211,2537327.0,7251255,172965,6847890,230400
212,1626680.0,7238394,117389,7121005,0
213,3160310.0,7229625,131441,6867784,230400
214,1973769.0,7201306,91163,7110143,0
215,5872646.0,7179740,234534,6945206,0
216,2095707.0,7177931,109747,7068184,0
217,1199259.0,7157669,54895,7102774,0
218,3860338.0,7089428,211959,6877469,0
219,2779530.0,7104105,156183,6947922,0
220,3324116.0,7057937,221409,6606128,230400
221,1158074.0,7020750,56015,6964735,0
222,1701300.0,6999575,72765,6926810,0
223,1421180.0,6964145,104026,6860119,0
224,4167742.0,6932556,190990,6511166,230400
