instanceId,costs,duration,effective,waiting,offTime
0,2296009.0,126551,103130,23421,0
1,4728553.0,248235,206309,41926,0
2,2499734.0,210663,150944,59719,0
3,2633891.0,199406,162454,36952,0
4,1606167.0,260870,216031,44839,0
5,3516000.0,561020,199406,361614,0
6,2616684.0,244720,192504,52216,0
7,2706109.0,232090,104028,128062,0
8,1019071.0,198918,56880,142038,0
9,4769052.0,521963,200462,91101,230400
10,1217894.0,462502,98282,364220,0
11,2992327.0,516773,204732,81641,230400
12,3188184.0,461330,158964,71966,230400
13,2798470.0,569151,213116,125635,230400
14,2154633.0,533860,200240,103220,230400
15,2160961.0,546647,105201,441446,0
16,1381834.0,474310,78221,396089,0
17,1447460.0,496480,105781,160299,230400
18,3540987.0,532149,184000,348149,0
19,1512133.0,479110,129966,118744,230400
20,1741194.0,449681,79961,139320,230400
21,2834157.0,910037,197021,713016,0
22,1738657.0,940098,96365,843733,0
23,4406803.0,929392,230018,468974,230400
24,2527402.0,526600,155654,370946,0
25,2017164.0,519092,169437,349655,0
26,2702589.0,903058,116436,786622,0
27,3053416.0,1054293,173322,880971,0
28,3206837.0,836487,125336,480751,230400
29,2657237.0,829353,195481,633872,0
30,4505779.0,804981,189835,615146,0
31,1389715.0,451362,82019,369343,0
32,1495032.0,796034,198346,367288,230400
33,1754852.0,792418,167274,394744,230400
34,1825506.0,714438,87277,396761,230400
35,1756498.0,1310234,128297,951537,230400
36,2485268.0,877569,178440,699129,0
37,2416719.0,1126817,185507,710910,230400
38,1899026.0,1159189,166489,992700,0
39,1325626.0,1104774,203136,901638,0
40,1524927.0,1128934,121688,1007246,0
41,1864686.0,619892,70445,549447,0
42,1115463.0,1128424,68378,1060046,0
43,3537810.0,755169,139279,385490,230400
44,3467013.0,1052632,158768,893864,0
45,3710099.0,1079677,223965,625312,230400
46,3793312.0,1055321,231936,823385,0
47,4057423.0,1865116,241476,1162840,460800
48,3174282.0,993598,125721,867877,0
49,3568917.0,1144297,190809,723088,230400
50,6679161.0,1615962,262663,1122899,230400
51,1631242.0,1141164,236902,673862,230400
52,2569822.0,1591723,244247,1117076,230400
53,2665974.0,1016820,111171,675249,230400
54,2825310.0,1092849,150351,712098,230400
55,2876793.0,1726753,223681,1272672,230400
56,4388913.0,2048551,269156,1779395,0
57,3379848.0,1440284,182867,1257417,0
58,2152212.0,2966223,217082,2518741,230400
59,1970503.0,1048507,160162,888345,0
60,963398.0,1043756,80128,963628,0
61,3159077.0,1490516,201619,1058497,230400
62,3148672.0,1246858,237532,1009326,0
63,929738.0,1242941,43565,1199376,0
64,4033857.0,1501419,166423,1334996,0
65,3565298.0,1820550,222213,1598337,0
66,3835807.0,826396,158807,667589,0
67,915136.0,1198207,39642,1158565,0
68,1683909.0,1463100,187455,1045245,230400
69,2977883.0,1180566,211081,969485,0
70,1341256.0,1827227,94170,1733057,0
71,3003060.0,1687005,126368,1560637,0
72,1501925.0,2317321,110903,2206418,0
73,2646436.0,1217245,180455,1036790,0
74,2960843.0,1242809,124790,887619,230400
75,656934.0,1329753,47073,1282680,0
76,1481199.0,1329987,83746,1246241,0
77,2042555.0,1886188,118454,1767734,0
78,1453870.0,1726970,111010,1615960,0
79,2402960.0,1586244,247217,1339027,0
80,2978135.0,1579805,117785,1462020,0
81,2440197.0,1671547,215335,1456212,0
82,2087951.0,1594961,88125,1276436,230400
83,6115250.0,2364574,254599,1879575,230400
