instanceId,costs,duration,effective,waiting,offTime
0,880740.0,60756364,396440,60129524,230400
1,700928.0,35828607,247704,35350503,230400
2,1751878.0,79947565,670039,78816726,460800
3,522972.0,32160062,188821,31971241,0
4,592464.0,40779416,228232,40551184,0
5,288740.0,144869,44540,100329,0
6,474095.0,1192616,76095,1116521,0
7,2050578.0,87133220,922789,85519231,691200
8,806586.0,47860805,282003,47348402,230400
9,620850.0,20436734,116820,20319914,0
10,268178.0,4193265,72449,4120816,0
11,518192.0,29726699,177216,29549483,0
12,491460.0,38036833,169420,37637013,230400
13,481120.0,30043845,156565,29656880,230400
14,877352.0,57459745,336716,56892629,230400
15,1695318.0,86527305,749139,85317366,460800
16,378158.0,34187089,173329,34013760,0
17,682366.0,27240844,163168,27077676,0
18,317474.0,23823096,125792,23466904,230400
19,456192.0,25862848,107126,25755722,0
20,770680.0,63912751,332140,63350211,230400
21,526484.0,15025509,109527,14915982,0
22,700996.0,45039095,238858,44800237,0
23,414100.0,34971306,161140,34810166,0
24,258036.0,9266873,61618,9205255,0
25,1352016.0,77629207,529188,76408819,691200
26,1376782.0,83757318,635991,82890927,230400
27,184681.0,1022851,29803,993048,0
28,565738.0,34274220,220959,33822861,230400
29,137885.0,1219913,28300,961213,230400
30,505282.0,48032734,210311,47361623,460800
31,514858.0,26136091,140594,25765097,230400
32,916958.0,69870104,406319,69233385,230400
33,839932.0,60510056,367476,60142580,0
34,542324.0,45366910,207262,44929248,230400
35,2051528.0,89063865,873464,88190401,0
36,966306.0,71446344,452053,70303091,691200
37,852928.0,67906337,360504,67545833,0
38,848336.0,56271621,340828,55930793,0
39,1977922.0,83370887,816381,82554506,0
40,549550.0,33991530,140275,33851255,0
41,1278152.0,62871210,345816,61834194,691200
42,715220.0,48990203,293890,48235513,460800
43,620904.0,38084559,210812,37643347,230400
44,191468.0,2396506,40259,2356247,0
45,241467.0,2417296,42566,2374730,0
46,342906.0,25343776,97593,25246183,0
47,208175.0,8431587,42200,8389387,0
48,492068.0,42940336,176534,42763802,0
49,379434.0,20361430,109487,20021543,230400
50,825294.0,62789454,306557,62252497,230400
51,317687.0,14987328,87036,14900292,0
52,1111754.0,76473162,492257,75520105,460800
53,1350118.0,78852028,578939,78273089,0
54,831186.0,39726722,230508,39496214,0
55,311695.0,11795055,81875,11713180,0
56,523274.0,27662004,151892,27510112,0
57,298807.0,5593650,80631,5513019,0
58,1117893.0,32715596,195079,32520517,0
59,312670.0,23079247,90840,22988407,0
60,959972.0,63703809,406856,62836153,460800
61,1770704.0,83122174,779012,82112762,230400
