instanceId,costs,duration,effective,waiting,offTime
0,2249154.0,126551,103130,23421,0
1,4741748.0,248235,206309,41926,0
2,2514949.0,210663,150944,59719,0
3,2648977.0,199406,162454,36952,0
4,1654551.0,260870,216031,44839,0
5,3551211.0,561020,199406,361614,0
6,2599216.0,244720,192504,52216,0
7,2729265.0,232090,104028,128062,0
8,1001063.0,198918,56880,142038,0
9,4813833.0,521963,200462,91101,230400
10,1268700.0,462502,98282,364220,0
11,2948661.0,516773,204732,81641,230400
12,3220855.0,461330,158964,71966,230400
13,2845224.0,569151,213116,125635,230400
14,2140251.0,533860,200240,103220,230400
15,2150165.0,546647,105201,441446,0
16,1391147.0,474310,78221,396089,0
17,1457890.0,496480,105781,160299,230400
18,3530681.0,532149,184000,348149,0
19,1475419.0,479110,129966,118744,230400
20,1734085.0,449681,79961,139320,230400
21,1394337.0,560558,82127,478431,0
22,4437705.0,938761,230344,478017,230400
23,1767022.0,933222,167644,535178,230400
24,1794090.0,917796,96557,821239,0
25,2016867.0,519092,169437,349655,0
26,1494512.0,904260,198570,475290,230400
27,3174484.0,839497,125539,483558,230400
28,2721960.0,893347,116338,777009,0
29,2794252.0,829351,197308,632043,0
30,4507953.0,804981,189835,615146,0
31,1852605.0,803445,87593,485452,230400
32,3063781.0,952768,172993,779775,0
33,2550826.0,398729,154766,243963,0
34,2656356.0,711836,194770,517066,0
35,1776538.0,1310234,128297,951537,230400
36,2490862.0,877569,178440,699129,0
37,2429494.0,1126817,185507,710910,230400
38,1892443.0,1159189,166489,992700,0
39,1302800.0,1104774,203136,901638,0
40,1559958.0,1128934,121688,1007246,0
41,1867096.0,619892,70445,549447,0
42,1092061.0,1128424,68378,1060046,0
43,3505768.0,755169,139279,385490,230400
44,3514490.0,1052632,158768,893864,0
45,3676258.0,1079677,223965,625312,230400
46,3772685.0,1055321,231936,823385,0
47,4068361.0,1865116,241476,1162840,460800
48,3185510.0,993598,125721,867877,0
49,3651106.0,1144297,190809,723088,230400
50,6697803.0,1615962,262663,1122899,230400
51,1653028.0,1141164,236902,673862,230400
52,2619274.0,1591723,244247,1117076,230400
53,2641321.0,1016820,111171,675249,230400
54,2809974.0,1092849,150351,712098,230400
55,2931509.0,1726753,223681,1272672,230400
56,4375666.0,2048551,269156,1779395,0
57,3398641.0,1440284,182867,1257417,0
58,2170131.0,2965147,217082,2517665,230400
59,2006729.0,1048507,160162,888345,0
60,994028.0,1043756,80128,963628,0
61,3153798.0,1490516,201619,1058497,230400
62,3147065.0,1246858,237532,1009326,0
63,909872.0,1242941,43565,1199376,0
64,4062263.0,1501419,166423,1334996,0
65,3606912.0,1820550,222213,1598337,0
66,3802390.0,826396,158807,667589,0
67,895776.0,1198207,39642,1158565,0
68,1664958.0,1463100,187455,1045245,230400
69,2974761.0,1180566,211081,969485,0
70,1348141.0,1827227,94170,1733057,0
71,3009375.0,1687005,126368,1560637,0
72,1589314.0,2317321,110903,2206418,0
73,2579436.0,1217245,180455,1036790,0
74,3013147.0,1242809,124790,887619,230400
75,637449.0,1329753,47073,1282680,0
76,1489908.0,1329987,83746,1246241,0
77,2048348.0,1886188,118454,1767734,0
78,1472773.0,1726970,111010,1615960,0
79,2359386.0,1586244,247217,1339027,0
80,3000822.0,1579805,117785,1462020,0
81,2446315.0,1671547,215335,1456212,0
82,2129445.0,1594961,88125,1276436,230400
83,6046006.0,2362704,254599,1877705,230400
84,2203173.0,2275050,135940,1908710,230400
85,2276805.0,1576724,105403,1471321,0
86,2482620.0,2161831,232605,1929226,0
87,2122861.0,2087902,150743,1937159,0
88,2257455.0,1512207,93868,1187939,230400
89,1867953.0,1613785,215351,1168034,230400
90,1217928.0,3228786,92531,3136255,0
