,K-Value,cost_total,flowTime_avg,waiting_avg,time_workload_avg
0,1.0,2.72188082E8,2.544136144888889E7,5.670207407E9,0.21774010526960166
1,2.0,4.64936875E8,1.0309680755555555E7,2.265809642E9,0.2915011260766173
2,3.0,4.93304138E8,6414883.586666667,1.38924988E9,0.6583038210337164
3,4.0,5.68723551E8,3098845.0222222223,6.43141203E8,0.39572047618549533
4,5.0,5.5999852E8,1929002.1733333333,3.79465762E8,2.3410687288357406
5,6.0,5.60871352E8,1938108.8666666667,3.82205968E8,2.2151794270838834
6,7.0,5.59436392E8,1919402.431111111,3.7776662E8,3.1924850210517404
7,8.0,5.57566073E8,1926429.3244444444,3.79347671E8,2.695725812265434
8,9.0,5.57541348E8,1927118.6133333333,3.79272361E8,3.306711345875236
9,10.0,5.57632889E8,1923397.8044444444,3.78665579E8,2.375788855607854
10,11.0,5.59430327E8,1945826.0222222223,3.83481528E8,2.2928155344346086
11,12.0,5.57918615E8,1948545.391111111,3.83862986E8,2.2719768305192525
12,13.0,5.56400857E8,1936484.4088888888,3.81379665E8,2.5135606763437495
13,14.0,5.57208599E8,1933352.44,3.80674972E8,2.445406670291002
14,15.0,5.57208599E8,1933352.44,3.80674972E8,2.445406670291002
15,16.0,5.56267552E8,1933352.44,3.80674972E8,2.445406670291002
16,17.0,5.56987421E8,1933352.44,3.80674972E8,2.445406670291002
17,18.0,5.57208599E8,1933352.44,3.80674972E8,2.445406670291002
18,19.0,5.56267552E8,1933352.44,3.80674972E8,2.445406670291002
19,20.0,5.57208599E8,1933352.44,3.80674972E8,2.445406670291002
20,21.0,5.56267552E8,1933352.44,3.80674972E8,2.445406670291002
