instanceId,costs,duration,effective,waiting,offTime
0,2274161.0,126551,103130,23421,0
1,4729840.0,248235,206309,41926,0
2,2531908.0,210663,150944,59719,0
3,2610962.0,199406,162454,36952,0
4,1641737.0,260870,216031,44839,0
5,3533559.0,561020,199406,361614,0
6,2619421.0,244720,192504,52216,0
7,2725345.0,232090,104028,128062,0
8,1001641.0,198918,56880,142038,0
9,4797611.0,521963,200462,91101,230400
10,1199939.0,462502,98282,364220,0
11,3010258.0,516773,204732,81641,230400
12,3178352.0,461330,158964,71966,230400
13,2856865.0,569151,213116,125635,230400
14,2159298.0,533860,200240,103220,230400
15,2126866.0,546647,105201,441446,0
16,1391002.0,474310,78221,396089,0
17,1457574.0,496480,105781,160299,230400
18,3535603.0,532149,184000,348149,0
19,1499464.0,479110,129966,118744,230400
20,1726790.0,449681,79961,139320,230400
21,2772122.0,910037,197021,713016,0
22,1736529.0,940098,96365,843733,0
23,4407561.0,929392,230018,468974,230400
24,2562766.0,526600,155654,370946,0
25,2056353.0,519092,169437,349655,0
26,2722686.0,903058,116436,786622,0
27,4478999.0,835494,189815,645679,0
28,3203445.0,836487,125336,480751,230400
29,2651865.0,829353,195481,633872,0
30,3118831.0,1024390,173342,851048,0
31,1375008.0,451362,82019,369343,0
32,1498870.0,796034,198346,367288,230400
33,1750854.0,792418,167274,394744,230400
34,1849403.0,714438,87277,396761,230400
35,1713007.0,1294442,128447,935595,230400
36,2494218.0,877569,178440,699129,0
37,2387428.0,1126817,185507,710910,230400
38,1927886.0,1159189,166489,992700,0
39,1331427.0,1104774,203136,901638,0
40,1485400.0,1128934,121688,1007246,0
41,1842871.0,619892,70445,549447,0
42,2865580.0,1189300,119216,839684,230400
43,3490811.0,755414,139279,385735,230400
44,3496807.0,1052632,158768,893864,0
45,3727230.0,1079677,223965,625312,230400
46,3796464.0,1055321,231936,823385,0
47,1834210.0,1628395,101993,1296002,230400
48,3196747.0,993598,125721,867877,0
49,3613129.0,1131273,190809,710064,230400
50,6283284.0,1568950,263584,1074966,230400
51,2269122.0,1203559,236902,736257,230400
52,2767861.0,1709780,177829,1531951,0
53,628553.0,937950,60183,877767,0
54,2057909.0,1079825,150351,699074,230400
55,1582967.0,1661629,138206,1523423,0
56,3339880.0,2300178,162205,1907573,230400
57,3049925.0,1470949,220641,1250308,0
58,3124344.0,2027246,166212,1861034,0
59,2725092.0,1075766,160055,915711,0
60,1322975.0,1030732,80128,950604,0
61,2727248.0,1531780,201400,869580,460800
62,2975092.0,1271185,179760,1091425,0
63,995894.0,1271985,43509,1228476,0
64,1585969.0,1430674,131590,1068684,230400
65,5724399.0,1816768,259189,1557579,0
66,3443321.0,853655,158807,694848,0
67,1311685.0,1231046,187427,1043619,0
68,4688628.0,1400627,187125,983102,230400
69,3566135.0,1211424,232444,978980,0
70,1920688.0,1792539,113151,1679388,0
71,2320635.0,1764447,211500,1552947,0
72,2837023.0,1683079,137527,1545552,0
73,4404151.0,1292082,237869,823813,230400
74,2341765.0,1288186,98459,1189727,0
75,1922741.0,1341096,192542,918154,230400
76,1710225.0,1336962,85263,1251699,0
77,2113195.0,2338064,106410,2231654,0
78,1864767.0,1692454,92012,1600442,0
79,3818351.0,1582526,244417,1338109,0
80,1277995.0,1579144,186190,1392954,0
81,1500102.0,2266222,59936,2206286,0
82,2388704.0,1559100,87638,1241062,230400
83,1741097.0,1560285,107390,1452895,0
84,1798658.0,2188256,134436,1823420,230400
85,1636135.0,1536181,85831,1450350,0
86,1670312.0,3571707,119822,3221485,230400
87,3242229.0,1677854,168673,1509181,0
88,1130204.0,1649640,179744,1239496,230400
89,5122603.0,1624123,216651,1177072,230400
90,2925867.0,1612490,215156,1166934,230400
91,3350858.0,2051139,150558,1900581,0
92,1450922.0,1554107,126429,1197278,230400
93,1429564.0,1523594,117069,945725,460800
94,2439465.0,1935390,118895,1816495,0
95,1588453.0,1922440,96085,1826355,0
96,1671955.0,1464470,148438,1316032,0
97,4081111.0,2114510,201834,1682276,230400
98,3937435.0,1863703,230928,1632775,0
99,1685855.0,1406684,82264,1324420,0
