,K-Value,cost_total,flowTime_avg,waiting_avg,time_workload_avg
0,1.0,2.79390927E8,2.579842176888889E7,5.750315568E9,0.46211430005970794
1,2.0,4.94433441E8,1.0309680755555555E7,2.265809642E9,0.3498013512919408
2,3.0,4.9747906E8,5237721.36,1.123927579E9,0.6216205115130399
3,4.0,5.72804424E8,3107204.617777778,6.45252512E8,0.46108930623722516
4,5.0,5.62005547E8,1929958.8977777779,3.80141825E8,2.4330727978400524
5,6.0,5.61290689E8,1946336.5377777778,3.83596394E8,1.7923455595589115
6,7.0,5.61112563E8,1919164.1244444444,3.77943401E8,2.038835336599432
7,8.0,5.62978305E8,1931503.3111111112,3.80489318E8,2.5612273854713314
8,9.0,5.60714901E8,1929214.2,3.79974268E8,2.398304883256582
9,10.0,5.59478828E8,1926462.5777777778,3.79355153E8,2.661300204344239
10,11.0,5.5887163E8,1937112.9555555556,3.81290688E8,2.1894237043566833
11,12.0,5.56284462E8,1932039.44,3.79688347E8,2.2336494524084323
12,13.0,5.57858901E8,1938676.9777777777,3.81872993E8,2.222300589995847
13,14.0,5.57875033E8,1938676.9777777777,3.81872993E8,2.2207775315199756
14,15.0,5.5757058E8,1938676.9777777777,3.81872993E8,2.2206243990593615
15,16.0,5.57833825E8,1938676.9777777777,3.81872993E8,2.220490408156324
16,17.0,5.57884158E8,1938676.9777777777,3.81872993E8,2.2203721808889383
17,18.0,5.57748189E8,1938676.9777777777,3.81872993E8,2.2203721808889383
18,19.0,5.57884158E8,1938676.9777777777,3.81872993E8,2.2203721808889383
19,20.0,5.57884158E8,1938676.9777777777,3.81872993E8,2.2203721808889383
20,21.0,5.57884158E8,1938676.9777777777,3.81872993E8,2.2203721808889383
