instanceId,costs,duration,effective,waiting,offTime
0,1839949.0,258835,240565,18270,0
1,724575.0,291022,70677,220345,0
2,1760897.0,1289801,232289,827112,230400
3,1203830.0,645856,147998,267458,230400
4,1837534.0,1273381,242877,800104,230400
5,1792400.0,1825665,230622,1364643,230400
6,1504251.0,1417878,190962,1226916,0
7,1031743.0,1247214,129256,1117958,0
8,677523.0,1379119,74568,1304551,0
9,628618.0,3121652,54224,2837028,230400
10,1801534.0,3119753,234608,2885145,0
11,529915.0,1722596,51109,1671487,0
12,980128.0,3068111,108781,2959330,0
13,2064488.0,6177469,267330,5679739,230400
14,745776.0,3058995,78198,2980797,0
15,1151402.0,34851506,127361,34724145,0
16,1750419.0,13393024,222856,13170168,0
17,1658361.0,1880084,215410,1434274,230400
18,1549764.0,2980339,205946,2774393,0
19,1072011.0,2945484,133081,2582003,230400
20,571829.0,6040643,54835,5985808,0
21,1977883.0,8204053,262230,7711423,230400
22,1604134.0,2867323,210376,2656947,0
23,1529846.0,5085175,197361,4657414,230400
24,747779.0,3487736,72698,3415038,0
25,1553278.0,5066976,197839,4869137,0
26,1065362.0,3473098,127551,2884747,460800
27,746473.0,3467670,79690,3387980,0
28,1792003.0,5052898,231915,4590583,230400
29,735908.0,3461993,82661,3379332,0
30,1371632.0,9235335,168487,9066848,0
31,1633874.0,5021164,215518,4805646,0
32,918254.0,4956824,105388,4851436,0
33,1568779.0,4952046,205921,4515725,230400
34,1970826.0,10561031,261322,10299709,0
35,1266224.0,3299279,152947,3146332,0
36,1345832.0,3298481,174286,3124195,0
37,1458191.0,4817222,187557,4399265,230400
38,1133107.0,19251134,131904,19119230,0
39,606373.0,34391428,57005,34334423,0
40,589566.0,4785134,47553,4737581,0
41,1827796.0,34093872,213611,33880261,0
42,1062399.0,10817236,127756,10689480,0
43,1014377.0,7831606,119140,7712466,0
44,1527319.0,5625598,203064,5422534,0
45,993222.0,5606067,123088,5482979,0
46,769547.0,34291350,75454,34215896,0
47,1528840.0,7766379,197287,7338692,230400
48,533690.0,5527172,48240,5478932,0
49,1090498.0,12764195,124313,12409482,230400
50,1065546.0,5505351,130676,5374675,0
51,1599501.0,5500345,206252,5063693,230400
52,909154.0,19038132,106540,18931592,0
53,1038293.0,34146426,120600,33795426,230400
54,1820992.0,10206724,240459,9735865,230400
55,1976984.0,33843305,247396,33365509,230400
56,900148.0,19266330,103948,18931982,230400
57,1028034.0,6341539,117907,5993232,230400
58,528808.0,10161563,42464,10119099,0
59,1859205.0,19260580,240664,18789516,230400
60,1104537.0,19258997,139910,19119087,0
61,1693397.0,6231784,228507,6003277,0
62,1202497.0,19077304,143387,18703517,230400
63,1929452.0,9970909,257912,9712997,0
64,1982200.0,6139558,262294,5416464,460800
65,1554872.0,9957109,201373,9525336,230400
66,1469375.0,9949912,186617,9532895,230400
67,989172.0,6108319,116216,5761703,230400
68,1344519.0,7355468,170479,7184989,0
69,899535.0,7338982,109609,7229373,0
70,947796.0,7278204,115377,6932427,230400
71,1206241.0,19259945,143103,19116842,0
72,2066743.0,33767389,260721,33506668,0
73,1096144.0,12304075,130304,12173771,0
74,2064446.0,33732615,264956,33467659,0
75,801069.0,12285229,88463,12196766,0
76,668235.0,33723398,56018,33667380,0
77,651037.0,7203354,61838,7141516,0
78,895543.0,7180560,109452,7071108,0
79,1033932.0,7157848,122812,7035036,0
80,780718.0,33386411,80372,33306039,0
81,1866549.0,12188149,248011,11940138,0
82,1078957.0,33294055,113489,33180566,0
83,1241029.0,33267190,137566,33129624,0
84,1237217.0,8168814,158481,8010333,0
85,762306.0,20384507,83974,20300533,0
86,1468355.0,33491100,185826,33305274,0
87,850647.0,33212620,93423,33119197,0
88,1651400.0,12966847,215895,12750952,0
89,1820424.0,16711241,238354,16242487,230400
90,781006.0,31019990,85895,30703695,230400
91,822016.0,33425586,92658,33102528,230400
92,1235315.0,7992887,156411,7836476,0
93,753009.0,33065216,74056,32991160,0
94,1104615.0,18152059,131388,17790271,230400
95,1510093.0,33004042,195336,32808706,0
96,675903.0,7899548,77072,7592076,230400
97,959325.0,18115148,117602,17767146,230400
98,1758889.0,7852976,231081,7621895,0
99,1152787.0,33237313,137672,33099641,0
100,1771688.0,7839548,234316,7374832,230400
101,781576.0,18319579,85502,18234077,0
102,1321426.0,18322905,167056,18155849,0
103,985678.0,33126546,103679,32792467,230400
104,641071.0,18266017,57934,18208083,0
105,1941101.0,18265980,252898,17782682,230400
106,436522.0,9170957,36999,9133958,0
107,851408.0,18237602,96338,17910864,230400
108,1678041.0,33089933,210302,32418831,460800
109,1215840.0,9142923,153687,8989236,0
110,1814930.0,11475314,243026,11001888,230400
111,1495955.0,33050620,189803,32630417,230400
112,495956.0,11592347,44801,11547546,0
113,1493815.0,32983778,180691,32572687,230400
114,1900923.0,11543017,258097,11054520,230400
115,1431468.0,19023166,186673,18375693,460800
116,1733990.0,11425252,228177,11197075,0
117,918321.0,11402529,108911,11293618,0
118,1033742.0,18900924,119833,18781091,0
119,1845314.0,18895891,245347,18189744,460800
120,959937.0,11370355,110751,11259604,0
121,788912.0,11369575,88534,11281041,0
122,1930306.0,32792799,245346,32317053,230400
123,1656036.0,11753923,216921,11306602,230400
124,1578209.0,18850637,201006,18188831,460800
125,982432.0,32765362,106476,32658886,0
126,1235628.0,18810173,156004,18423769,230400
127,1072419.0,32430374,130012,32069962,230400
128,792102.0,11652617,94232,11558385,0
129,531478.0,11702838,43096,11659742,0
130,1022046.0,32371779,117934,32023445,230400
131,1817300.0,32301579,238560,31832619,230400
132,769126.0,32266305,82536,32183769,0
133,1473853.0,32515703,186662,32329041,0
134,1261644.0,17608706,158030,17450676,0
135,711857.0,32452214,66699,32385515,0
136,566104.0,17581813,54831,17526982,0
137,792697.0,17564434,87209,17246825,230400
138,1997595.0,32424620,262277,32162343,0
139,1505712.0,32136336,192589,31943747,0
140,1066612.0,17536499,133772,17402727,0
141,1631113.0,32335815,208752,32127063,0
142,1054326.0,32356960,125443,32001117,230400
143,1638632.0,17493049,215623,17277426,0
144,1179159.0,32300795,141968,32158827,0
145,1353067.0,32305146,156697,32148449,0
146,1653962.0,32281455,218291,32063164,0
147,1744711.0,32270179,224105,31815674,230400
148,1163273.0,32261741,144641,32117100,0
149,1343933.0,32243964,163753,31849811,230400
150,532096.0,17414393,52270,17362123,0
151,1027880.0,17406636,130299,17276337,0
152,1806997.0,17383043,246344,16445499,691200
153,1842431.0,32169114,238874,31699840,230400
154,1967689.0,32170432,255169,31684863,230400
155,1075841.0,32157246,123375,32033871,0
156,1447816.0,17337566,185176,17152390,0
