instanceId,costs,duration,effective,waiting,offTime
0,2585223.0,157790,154190,3600,0
1,1446978.0,78428,78428,0,0
2,2785872.0,178626,178626,0,0
3,2978254.0,162517,162517,0,0
4,6639354.0,558584,322736,5448,230400
5,4881677.0,223457,223457,0,0
6,1964195.0,108022,108022,0,0
7,3848986.0,441116,210716,0,230400
8,7707272.0,776577,462233,83944,230400
9,3990891.0,497709,267309,0,230400
10,1555310.0,112600,112600,0,0
11,1190425.0,68133,68133,0,0
12,5436486.0,582878,307764,44714,230400
13,8965376.0,1028354,447375,350579,230400
14,1816010.0,351366,109736,11230,230400
15,8200750.0,1175061,517817,196444,460800
16,2993602.0,455548,187083,38065,230400
17,5574455.0,602865,310343,62122,230400
18,3592561.0,429870,171130,258740,0
19,5203128.0,564436,289156,275280,0
20,6541126.0,931808,370713,330695,230400
21,877235.0,276768,73431,203337,0
22,6611642.0,969647,401975,337272,230400
23,1857656.0,286140,99962,186178,0
24,1767043.0,304610,112836,191774,0
25,1.1203019E7,1417447,611284,806163,0
26,2948080.0,312200,170028,142172,0
27,1099707.0,149625,55875,93750,0
28,6688222.0,722565,341482,150683,230400
29,8632047.0,967697,510714,226583,230400
30,2.6195108E7,4584067,1401260,2030807,1152000
31,5329548.0,652050,339276,312774,0
32,3078265.0,246782,181629,65153,0
33,2402220.0,146799,121513,25286,0
34,3727989.0,207314,180719,26595,0
35,1469551.0,100212,86289,13923,0
36,6465742.0,665856,341948,323908,0
37,2657520.0,214621,177944,36677,0
38,2381684.0,164680,138882,25798,0
39,1.2160842E7,1777959,720389,596770,460800
40,5826455.0,672809,346482,95927,230400
41,3104780.0,431303,166079,34824,230400
42,2354103.0,406309,146101,29808,230400
43,7990666.0,1083206,427474,425332,230400
44,2460920.0,429302,163871,35031,230400
45,3869525.0,551848,234321,317527,0
46,3226035.0,554627,213254,110973,230400
47,4468166.0,575511,230323,114788,230400
48,5135465.0,898273,312625,124848,460800
49,2338178.0,467299,127573,109326,230400
50,1866848.0,386417,124533,261884,0
51,6511448.0,917190,356181,330609,230400
52,1.0682741E7,1447010,538053,448157,460800
53,3889171.0,501683,264267,237416,0
54,1.1371886E7,1568308,659051,678857,230400
55,3532185.0,467678,224848,242830,0
56,4132135.0,364601,192928,171673,0
57,7424871.0,847558,379030,238128,230400
58,1458475.0,139119,89033,50086,0
59,545765.0,67103,35170,31933,0
60,9270203.0,1340329,527858,351671,460800
61,3648744.0,299300,189834,109466,0
62,6329174.0,1158133,441094,256239,460800
63,2984179.0,244496,177110,67386,0
64,2460618.0,166267,124665,41602,0
65,2084978.0,147997,124919,23078,0
66,4234775.0,645779,261333,154046,230400
67,3306667.0,462889,169150,63339,230400
68,6572478.0,707216,330124,146692,230400
69,2720106.0,471507,210192,30915,230400
70,1147129.0,411043,153779,26864,230400
71,8424532.0,1306922,491297,354825,460800
72,7553381.0,1224740,438866,325074,460800
73,2129118.0,434211,113661,90150,230400
74,928456.0,281706,50376,231330,0
75,4712628.0,836772,245568,360804,230400
76,2687040.0,351614,129825,221789,0
77,4741230.0,778437,233817,314220,230400
78,790263.0,237865,58019,179846,0
79,2595356.0,322699,146532,176167,0
80,1.8392064E7,3731635,992790,2047645,691200
81,926141.0,185674,66292,119382,0
82,9081232.0,1381993,497429,654164,230400
83,7000394.0,930896,361259,339237,230400
84,1455693.0,148903,88854,60049,0
85,1.4039053E7,3148734,783091,1674443,691200
86,2028770.0,238843,140727,98116,0
87,2.1210939E7,4224172,1201864,2100708,921600
88,4757728.0,324221,212035,112186,0
89,4263741.0,313889,215732,98157,0
90,386195.0,58640,43955,14685,0
91,1574919.0,123773,93298,30475,0
92,2963716.0,246995,167184,79811,0
93,984316.0,50388,34644,15744,0
94,1104997.0,113817,82648,31169,0
95,5113066.0,733083,313464,189219,230400
96,2988433.0,210527,145184,65343,0
97,929535.0,92278,68254,24024,0
98,4854584.0,553925,243708,310217,0
99,1.1871473E7,2379741,659023,1490318,230400
100,756077.0,53688,41626,12062,0
101,824504.0,105864,88096,17768,0
102,1.9664773E7,3703964,1021097,1761267,921600
103,1997646.0,430708,115243,85065,230400
104,2215452.0,461710,148699,313011,0
105,5770430.0,921416,249455,441561,230400
106,8501378.0,2121059,486069,1404590,230400
107,6633995.0,1144505,336636,347069,460800
108,1118900.0,291892,63389,228503,0
109,3474557.0,865658,190496,675162,0
110,2070299.0,412494,147196,265298,0
111,1978351.0,284743,107896,176847,0
112,9399448.0,1559335,560657,768278,230400
113,2028271.0,346343,128370,217973,0
114,2441572.0,282800,104110,178690,0
115,1.6807617E7,3469333,975275,2033258,460800
116,704071.0,212005,51742,160263,0
117,1660656.0,263747,119315,144432,0
118,1376385.0,254468,114504,139964,0
119,3492160.0,393546,175154,218392,0
120,1675313.0,211169,118206,92963,0
121,1326107.0,130321,69945,60376,0
122,2.0190232E7,3742427,1086400,2195227,460800
123,2254203.0,165399,132255,33144,0
124,5274500.0,804782,267640,537142,0
125,7636316.0,1886834,441087,1445747,0
126,3511742.0,532363,179810,122153,230400
127,4575009.0,824750,261175,333175,230400
128,2342906.0,517921,173348,114173,230400
129,940795.0,156336,82422,73914,0
130,7003735.0,1285941,358181,697360,230400
131,1.1546583E7,2360997,566706,1333491,460800
132,1.352067E7,3126027,764020,2131607,230400
133,4209796.0,758029,243849,283780,230400
134,2256327.0,496574,165544,100630,230400
135,6687052.0,1722484,413969,847715,460800
136,1.493967E7,3438166,869848,1877118,691200
137,3080865.0,667393,185857,481536,0
138,4220882.0,685361,216189,238772,230400
139,6139726.0,1267425,364065,903360,0
140,2712095.0,647453,202478,214575,230400
141,3728521.0,1030684,216963,583321,230400
142,3829776.0,1063108,231999,600709,230400
143,3383004.0,631768,185810,215558,230400
144,2765982.0,561035,161049,399986,0
145,4132652.0,1135736,241678,663658,230400
146,7506658.0,2005268,414437,1590831,0
147,1490742.0,342525,87908,254617,0
148,3936180.0,949093,240372,708721,0
149,1674751.0,325216,78776,246440,0
150,3020257.0,860944,192232,668712,0
151,9671612.0,2698017,598913,1638304,460800
152,5779889.0,1359698,343756,555142,460800
153,1922304.0,234368,91283,143085,0
154,9815086.0,2508322,511835,1766087,230400
155,3414780.0,791963,183174,608789,0
156,511628.0,81663,54730,26933,0
157,1.3206071E7,2986652,712682,1813170,460800
158,6548227.0,1836675,383053,1223222,230400
159,4062456.0,788176,211180,576996,0
160,1388499.0,182198,113321,68877,0
161,843298.0,130449,66161,64288,0
162,2212163.0,506520,112166,163954,230400
163,6264807.0,1402088,381373,1020715,0
164,2934405.0,616351,176066,440285,0
165,1.1027973E7,2483680,602910,1419970,460800
166,1811675.0,184283,84125,100158,0
167,5372929.0,1650429,338676,1081353,230400
168,361170.0,15491,12039,3452,0
169,5116484.0,1598227,334149,803278,460800
170,1249066.0,446058,105993,109665,230400
171,4131621.0,1041590,231236,810354,0
172,1.0361606E7,2275019,543421,809998,921600
173,6548745.0,1790952,403568,1387384,0
174,4068910.0,1174076,206892,967184,0
175,7015073.0,1716365,340811,1145154,230400
176,896277.0,331404,73427,257977,0
177,905007.0,239215,45463,193752,0
178,1.8954067E7,3289611,1132461,1465950,691200
179,861153.0,241278,54521,186757,0
180,6341200.0,1932035,391596,1079639,460800
181,1.2917676E7,2534785,710600,1132985,691200
182,2871052.0,944790,232532,481858,230400
183,1.6688407E7,2746686,930714,1355172,460800
184,1943267.0,287663,104214,183449,0
185,2952038.0,711733,178582,533151,0
186,1896516.0,322027,118818,203209,0
187,8488430.0,2135358,547906,1357052,230400
188,2631158.0,587942,137703,219839,230400
189,6753897.0,1788891,391194,936897,460800
190,1.8667497E7,2949725,1029301,1229224,691200
191,3877635.0,685308,192108,262800,230400
192,1377446.0,136882,67395,69487,0
193,546593.0,76496,38285,38211,0
194,2689959.0,646300,167313,478987,0
195,1.3860495E7,2440884,751684,1228400,460800
