,Sim_Percentage,cost_total,flowTime_avg,waiting_avg,time_workload_avg
0,0.1,9.8947445E8,470321.13333333336,9390291.0,0.41610741964510173
1,0.2,9.81541275E8,471241.32444444444,9393698.0,0.42667453898744195
2,0.3,1.025153218E9,587365.9644444444,2.906348E7,0.3117762594787988
3,0.4,1.036333125E9,599516.1733333333,2.9902549E7,2.904894862262892
4,0.5,1.055596051E9,551772.6133333333,2.2841898E7,0.41268443587986275
5,0.6,1.097438129E9,794255.56,7.5912572E7,0.37789909386550935
6,0.7,1.149101636E9,925784.44,1.05187935E8,0.700119695712103
7,0.8,1.134590464E9,1064310.608888889,1.35423145E8,0.4643405815918684
8,0.9,1.122588709E9,996840.64,1.1910198E8,0.5973455391792576
9,1.0,1.130057312E9,3.444560196444444E7,7.645524226E9,0.20066317536482384
