instanceId,costs,duration,effective,waiting,offTime
0,2373674.0,91002888,1114717,89657771,230400
1,857692.0,60720467,375436,60114631,230400
2,755192.0,35822445,232306,35359739,230400
3,492726.0,34472284,230613,34241671,0
4,567060.0,37630992,225830,37405162,0
5,266550.0,141699,41370,100329,0
6,346394.0,1170945,57852,1113093,0
7,654536.0,47860204,258048,47371756,230400
8,399882.0,17121269,124281,16996988,0
9,254324.0,4888346,51602,4836744,0
10,2049490.0,89913883,959665,88723818,230400
11,1095924.0,71226811,527882,70468529,230400
12,923080.0,56780193,341940,56207853,230400
13,437782.0,30062241,150371,29911870,0
14,1174434.0,75492749,497217,74765132,230400
15,298652.0,16357689,105446,16252243,0
16,644424.0,31902273,179757,31722516,0
17,371512.0,27202892,121246,27081646,0
18,541352.0,15358678,111651,15016627,230400
19,261527.0,1178941,40781,1138160,0
20,653434.0,34397539,158417,34239122,0
21,258036.0,9313539,61618,9251921,0
22,196440.0,1413681,36665,1146616,230400
23,374742.0,23799470,133976,23435094,230400
24,821822.0,63860593,355431,63274762,230400
25,1061388.0,65769907,446914,64631793,691200
26,414100.0,34901850,161140,34740710,0
27,559416.0,38234380,224198,37779782,230400
28,693548.0,44877824,237794,44640030,0
29,311840.0,17802972,78790,17724182,0
30,1467850.0,79347966,586625,78530941,230400
31,2254176.0,90339761,1040408,88838553,460800
32,543234.0,30947058,175722,30540936,230400
33,1744480.0,86186840,780220,84945820,460800
34,2665128.0,90982886,1258784,88572102,1152000
35,1779252.0,89024969,834566,88190403,0
36,2086766.0,90357784,996083,88670501,691200
37,863576.0,67902697,362028,67540669,0
38,422538.0,37552205,164319,37387886,0
39,1485706.0,83493079,661013,82601666,230400
40,685118.0,39368334,167359,39200975,0
41,1163072.0,63571914,331946,62548768,691200
42,631072.0,51433871,266066,50937405,230400
43,686088.0,38092003,220124,37641479,230400
44,265990.0,2407152,50905,2356247,0
45,257182.0,2429587,44811,2384776,0
46,307780.0,25341488,92575,25248913,0
47,208175.0,8431587,42200,8389387,0
48,529000.0,42951860,181810,42770050,0
49,339632.0,20351520,103801,20017319,230400
50,1056846.0,75393898,456163,74476935,460800
51,298807.0,5707515,80631,5626884,0
52,743150.0,38314346,215360,38098986,0
53,840330.0,62724836,308705,62185731,230400
54,399556.0,11744771,71888,11672883,0
55,472034.0,27698638,144572,27554066,0
56,344994.0,14897428,90937,14806491,0
57,424360.0,11762842,97970,11664872,0
58,1394974.0,78733196,585347,78147849,0
59,523832.0,25520985,168976,24891209,460800
60,1794158.0,83126753,781479,81884474,460800
61,570648.0,30848010,125064,30722946,0
62,206405.0,3128187,37645,3090542,0
63,541614.0,44711770,219917,44261453,230400
64,312384.0,30826463,96427,30730036,0
65,327049.0,9547409,81412,9465997,0
66,541798.0,28601184,128964,28472220,0
67,546076.0,36884562,181778,36472384,230400
68,718574.0,39992555,211157,39550998,230400
69,419096.0,19139759,96063,19043696,0
70,538176.0,38679395,133293,38315702,230400
71,1554300.0,82761703,719870,82041833,0
72,352602.0,16192164,126106,16066058,0
73,1227896.0,68183132,441408,67741724,0
74,530602.0,45092370,199641,44892729,0
75,1781558.0,85730929,765599,84274130,691200
76,430860.0,35386834,147690,35239144,0
77,554062.0,24448664,123571,24325093,0
78,303832.0,19165918,95451,19070467,0
79,414034.0,40155075,158327,39766348,230400
80,769484.0,54663036,252902,54410134,0
81,580928.0,49361563,220934,49140629,0
82,1135110.0,64835312,416395,63958117,460800
83,259453.0,16467114,76894,16390220,0
84,463376.0,31146365,122683,31023682,0
85,1013232.0,57688888,373326,57085162,230400
86,612502.0,24456769,129961,24326808,0
87,712732.0,61850508,328046,61522462,0
88,308060.0,21773926,96440,21677486,0
89,814438.0,63628047,342579,63285468,0
90,882436.0,68522943,362738,67929805,230400
91,758954.0,52067395,294087,51542908,230400
92,348888.0,38754061,124534,38629527,0
93,2226102.0,89092893,1032851,87599242,460800
94,250742.0,16580867,58186,16522681,0
95,626832.0,59832292,242826,59359066,230400
96,1583384.0,84765682,741232,83794050,230400
97,716486.0,35626303,160468,35235435,230400
98,1153898.0,76131710,495469,75175441,460800
99,1732490.0,84804250,758305,83815545,230400
100,223701.0,10761537,52378,10709159,0
101,594065.0,22200156,111040,22089116,0
102,598744.0,38746541,179592,38566949,0
103,806284.0,66402228,342882,66059346,0
