,K-Value,cost_total,flowTime_avg,waiting_avg,time_workload_avg
0,1.0,3.83073724E8,5.295351975111111E7,1.1805636544E10,1.1333820167295825
1,2.0,9.48323755E8,1.5790166315555556E7,3.449381157E9,1.8104221426934641
2,3.0,1.171491496E9,1.003448376E7,2.152074307E9,0.2524319136924483
3,4.0,1.191172366E9,6841811.155555556,1.431482309E9,0.2290740130885385
4,5.0,1.250697273E9,5222302.355555556,1.06910309E9,0.7672585085752294
5,6.0,1.277693253E9,3935420.9155555554,7.80512942E8,0.31576107765773215
6,7.0,1.310615455E9,3117190.9111111113,5.96180791E8,4.968971665916287
7,8.0,1.343483045E9,2510967.591111111,4.62601962E8,0.3740490544089988
8,9.0,1.427199675E9,2363676.8,4.22567343E8,0.4208670374666411
9,10.0,1.300453354E9,1712226.3244444444,2.80259134E8,1.0538491743675826
10,11.0,1.274785806E9,1436415.8844444444,2.20228159E8,0.5119573516296643
11,12.0,1.196668715E9,1120486.3644444444,1.50378268E8,1.7501059491980797
12,13.0,1.248915662E9,961277.9555555555,1.11709325E8,0.3039569135772602
13,14.0,1.236955982E9,811306.7733333333,8.0340482E7,0.28787631553919246
14,15.0,1.221692317E9,1365369.3333333333,2.02190742E8,0.3257358003934486
15,16.0,1.155217946E9,1149128.64,1.54048168E8,0.288473489892747
16,17.0,1.129701618E9,928425.9422222222,1.06100908E8,1.1237198673150979
17,18.0,1.119276548E9,817286.1866666666,7.8922816E7,0.28695417933258655
18,19.0,1.082857077E9,719508.4711111111,5.9176048E7,0.3089226121853714
19,20.0,1.058439996E9,646602.36,4.3281989E7,0.7564377012064545
20,21.0,1.071994969E9,609642.5777777778,3.5613329E7,0.4336210394620468
21,22.0,1.063648196E9,651332.1466666666,4.1527934E7,0.2162133942045775
22,23.0,1.035966364E9,560236.6266666667,2.5161426E7,0.6520067218485741
23,24.0,1.020011323E9,552382.9422222222,2.355998E7,0.337188097526622
