instanceId,costs,duration,effective,waiting,offTime
0,2263434.0,126551,103130,23421,0
1,1554205.0,248235,206309,41926,0
2,2492340.0,210663,150944,59719,0
3,3859488.0,199406,162454,36952,0
4,2453242.0,260870,216031,44839,0
5,3545527.0,561020,199406,361614,0
6,2583682.0,244720,192504,52216,0
7,1924839.0,232090,104028,128062,0
8,1346031.0,198918,56880,142038,0
9,1723791.0,521963,200462,91101,230400
10,1337595.0,462502,98282,364220,0
11,5051851.0,516773,204732,81641,230400
12,3161814.0,461330,158964,71966,230400
13,2857345.0,569151,213116,125635,230400
14,2810381.0,533860,200240,103220,230400
15,878895.0,546647,105201,441446,0
16,1981170.0,474310,78221,396089,0
17,1952316.0,496480,105781,160299,230400
18,3497581.0,532149,184000,348149,0
19,1887518.0,479110,129966,118744,230400
20,858778.0,449681,79961,139320,230400
21,4763715.0,910037,197021,713016,0
22,1721699.0,940098,96365,843733,0
23,4388864.0,929392,230018,468974,230400
24,2553185.0,526600,155654,370946,0
25,2593704.0,519092,169437,349655,0
26,1183101.0,903058,116436,786622,0
27,3115612.0,1054293,173322,880971,0
28,2010253.0,836487,125336,480751,230400
29,2635065.0,829353,195481,633872,0
30,2043925.0,804981,189835,615146,0
31,1374251.0,451362,82019,369343,0
32,2156126.0,796034,198346,367288,230400
33,3768511.0,792418,167274,394744,230400
34,1856047.0,714438,87277,396761,230400
35,1717220.0,1310234,128297,951537,230400
36,2505223.0,877569,178440,699129,0
37,4391101.0,1126817,185507,710910,230400
38,3494698.0,1159189,166489,992700,0
39,2180019.0,1104774,203136,901638,0
40,1873189.0,1128934,121688,1007246,0
41,1433934.0,619892,70445,549447,0
42,1248779.0,1128424,68378,1060046,0
43,2113115.0,755169,139279,385490,230400
44,2099017.0,1052632,158768,893864,0
45,3706468.0,1079677,223965,625312,230400
46,3761738.0,1055321,231936,823385,0
47,4066546.0,1865116,241476,1162840,460800
48,1777986.0,993598,125721,867877,0
49,3580744.0,1144297,190809,723088,230400
50,3146444.0,1615962,262663,1122899,230400
51,2516941.0,1141164,236902,673862,230400
52,3360466.0,1591723,244247,1117076,230400
53,1334267.0,1016820,111171,675249,230400
54,3926130.0,1092849,150351,712098,230400
55,5277766.0,1726753,223681,1272672,230400
56,4338585.0,2048551,269156,1779395,0
57,3422805.0,1440284,182867,1257417,0
58,2705445.0,2966223,217082,2518741,230400
59,1951286.0,1048507,160162,888345,0
60,1655156.0,1043756,80128,963628,0
61,3151494.0,1490516,201619,1058497,230400
62,3166457.0,1246858,237532,1009326,0
63,935395.0,1242941,43565,1199376,0
64,2488669.0,1501419,166423,1334996,0
65,3608251.0,1820550,222213,1598337,0
66,1796987.0,826396,158807,667589,0
67,894252.0,1198207,39642,1158565,0
