,Sim_Percentage,cost_total,flowTime_avg,waiting_avg,time_workload_avg
0,0.1,5.55E+08,1933352.44,3.81E+08,2.44540667
1,0.2,5.55E+08,1933352.44,3.81E+08,2.44540667
2,0.3,5.55E+08,1933352.44,3.81E+08,2.44540667
3,0.4,5.54E+08,1933352.44,3.81E+08,2.44540667
4,0.5,5.54E+08,1933352.44,3.81E+08,2.44540667
5,0.6,5.55E+08,1933352.44,3.81E+08,2.44540667
6,0.7,5.55E+08,1933352.44,3.81E+08,2.44540667
7,0.8,5.55E+08,1933352.44,3.81E+08,2.44540667
8,0.9,5.55E+08,1933352.44,3.81E+08,2.44540667
9,1,2.79E+08,2.00E+07,4.44E+09,0.397161541
,,,,,
,,,,,
,0.1,,22.38,4405.96,
,0.2,,22.38,4405.96,
,0.3,,22.38,4405.96,
,0.4,,22.38,4405.96,
,0.5,,22.38,4405.96,
,0.6,,22.38,4405.96,
,0.7,,22.38,4405.96,
,0.8,,22.38,4405.96,
,0.9,,22.38,4405.96,
,1.0,,231.09,51366.29,
