instanceId,costs,duration,effective,waiting,offTime
0,9712.0,4194,594,3600,0
1,57792.0,5063,5063,0,0
2,12651.0,1156,1156,0,0
3,45444.0,5346,5346,0,0
4,21465.0,4247,4247,0,0
5,10206.0,1059,1059,0,0
6,49410.0,6591,6591,0,0
7,53799.0,4805,4805,0,0
8,17606.0,2948,2948,0,0
9,62925.0,9038,9038,0,0
10,49815.0,4438,4438,0,0
11,14001.0,2748,2748,0,0
12,3198.0,219,219,0,0
13,15741.0,1986,1986,0,0
14,52637.0,6937,6937,0,0
15,15340.0,2578,2578,0,0
16,44346.0,4148,4148,0,0
17,17008.0,1286,1286,0,0
18,137857.0,11780,11780,0,0
19,19212.0,2089,2089,0,0
20,12096.0,219025,2067,216958,0
21,90037.0,218130,7925,210205,0
22,56336.0,203158,5188,197970,0
23,6419.0,176523,817,175706,0
24,39051.0,165383,4222,161161,0
25,10422.0,138897,5537,133360,0
26,40242.0,115724,4009,111715,0
27,45617.0,89652,4226,85426,0
28,22294.0,56351,1754,54597,0
29,94012.0,36497,7313,29184,0
30,28752.0,20143,3419,16724,0
31,41788.0,4067,4067,0,0
32,1596.0,309,309,0,0
33,6047.0,899,899,0,0
34,18778.0,2067,2067,0,0
35,104429.0,12246,12246,0,0
36,39246.0,4038,4038,0,0
37,10169.0,1126,1126,0,0
38,22517.0,2061,2061,0,0
39,181347.0,20587,20587,0,0
40,22673.0,1458,1458,0,0
41,39536.0,3574,3574,0,0
42,28470.0,2636,2636,0,0
43,74354.0,8057,8057,0,0
44,20044.0,2039,2039,0,0
45,113190.0,11743,11743,0,0
46,22758.0,2139,2139,0,0
47,51680.0,5313,5313,0,0
48,14859.0,1835,1835,0,0
49,80003.0,8634,8634,0,0
50,100340.0,238471,7332,739,230400
51,7871.0,208420,1049,207371,0
52,7007.0,192909,823,192086,0
53,14965.0,172712,1041,171671,0
54,42482.0,159399,4874,154525,0
55,150602.0,159455,15868,143587,0
56,67918.0,119997,6254,113743,0
57,26803.0,97644,3636,94008,0
58,33564.0,65282,2891,62391,0
59,14842.0,33987,3116,30871,0
60,72184.0,8380,8067,313,0
61,46958.0,10052,10052,0,0
62,38699.0,4312,4312,0,0
63,46538.0,7636,7636,0,0
64,54708.0,7020,7020,0,0
65,14259.0,2167,2167,0,0
66,13126.0,1256,1256,0,0
67,29646.0,3110,3110,0,0
68,23614.0,2443,2443,0,0
69,30930.0,4599,4599,0,0
70,28794.0,2606,2606,0,0
71,33335.0,2724,2724,0,0
72,77717.0,7952,7952,0,0
73,71530.0,8000,8000,0,0
74,37487.0,5605,5605,0,0
75,17710.0,1090,1090,0,0
76,6246.0,792,792,0,0
77,8359.0,1133,1133,0,0
78,15721.0,1395,1395,0,0
