instanceId,costs,duration,effective,waiting,offTime
0,3657.0,4194,594,3600,0
1,70688.0,5063,5063,0,0
2,3186.0,1156,1156,0,0
3,48255.0,5346,5346,0,0
4,59016.0,4247,4247,0,0
5,2018.0,1059,1059,0,0
6,69771.0,6591,6591,0,0
7,49959.0,4805,4805,0,0
8,19593.0,2948,2948,0,0
9,86142.0,9038,9038,0,0
10,62691.0,4438,4438,0,0
11,16011.0,2748,2748,0,0
12,314.0,219,219,0,0
13,22458.0,1986,1986,0,0
14,53276.0,6937,6937,0,0
15,38010.0,2578,2578,0,0
16,14708.0,4148,4148,0,0
17,12114.0,1286,1286,0,0
18,143404.0,11780,11780,0,0
19,17945.0,2089,2089,0,0
20,17733.0,219488,2530,216958,0
21,61482.0,216917,9144,207773,0
22,31994.0,200396,3365,197031,0
23,29598.0,180471,5826,174645,0
24,40489.0,159348,3606,155742,0
25,2592.0,131615,407,131208,0
26,27436.0,108734,2415,106319,0
27,72931.0,86140,5200,80940,0
28,50241.0,56965,5540,51425,0
29,38449.0,27956,3834,24122,0
30,80412.0,15348,4610,10738,0
31,36720.0,4067,4067,0,0
32,3220.0,309,309,0,0
33,8892.0,899,899,0,0
34,6884.0,2067,2067,0,0
35,135815.0,12246,12246,0,0
36,21049.0,4038,4038,0,0
37,7072.0,1126,1126,0,0
38,16703.0,2061,2061,0,0
39,268732.0,20587,20587,0,0
40,5558.0,1458,1458,0,0
41,25010.0,3574,3574,0,0
42,37962.0,2636,2636,0,0
43,74955.0,8057,8057,0,0
44,19718.0,2039,2039,0,0
45,114924.0,11743,11743,0,0
46,11968.0,2139,2139,0,0
47,32275.0,5313,5313,0,0
48,22892.0,1835,1835,0,0
49,91622.0,8634,8634,0,0
50,42640.0,237048,6648,0,230400
51,9348.0,208420,1049,207371,0
52,1304.0,192792,823,191969,0
53,42823.0,177035,5616,171419,0
54,1103.0,152115,795,151320,0
55,71772.0,147480,5720,141760,0
56,94120.0,117711,5802,111909,0
57,83780.0,101248,10331,90917,0
58,46719.0,63520,2847,60673,0
59,40234.0,31711,4155,27556,0
60,165041.0,13413,13413,0,0
61,87266.0,8640,8640,0,0
62,7470.0,3476,3476,0,0
63,111665.0,7636,7636,0,0
64,82542.0,7020,7020,0,0
65,26525.0,2167,2167,0,0
66,4522.0,1256,1256,0,0
67,46953.0,3110,3110,0,0
68,15443.0,2443,2443,0,0
69,21384.0,4599,4599,0,0
70,32744.0,2606,2606,0,0
71,44626.0,2724,2724,0,0
72,105950.0,7952,7952,0,0
73,86520.0,8000,8000,0,0
74,40316.0,5605,5605,0,0
75,6776.0,1090,1090,0,0
76,1454.0,792,792,0,0
77,4287.0,1133,1133,0,0
78,15162.0,1395,1395,0,0
79,27408.0,230493,2657,227836,0
80,20293.0,201670,1816,199854,0
81,49746.0,193662,5705,187957,0
82,17865.0,186287,2398,183889,0
83,70922.0,165214,9000,156214,0
84,48433.0,129504,3787,125717,0
85,6606.0,110814,1511,109303,0
86,58783.0,99575,3468,96107,0
87,62923.0,85445,4289,81156,0
88,38223.0,71016,5840,65176,0
89,27143.0,56800,1979,54821,0
90,4826.0,35672,2068,33604,0
