type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload
Role_5,967867.0,1.935734E7,1.3550138E7,8710803.0,1.8389473E7,1.29694178E7,1.29694178E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,9678670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,1.6453739E7,0,967867,0.0,242,1.8389473E7,0,967867,0.0,245,1.4518005E7,0,967867,0.0,27,1.3550138E7,0,967867,0.0,313,8710803.0,0,967867,0.0,337,1.2582271E7,0,967867,0.0,170,1.8389473E7,0,967867,0.0,162,967867.0,0,967867,0.0,142,6775069.0,0,967867,0.0,285,1.935734E7,0,967867,0.0
Role_6,1935734.0,1.8389473E7,1.1614404E7,5807202.0,1.8389473E7,1.20983375E7,1.20983375E8,64327.0,93955.0,76402.0,75326.0,81550.0,78236.6,782366.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,9678670.0,0.06646264414428842,0.09707428809950128,0.07893853184373473,0.07782680884873645,0.08425744446292724,0.08083404021420298,0.8083404021420298,264,8710803.0,72377,967867,0.07477990261058595,68,1.8389473E7,64327,967867,0.06646264414428842,16,1.8389473E7,85195,967867,0.08802345776847438,49,5807202.0,93955,967867,0.09707428809950128,70,5807202.0,81550,967867,0.08425744446292724,71,1.6453739E7,76402,967867,0.07893853184373473,40,1.5485872E7,75624,967867,0.07813470239196088,53,1935734.0,77263,967867,0.07982811687969525,10,1.8389473E7,75326,967867,0.07782680884873645,76,1.1614404E7,80347,967867,0.08301450509212525
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,NOT_SET,0.0,77415,967867,0.0799851632507359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_2,967867.0,1.6453739E7,5807202.0,3871468.0,1.3550138E7,8130082.8,8.1300828E7,9317.0,11995.0,9506.0,9449.0,10913.0,10269.2,102692.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,9678670.0,0.009626322624906107,0.012393231714688072,0.009821597388897442,0.009762704999757198,0.011275309520832924,0.010610135483491018,0.10610135483491018,275,1.6453739E7,9341,967867,0.009651119420333578,341,5807202.0,9506,967867,0.009821597388897442,166,1.3550138E7,9497,967867,0.00981229859061214,177,1.5485872E7,11912,967867,0.0123074761305014,167,967867.0,10737,967867,0.011093466354364805,2,1935734.0,10913,967867,0.011275309520832924,238,5807202.0,9317,967867,0.009626322624906107,19,3871468.0,10025,967867,0.0103578280900165,171,8710803.0,9449,967867,0.009762704999757198,183,8710803.0,11995,967867,0.012393231714688072
Role_3,0.0,1.8389473E7,1.1614404E7,2903601.0,1.8389473E7,1.14208306E7,1.14208306E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,9678670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,2903601.0,0,967867,0.0,330,8710803.0,0,967867,0.0,188,1.8389473E7,0,967867,0.0,23,1.5485872E7,0,967867,0.0,156,1.1614404E7,0,967867,0.0,3,1.8389473E7,0,967867,0.0,28,1.8389473E7,0,967867,0.0,106,1.7421606E7,0,967867,0.0,NOT_SET,0.0,0,967867,0.0,338,2903601.0,0,967867,0.0
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
