type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload
Role_5,967867.0,1.935734E7,1.2582271E7,6775069.0,1.6453739E7,1.1937026333333334E7,1.43244316E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,1.1614404E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,1.6453739E7,0,967867,0.0,242,1.8389473E7,0,967867,0.0,245,1.4518005E7,0,967867,0.0,27,1.3550138E7,0,967867,0.0,313,8710803.0,0,967867,0.0,38,3871468.0,0,967867,0.0,337,1.2582271E7,0,967867,0.0,170,1.8389473E7,0,967867,0.0,308,9678670.0,0,967867,0.0,162,967867.0,0,967867,0.0,142,6775069.0,0,967867,0.0,285,1.935734E7,0,967867,0.0
Role_6,1935734.0,1.8389473E7,1.0646537E7,5807202.0,1.6453739E7,1.11304705E7,1.33565646E8,50333.0,74882.0,65677.0,61940.0,66324.0,65197.166666666664,782366.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,1.1614404E7,0.052004046010453914,0.07736806813332824,0.06785746388708366,0.06399639619906454,0.0685259441638159,0.06736170017850249,0.8083404021420298,264,8710803.0,61940,967867,0.06399639619906454,68,1.8389473E7,66300,967867,0.06850114736838843,69,1.0646537E7,64472,967867,0.06661245811666272,16,1.8389473E7,65677,967867,0.06785746388708366,49,5807202.0,58643,967867,0.060589936427215725,70,5807202.0,50333,967867,0.052004046010453914,81,1935734.0,74882,967867,0.07736806813332824,71,1.6453739E7,63401,967867,0.06550590112071183,40,1.5485872E7,66324,967867,0.0685259441638159,53,1935734.0,73504,967867,0.07594431879586762,10,1.8389473E7,65751,967867,0.06793392067298502,76,1.1614404E7,71139,967867,0.07350080124645225
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,NOT_SET,0.0,77415,967867,0.0799851632507359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_2,967867.0,1.6453739E7,8710803.0,3871468.0,1.3550138E7,9033425.333333334,1.08401104E8,5878.0,10471.0,8692.0,7793.0,8981.0,8557.666666666666,102692.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,1.1614404E7,0.006073148480111421,0.010818635205043668,0.008980572743982385,0.008051726115261705,0.009279167488921516,0.008841779569575848,0.10610135483491016,275,1.6453739E7,8878,967867,0.009172747908545286,341,5807202.0,7793,967867,0.008051726115261705,155,1.6453739E7,8981,967867,0.009279167488921516,166,1.3550138E7,8430,967867,0.008709874393899161,177,1.5485872E7,9383,967867,0.009694513812331653,167,967867.0,8692,967867,0.008980572743982385,2,1935734.0,8279,967867,0.008553861222667991,238,5807202.0,9827,967867,0.010153254527739864,19,3871468.0,10471,967867,0.010818635205043668,171,8710803.0,7268,967867,0.007509296215285778,183,8710803.0,5878,967867,0.006073148480111421,309,1.0646537E7,8812,967867,0.00910455672111974
Role_3,0.0,1.935734E7,1.1614404E7,2903601.0,1.8389473E7,1.185637075E7,1.42276449E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,1.1614404E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,2903601.0,0,967867,0.0,330,8710803.0,0,967867,0.0,188,1.8389473E7,0,967867,0.0,23,1.5485872E7,0,967867,0.0,156,1.1614404E7,0,967867,0.0,3,1.8389473E7,0,967867,0.0,226,1.935734E7,0,967867,0.0,28,1.8389473E7,0,967867,0.0,106,1.7421606E7,0,967867,0.0,315,8710803.0,0,967867,0.0,NOT_SET,0.0,0,967867,0.0,338,2903601.0,0,967867,0.0
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
