type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload
Role_5,967867.0,1.935734E7,1.2582271E7,8710803.0,1.6453739E7,1.191220923076923E7,1.5485872E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,1.2582271E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1.3550138E7,0,967867,0.0,38,3871468.0,0,967867,0.0,170,1.8389473E7,0,967867,0.0,162,967867.0,0,967867,0.0,142,6775069.0,0,967867,0.0,285,1.935734E7,0,967867,0.0,187,1.6453739E7,0,967867,0.0,242,1.8389473E7,0,967867,0.0,245,1.4518005E7,0,967867,0.0,225,1.1614404E7,0,967867,0.0,313,8710803.0,0,967867,0.0,337,1.2582271E7,0,967867,0.0,308,9678670.0,0,967867,0.0
Role_6,1935734.0,1.935734E7,1.1614404E7,5807202.0,1.8389473E7,1.1763306615384616E7,1.52922986E8,52241.0,75207.0,58869.0,56036.0,64102.0,60182.0,782366.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,1.2582271E7,0.05397539124693786,0.07770385807140857,0.06082343958415774,0.05789638452390669,0.06623017418715588,0.0621800309340023,0.80834040214203,12,1.935734E7,52241,967867,0.05397539124693786,68,1.8389473E7,56937,967867,0.05882729755224633,69,1.0646537E7,67701,967867,0.06994866030146704,16,1.8389473E7,75207,967867,0.07770385807140857,49,5807202.0,64102,967867,0.06623017418715588,264,8710803.0,56036,967867,0.05789638452390669,70,5807202.0,58869,967867,0.06082343958415774,81,1935734.0,60515,967867,0.06252408647055846,71,1.6453739E7,52355,967867,0.05409317602521834,40,1.5485872E7,55611,967867,0.05745727460487856,53,1935734.0,60775,967867,0.06279271842102273,10,1.8389473E7,57545,967867,0.05945548303640893,76,1.1614404E7,64472,967867,0.06661245811666272
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,NOT_SET,0.0,77415,967867,0.0799851632507359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_2,967867.0,1.6453739E7,8710803.0,4839335.0,1.3550138E7,8710803.0,1.13240439E8,6331.0,10249.0,7823.0,6897.0,8451.0,7899.384615384615,102692.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,1.2582271E7,0.006541187993804934,0.010589264847339562,0.008082722109546043,0.0071259790859694565,0.008731571589898198,0.008161642679608474,0.10610135483491016,19,3871468.0,6644,967867,0.006864579534171534,171,8710803.0,10249,967867,0.010589264847339562,183,8710803.0,7525,967867,0.007774828566321612,275,1.6453739E7,8239,967867,0.008512533230288872,341,5807202.0,6372,967867,0.00658354918599353,155,1.6453739E7,7823,967867,0.008082722109546043,166,1.3550138E7,9517,967867,0.009832962586801698,177,1.5485872E7,8123,967867,0.00839268205238943,167,967867.0,8451,967867,0.008731571589898198,2,1935734.0,6331,967867,0.006541187993804934,314,4839335.0,7395,967867,0.007640512591089478,238,5807202.0,6897,967867,0.0071259790859694565,309,1.0646537E7,9126,967867,0.009428981461295819
Role_3,0.0,1.935734E7,1.1614404E7,7742936.0,1.8389473E7,1.1539952692307692E7,1.50019385E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,1.2582271E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1.5485872E7,0,967867,0.0,28,1.8389473E7,0,967867,0.0,286,2903601.0,0,967867,0.0,330,8710803.0,0,967867,0.0,188,1.8389473E7,0,967867,0.0,145,7742936.0,0,967867,0.0,156,1.1614404E7,0,967867,0.0,3,1.8389473E7,0,967867,0.0,226,1.935734E7,0,967867,0.0,106,1.7421606E7,0,967867,0.0,315,8710803.0,0,967867,0.0,NOT_SET,0.0,0,967867,0.0,338,2903601.0,0,967867,0.0
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
