,K-Value,cost_total,flowTime_avg,waiting_avg,time_workload_avg
0,1.0,4899580.0,62546.01777777778,1.2649581E7,0.09040244729342507
1,2.0,1.0653437E7,55200.07111111111,1.1227143E7,0.04883691288538236
2,3.0,1.0320961E7,53456.915555555555,1.0834933E7,0.03498173474936812
3,4.0,9741031.0,52764.217777777776,1.0679076E7,0.028054145681360988
4,5.0,8998075.0,52414.07111111111,1.0600293E7,0.02389759224055672
5,6.0,1.003381E7,52239.88444444445,1.0561101E7,0.021126556613353872
6,7.0,1.0802572E7,52153.28,1.0541615E7,0.019147245451066122
7,8.0,9871288.0,52119.484444444446,1.0534011E7,0.017662762079350306
8,9.0,1.0482829E7,52102.4,1.0530167E7,0.016508163901349123
9,10.0,1.0464987E7,52098.137777777774,1.0529208E7,0.015584485358948174
10,11.0,9751206.0,52098.137777777774,1.0529208E7,0.014828748369711035
11,12.0,9926632.0,52098.137777777774,1.0529208E7,0.014198967545346749
12,13.0,1.0392717E7,52098.137777777774,1.0529208E7,0.013666076078576972
