instanceId,costs,duration,effective,waiting,offTime
0,1943049.0,106730,103130,3600,0
1,3918710.0,208172,206554,1618,0
2,1877834.0,150699,150699,0,0
3,2227291.0,224134,224134,0,0
4,3900749.0,154351,154351,0,0
5,2084788.0,177746,108726,69020,0
6,2544542.0,238309,170993,67316,0
7,2420682.0,217153,217153,0,0
8,1135998.0,116721,56454,60267,0
9,4600228.0,444193,200462,13331,230400
10,4118281.0,451595,208781,12414,230400
11,1573619.0,125526,93194,32332,0
12,2572740.0,439071,208671,0,230400
13,2590441.0,452718,213116,9202,230400
14,2013786.0,389641,151064,8177,230400
15,2484697.0,421790,105201,316589,0
16,1688607.0,387533,78221,309312,0
17,1731015.0,390589,105781,284808,0
18,2373845.0,451716,184016,267700,0
19,1743852.0,396012,129762,35850,230400
20,1890912.0,352570,79961,42209,230400
21,969941.0,330516,82078,248438,0
22,1429963.0,484447,103983,380464,0
23,2882735.0,837888,195736,411752,230400
24,2323933.0,528938,92312,436626,0
25,3313978.0,352390,169468,182922,0
26,1410042.0,445490,88903,356587,0
27,4478580.0,482705,183673,299032,0
28,1296902.0,744518,110964,403154,230400
29,2115284.0,394952,196378,198574,0
30,3282434.0,390270,196395,193875,0
31,3697632.0,455241,219423,235818,0
32,3891972.0,239945,155264,84681,0
33,2160072.0,660985,211125,219460,230400
34,2182654.0,254940,189952,64988,0
35,3936360.0,719768,222791,266577,230400
36,2456900.0,652928,157268,495660,0
37,1745458.0,524240,72948,220892,230400
38,4551849.0,642625,207202,435423,0
39,1902929.0,580446,134043,446403,0
40,1478097.0,631101,155684,475417,0
41,3360864.0,678700,216820,461880,0
42,3220507.0,723990,248186,475804,0
43,2764785.0,663438,127549,535889,0
44,3586782.0,693017,155629,537388,0
45,1105886.0,647787,116877,530910,0
46,1888535.0,680107,116833,563274,0
47,1557923.0,623002,74154,548848,0
48,1043266.0,632262,109962,522300,0
49,4475650.0,962575,243279,488896,230400
50,4189705.0,926957,188779,277378,460800
51,2662904.0,638110,146545,261165,230400
52,1764479.0,892307,120562,541345,230400
53,1782098.0,904875,156325,287750,460800
54,2132220.0,879357,146723,502234,230400
55,5488717.0,1151573,237395,914178,0
56,2809366.0,1000731,235798,764933,0
57,3695435.0,1027399,205336,822063,0
58,2084473.0,963303,79257,884046,0
59,4389732.0,935008,176080,758928,0
60,2829891.0,1098681,138564,960117,0
61,3035332.0,864398,218969,645429,0
62,1801301.0,752807,79220,673587,0
63,2969082.0,875734,173063,702671,0
64,1710665.0,809290,221115,588175,0
65,2785160.0,903549,219208,684341,0
66,1792546.0,914406,181232,733174,0
67,1385607.0,897281,76203,821078,0
68,2624680.0,1222540,206542,785598,230400
69,2318634.0,921806,140347,781459,0
70,2140230.0,864865,85213,779652,0
71,4612036.0,1203430,222995,750035,230400
72,2135189.0,1192822,262132,700290,230400
73,3589587.0,1181730,249640,701690,230400
74,2525653.0,1131154,120068,780686,230400
75,2635428.0,1241308,208317,1032991,0
76,3127191.0,1173751,130231,1043520,0
77,1548032.0,1198200,112537,1085663,0
78,1210711.0,1171493,87012,1084481,0
79,1737761.0,1159779,109223,1050556,0
80,1599996.0,1154986,83257,1071729,0
81,4158292.0,1217464,169723,1047741,0
82,2809703.0,1133656,163939,739317,230400
83,2858602.0,1180532,205103,745029,230400
84,2630757.0,1204079,231275,742404,230400
85,1625822.0,1101709,107683,994026,0
86,921988.0,1190315,58478,1131837,0
87,2181994.0,1483561,134693,1348868,0
88,1775437.0,1112437,115302,997135,0
89,1190634.0,1108738,82444,1026294,0
90,1985882.0,1064149,82563,981586,0
91,2046928.0,1386627,141870,1014357,230400
92,1741613.0,1307660,94195,983065,230400
93,3829169.0,1305847,151032,924415,230400
94,1845818.0,1290629,144901,915328,230400
95,1948819.0,949483,123660,825823,0
96,2732320.0,1341596,218400,892796,230400
97,2237443.0,1271582,92224,1179358,0
98,2662154.0,1352641,219749,1132892,0
99,3377932.0,1307842,156150,1151692,0
100,1687805.0,1294304,142696,1151608,0
101,4564297.0,1357996,188275,1169721,0
102,2372896.0,1355681,148353,1207328,0
103,1422352.0,1232895,73542,1159353,0
104,1911415.0,1300450,117275,1183175,0
105,1687382.0,1376228,220894,1155334,0
106,2921947.0,1328236,187206,1141030,0
107,4956468.0,1629364,224886,1174078,230400
108,4554839.0,1635135,235230,1169505,230400
109,1397162.0,1639037,134500,1274137,230400
110,2700014.0,1364043,177508,1186535,0
111,1572681.0,1612847,84768,1297679,230400
112,1660798.0,1568029,123791,1213838,230400
113,1836407.0,1620492,141026,1479466,0
114,1239609.0,1551715,60075,1491640,0
115,1381361.0,1519450,55059,1464391,0
116,1710185.0,1630614,148125,1482489,0
117,3315540.0,1609132,229003,1380129,0
118,1858759.0,1647424,100804,1546620,0
119,1327323.0,1433988,102321,1331667,0
120,1224719.0,1618919,92312,1526607,0
121,4967098.0,1569859,204230,1365629,0
122,2536906.0,1630303,122295,1508008,0
123,2960647.0,1481011,181164,1299847,0
124,2282593.0,1447144,186733,1260411,0
125,2208840.0,1535677,137329,1398348,0
126,3318972.0,1375234,140868,1234366,0
127,2433043.0,1447932,189146,1258786,0
128,1828228.0,1479011,116198,1362813,0
129,3028101.0,1790051,170834,1388817,230400
130,1148860.0,1771023,130955,1409668,230400
131,1004545.0,1403406,49585,1353821,0
132,1421254.0,1390804,73539,1317265,0
133,1070199.0,1373809,62994,1310815,0
134,3035379.0,1615448,119691,1265357,230400
135,1907359.0,1612411,149220,1232791,230400
136,2359295.0,1629499,162710,1236389,230400
137,3451703.0,1644625,141680,1502945,0
138,2319721.0,1687722,206125,1251197,230400
139,2575920.0,1653697,156079,1497618,0
140,1042439.0,1592766,78305,1514461,0
141,2921262.0,1694204,205415,1258389,230400
142,2210048.0,1603466,117671,1255395,230400
143,2760917.0,1622736,129088,1263248,230400
144,1777817.0,1710318,155890,1554428,0
145,3526690.0,2059224,172753,1656071,230400
146,2348125.0,2174214,136597,2037617,0
147,1856311.0,1700152,96074,1604078,0
148,3121262.0,2063486,164957,1668129,230400
149,2152809.0,2115250,122847,1992403,0
150,2550188.0,1736404,193008,1543396,0
151,2027044.0,1537934,117774,1420160,0
152,2629477.0,1603263,222808,1380455,0
153,1999964.0,1574115,121439,1452676,0
154,2108660.0,1621981,98746,1523235,0
