type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload
Role_12,2942664.0,1.2506322E7,8092326.0,2942664.0,1.2506322E7,7847104.0,2.3541312E7,7002546.0,7086105.0,7022410.0,7002546.0,7086105.0,7037020.333333333,2.1111061E7,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,9.518648408380978,9.6322312027469,9.545649792161116,9.518648408380978,9.6322312027469,9.565509801096331,28.69652940328899,Carmen Finacse,1.2506322E7,7086105,735666,9.6322312027469,Esmeralda Clay,8092326.0,7002546,735666,9.518648408380978,Kiu Kan,2942664.0,7022410,735666,9.545649792161116
Role_13,8092326.0,2.0598648E7,1.1770656E7,8092326.0,2.0598648E7,1.348721E7,4.046163E7,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.01835071894038871,Tesca Lobes,2.0598648E7,4500,735666,0.006116906313462903,Immanuel Karagianni,1.1770656E7,4500,735666,0.006116906313462903,Elvira Lores,8092326.0,4500,735666,0.006116906313462903
Role_10,1.0299324E7,2.1334314E7,1.7655984E7,1.0299324E7,2.1334314E7,1.6429874E7,4.9289622E7,41422.0,43524.0,42873.0,41422.0,43524.0,42606.333333333336,127819.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,0.05630544295916897,0.0591627178638132,0.058277805417132234,0.05630544295916897,0.0591627178638132,0.057915322080038134,0.1737459662401144,Karel de Groot,1.7655984E7,43524,735666,0.0591627178638132,Magdalena Predutta,1.0299324E7,41422,735666,0.05630544295916897,Francois de Perrier,2.1334314E7,42873,735666,0.058277805417132234
Role_21,5149662.0,1.5448986E7,1.1770656E7,5149662.0,1.5448986E7,1.0789768E7,3.2369304E7,3491.0,5483.0,4523.0,3491.0,5483.0,4499.0,13497.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,0.0047453599867331095,0.007453110514826022,0.006148170501287269,0.0047453599867331095,0.007453110514826022,0.0061155470009488,0.0183466410028464,Kim Passa,1.5448986E7,5483,735666,0.007453110514826022,Miu Hanwan,5149662.0,3491,735666,0.0047453599867331095,Immanuel Karagianni,1.1770656E7,4523,735666,0.006148170501287269
Role_11,2942664.0,1.2506322E7,6620994.0,2942664.0,1.2506322E7,7356660.0,2.206998E7,85352.0,88289.0,88084.0,85352.0,88289.0,87241.66666666667,261725.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,0.11602004170370793,0.12001234255762805,0.11973368349223697,0.11602004170370793,0.12001234255762805,0.11858868925119098,0.35576606775357295,Carmen Finacse,1.2506322E7,85352,735666,0.11602004170370793,Karen Clarens,6620994.0,88084,735666,0.11973368349223697,Kiu Kan,2942664.0,88289,735666,0.12001234255762805
Role_16,8092326.0,2.206998E7,8092326.0,8092326.0,2.206998E7,1.5081153E7,3.0162306E7,30005.0,30399.0,30005.0,30005.0,30399.0,30202.0,60404.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,1471332.0,0.04078617198565653,0.04132174111621306,0.04078617198565653,0.04078617198565653,0.04132174111621306,0.0410539565509348,0.0821079131018696,Pedro Alvares,2.206998E7,30005,735666,0.04078617198565653,Karalda Nimwada,8092326.0,30399,735666,0.04132174111621306,,,,,
Role_17,8092326.0,2.206998E7,8092326.0,8092326.0,2.206998E7,1.5081153E7,3.0162306E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,1471332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,2.206998E7,0,735666,0.0,Karalda Nimwada,8092326.0,0,735666,0.0,,,,,
Role_14,1.0299324E7,2.1334314E7,1.7655984E7,1.0299324E7,2.1334314E7,1.6429874E7,4.9289622E7,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.01835071894038871,Karel de Groot,1.7655984E7,4500,735666,0.006116906313462903,Magdalena Predutta,1.0299324E7,4500,735666,0.006116906313462903,Francois de Perrier,2.1334314E7,4500,735666,0.006116906313462903
Role_15,2942664.0,1.2506322E7,8092326.0,2942664.0,1.2506322E7,7847104.0,2.3541312E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,1.2506322E7,0,735666,0.0,Esmeralda Clay,8092326.0,0,735666,0.0,Kiu Kan,2942664.0,0,735666,0.0
Role_9,1.0299324E7,2.1334314E7,1.7655984E7,1.0299324E7,2.1334314E7,1.6429874E7,4.9289622E7,2485568.0,2524003.0,2487285.0,2485568.0,2524003.0,2498952.0,7496856.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,3.3786636870536357,3.4309088635331793,3.3809976266403505,3.3786636870536357,3.4309088635331793,3.3968567257423885,10.190570177227166,Karel de Groot,1.7655984E7,2524003,735666,3.4309088635331793,Magdalena Predutta,1.0299324E7,2485568,735666,3.3786636870536357,Francois de Perrier,2.1334314E7,2487285,735666,3.3809976266403505
