type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload
Role_12,2942664.0,8092326.0,6620994.0,2942664.0,8092326.0,5885328.0,1.7655984E7,7002546.0,7086105.0,7022410.0,7002546.0,7086105.0,7037020.333333333,2.1111061E7,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,9.518648408380978,9.6322312027469,9.545649792161116,9.518648408380978,9.6322312027469,9.565509801096331,28.69652940328899,Esmeralda Clay,8092326.0,7086105,735666,9.6322312027469,Karen Clarens,6620994.0,7022410,735666,9.545649792161116,Kiu Kan,2942664.0,7002546,735666,9.518648408380978
Role_13,5149662.0,1.7655984E7,1.1770656E7,5149662.0,1.7655984E7,1.1525434E7,3.4576302E7,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.01835071894038871,Miu Hanwan,5149662.0,4500,735666,0.006116906313462903,Fjodor Kowalski,1.7655984E7,4500,735666,0.006116906313462903,Immanuel Karagianni,1.1770656E7,4500,735666,0.006116906313462903
Role_10,1.0299324E7,2.1334314E7,1.7655984E7,1.0299324E7,2.1334314E7,1.6429874E7,4.9289622E7,41128.0,43524.0,43167.0,41128.0,43524.0,42606.333333333336,127819.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,0.05590580508002273,0.0591627178638132,0.05867744329627848,0.05590580508002273,0.0591627178638132,0.057915322080038134,0.1737459662401144,Karel de Groot,1.7655984E7,43524,735666,0.0591627178638132,Magdalena Predutta,1.0299324E7,43167,735666,0.05867744329627848,Francois de Perrier,2.1334314E7,41128,735666,0.05590580508002273
Role_11,2942664.0,1.2506322E7,6620994.0,2942664.0,1.2506322E7,7356660.0,2.206998E7,80908.0,91956.0,88861.0,80908.0,91956.0,87241.66666666667,261725.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,0.10997925689103479,0.12499694154684327,0.1207898693156949,0.10997925689103479,0.12499694154684327,0.11858868925119098,0.35576606775357295,Carmen Finacse,1.2506322E7,80908,735666,0.10997925689103479,Karen Clarens,6620994.0,91956,735666,0.12499694154684327,Kiu Kan,2942664.0,88861,735666,0.1207898693156949
Role_16,8092326.0,2.206998E7,8092326.0,8092326.0,2.206998E7,1.5081153E7,3.0162306E7,30005.0,30399.0,30005.0,30005.0,30399.0,30202.0,60404.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,1471332.0,0.04078617198565653,0.04132174111621306,0.04078617198565653,0.04078617198565653,0.04132174111621306,0.0410539565509348,0.0821079131018696,Pedro Alvares,2.206998E7,30005,735666,0.04078617198565653,Karalda Nimwada,8092326.0,30399,735666,0.04132174111621306,,,,,
Role_17,8092326.0,2.206998E7,8092326.0,8092326.0,2.206998E7,1.5081153E7,3.0162306E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,1471332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,2.206998E7,0,735666,0.0,Karalda Nimwada,8092326.0,0,735666,0.0,,,,,
Role_14,1.0299324E7,2.1334314E7,1.7655984E7,1.0299324E7,2.1334314E7,1.6429874E7,4.9289622E7,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.006116906313462903,0.01835071894038871,Karel de Groot,1.7655984E7,4500,735666,0.006116906313462903,Magdalena Predutta,1.0299324E7,4500,735666,0.006116906313462903,Francois de Perrier,2.1334314E7,4500,735666,0.006116906313462903
Role_15,2942664.0,1.7655984E7,8092326.0,2942664.0,1.7655984E7,9563658.0,2.8690974E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Esmeralda Clay,8092326.0,0,735666,0.0,Kiu Kan,2942664.0,0,735666,0.0,Sean Manney,1.7655984E7,0,735666,0.0
Role_9,1.0299324E7,2.1334314E7,1.7655984E7,1.0299324E7,2.1334314E7,1.6429874E7,4.9289622E7,2462045.0,2550191.0,2484620.0,2462045.0,2550191.0,2498952.0,7496856.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,3.346688578784394,3.466506539652505,3.3773750587902662,3.346688578784394,3.466506539652505,3.3968567257423885,10.190570177227166,Karel de Groot,1.7655984E7,2550191,735666,3.466506539652505,Magdalena Predutta,1.0299324E7,2484620,735666,3.3773750587902662,Francois de Perrier,2.1334314E7,2462045,735666,3.346688578784394
Role_5,1.0299324E7,2.1334314E7,1.7655984E7,1.0299324E7,2.1334314E7,1.6429874E7,4.9289622E7,100155.0,107740.0,106203.0,100155.0,107740.0,104699.33333333333,314098.0,735666.0,735666.0,735666.0,735666.0,735666.0,735666.0,2206998.0,0.1361419448499727,0.14645233026944293,0.14436306693526682,0.1361419448499727,0.14645233026944293,0.14231911401822747,0.42695734205468244,Karel de Groot,1.7655984E7,106203,735666,0.14436306693526682,Magdalena Predutta,1.0299324E7,100155,735666,0.1361419448499727,Francois de Perrier,2.1334314E7,107740,735666,0.14645233026944293
