instanceId,costs,duration,effective,waiting,offTime
0,1921287.0,105220,101620,3600,0
1,3888025.0,208572,206954,1618,0
2,1833505.0,148194,148194,0,0
3,5405636.0,224134,224134,0,0
4,2232475.0,152269,152269,0,0
5,1562163.0,176558,108726,67832,0
6,2543706.0,237718,170575,67143,0
7,2416549.0,216218,216218,0,0
8,945208.0,116227,54435,61792,0
9,3367824.0,443699,199623,13676,230400
10,2282604.0,128598,95361,33237,0
11,2174167.0,444004,201664,11940,230400
12,5296116.0,439071,208671,0,230400
13,2590315.0,451411,211809,9202,230400
14,1966490.0,389050,151064,7586,230400
15,2023285.0,421296,104690,316606,0
16,1158652.0,386345,77703,308642,0
17,2434562.0,455982,187480,268502,0
18,1130341.0,384544,98547,285997,0
19,3253709.0,396012,129002,36610,230400
20,1540197.0,350209,78094,41715,230400
21,976133.0,330516,82078,248438,0
22,2153744.0,549114,88238,460876,0
23,4832411.0,800796,209832,360564,230400
24,1890667.0,358748,169397,189351,0
25,3165618.0,354265,155081,199184,0
26,2136354.0,386677,189854,196823,0
27,3261156.0,420192,196375,223817,0
28,1708321.0,487072,218519,268553,0
29,3433515.0,474692,181607,293085,0
30,4683032.0,371958,197064,174894,0
31,1403004.0,402169,87610,314559,0
32,1256502.0,646003,108921,306682,230400
33,1434362.0,334274,103559,230715,0
34,2886783.0,678493,193118,254975,230400
35,1577982.0,718580,221587,266593,230400
36,2427908.0,652068,152692,499376,0
37,1586427.0,523746,71295,222051,230400
38,3615009.0,642131,207202,434929,0
39,3106912.0,580446,127168,453278,0
40,3225119.0,726998,248720,478278,0
41,3384119.0,678109,214988,463121,0
42,2938110.0,628093,151723,476370,0
43,1853228.0,662250,127549,534701,0
44,2829717.0,692523,155382,537141,0
45,2479387.0,647787,116877,530910,0
46,1195691.0,641368,74102,567266,0
47,1689219.0,658132,109473,548659,0
48,2384485.0,632262,109962,522300,0
49,2151298.0,961387,242843,488144,230400
50,3280172.0,926463,188779,276884,460800
51,2641135.0,638110,146545,261165,230400
52,3953061.0,916241,163943,291498,460800
53,1466707.0,880941,105695,544846,230400
54,2106150.0,878766,144041,504325,230400
55,3687649.0,951105,175781,775324,0
56,1704479.0,961315,78263,883052,0
57,2868434.0,989281,235361,753920,0
58,5055806.0,1016138,218758,797380,0
59,2871597.0,1071346,170109,901237,0
60,4346873.0,1134905,187113,947792,0
61,3017942.0,864398,218635,645763,0
62,1612875.0,827212,203915,623297,0
63,2717076.0,921591,218826,702765,0
64,1892167.0,754187,77763,676424,0
65,4301461.0,920243,232212,688031,0
66,1674517.0,877501,129407,748094,0
67,1352067.0,896183,73240,822943,0
68,2686766.0,1222540,206542,785598,230400
69,1252867.0,920618,140195,780423,0
70,1744199.0,862500,83342,779158,0
71,2133579.0,1136858,124753,781705,230400
72,5731572.0,1183034,250322,702312,230400
73,2722274.0,1200159,220273,749486,230400
74,3249889.0,1186346,255420,700526,230400
75,2643146.0,1241308,208317,1032991,0
76,2641111.0,1173723,130697,1043026,0
77,2352691.0,1198095,111239,1086856,0
78,1582230.0,1171007,87012,1083995,0
79,1748253.0,1158054,108042,1050012,0
80,1653222.0,1155049,80657,1074392,0
81,1248374.0,1216958,169723,1047235,0
82,2352341.0,1133144,162526,740218,230400
83,4664441.0,1180427,203723,746304,230400
84,4572987.0,1203108,228793,743915,230400
85,1568843.0,1099977,104949,764628,230400
86,1053844.0,1189499,57019,1132480,0
87,2834193.0,1552941,221512,1101029,230400
88,1793246.0,1112437,115302,997135,0
89,1760853.0,1404418,150700,1023318,230400
90,3390947.0,1397267,145447,1021420,230400
91,986134.0,1086167,76624,1009543,0
92,2436569.0,1366680,143963,992317,230400
93,1607621.0,998150,120891,877259,0
94,1864658.0,1228625,92495,905730,230400
95,989807.0,925867,85081,840786,0
96,2060854.0,1271370,128353,1143017,0
97,1166580.0,1271076,92224,1178852,0
98,4912671.0,1352536,219749,1132787,0
99,3110847.0,1306996,156150,1150846,0
100,2246153.0,1293488,141203,1152285,0
101,1563927.0,1356492,187277,1169215,0
102,2403119.0,1354835,144805,1210030,0
103,1421608.0,1232895,73542,1159353,0
104,3096183.0,1300345,117275,1183070,0
105,2807081.0,1375412,218871,1156541,0
106,2560256.0,1328236,187206,1141030,0
107,1738015.0,1628858,224886,1173572,230400
108,4713976.0,1375180,187759,1187421,0
109,4425335.0,1631676,231913,1169363,230400
110,1551501.0,1627838,123775,1273663,230400
111,2172809.0,1612742,83078,1299264,230400
112,1556277.0,1568029,121654,1215975,230400
113,1619450.0,1620492,139324,1481168,0
114,1270844.0,1550869,57555,1493314,0
115,712325.0,1517983,54098,1463885,0
116,2440351.0,1635308,136722,1498586,0
117,5405844.0,1609027,229003,1380024,0
118,1857179.0,1622228,119000,1503228,0
119,2192358.0,1432598,101036,1331562,0
120,2402515.0,1622380,96211,1526169,0
