instanceId,costs,duration,effective,waiting,offTime
0,1951836.0,105220,101620,3600,0
1,3894945.0,208572,206954,1618,0
2,1842283.0,148194,148194,0,0
3,5465076.0,224134,224134,0,0
4,2278155.0,152269,152269,0,0
5,1579215.0,176558,108726,67832,0
6,2481456.0,237718,170575,67143,0
7,2405772.0,216218,216218,0,0
8,953168.0,116227,54435,61792,0
9,3301596.0,443699,199623,13676,230400
10,2254827.0,128598,95361,33237,0
11,2191777.0,444004,201664,11940,230400
12,5318178.0,439071,208671,0,230400
13,2597195.0,451411,211809,9202,230400
14,2036943.0,389050,151064,7586,230400
15,2026617.0,421296,104690,316606,0
16,1155877.0,386345,77703,308642,0
17,2490778.0,455982,187480,268502,0
18,1157515.0,384544,98547,285997,0
19,3248119.0,396012,129002,36610,230400
20,1531695.0,350209,78094,41715,230400
21,988008.0,330516,82748,247768,0
22,1459635.0,484447,104255,380192,0
23,3471336.0,515979,182257,333722,0
24,4775643.0,787863,210350,347113,230400
25,2090312.0,519266,88562,430704,0
26,1747512.0,496783,218442,278341,0
27,3293874.0,420192,196725,223467,0
28,1887354.0,334903,169723,165180,0
29,3205566.0,333457,155369,178088,0
30,1282570.0,717015,109182,377433,230400
31,2933411.0,767500,192358,344742,230400
32,4672178.0,300946,196715,104231,0
33,2104703.0,272940,188504,84436,0
34,1368189.0,313162,86063,227099,0
35,1566152.0,718580,221587,266593,230400
36,2412891.0,652068,152692,499376,0
37,1564232.0,523746,71295,222051,230400
38,3641114.0,642131,207202,434929,0
39,3120863.0,580446,127168,453278,0
40,3262378.0,726998,248720,478278,0
41,3351290.0,678109,214988,463121,0
42,2928782.0,628093,151723,476370,0
43,1896146.0,662250,127549,534701,0
44,2840417.0,692523,155382,537141,0
45,2481113.0,647787,116877,530910,0
46,1812840.0,677686,115003,562683,0
47,1057232.0,621814,68572,553242,0
48,2398516.0,632262,109962,522300,0
49,2118565.0,961387,242843,488144,230400
50,3309486.0,926463,188779,276884,460800
51,2687404.0,638110,146545,261165,230400
52,3941595.0,916241,163943,291498,460800
53,1532176.0,880941,105695,544846,230400
54,2055490.0,878766,144041,504325,230400
55,2829256.0,1087937,170143,917794,0
56,1756789.0,961315,78263,883052,0
57,3685458.0,937475,175822,761653,0
58,5069454.0,1016138,218758,797380,0
59,2832522.0,986320,235413,750907,0
60,4306223.0,1134905,187113,947792,0
61,3010779.0,864398,218635,645763,0
62,1618333.0,827212,203915,623297,0
63,2712261.0,921591,218826,702765,0
64,1940256.0,754187,77636,676551,0
65,4313647.0,920243,232212,688031,0
66,1681423.0,877501,129407,748094,0
67,1398641.0,896183,73240,822943,0
68,2668368.0,1222540,206542,785598,230400
69,1244046.0,920618,140195,780423,0
70,1768484.0,862500,83342,779158,0
71,2039101.0,1136858,124753,781705,230400
72,5761059.0,1183034,250322,702312,230400
73,2779669.0,1200159,220273,749486,230400
74,3294970.0,1186346,255420,700526,230400
75,2591319.0,1241308,208317,1032991,0
76,2686459.0,1173723,130697,1043026,0
77,2374646.0,1198095,111239,1086856,0
78,1560972.0,1171007,87012,1083995,0
79,1742244.0,1158054,108042,1050012,0
80,1664198.0,1155049,80657,1074392,0
81,1260728.0,1216958,169723,1047235,0
82,2328104.0,1133144,162526,740218,230400
83,4655586.0,1180427,203723,746304,230400
84,4532152.0,1203108,228793,743915,230400
85,1588201.0,1099977,104949,764628,230400
86,996956.0,1140777,85303,1055474,0
87,2813729.0,1552941,221512,1101029,230400
88,1817790.0,1112437,115302,997135,0
89,3400750.0,1407926,145561,1031965,230400
90,1102646.0,1112365,57102,1055263,0
91,996312.0,1086167,76624,1009543,0
