,K-Value,cost_total,flowTime_avg,waiting_avg,time_workload_avg
0,1.0,2.71729172E8,1.5218394311111111E7,3.370534229E9,0.14481773956076216
1,2.0,4.08570531E8,6557387.871111111,1.42319016E9,0.2269681723816516
2,3.0,4.48084611E8,3698442.728888889,7.81540304E8,0.8529467529095078
3,4.0,5.31129586E8,2287874.04,4.63471149E8,0.24156917599359426
4,5.0,5.53699063E8,1445686.631111111,2.74670182E8,0.15378944506486197
5,6.0,5.52591343E8,1445686.631111111,2.74670182E8,0.15336094203689538
6,7.0,5.52378449E8,1445686.631111111,2.74670182E8,0.15305486844549063
7,8.0,5.51788919E8,1445686.631111111,2.74670182E8,0.15282531325193707
8,9.0,5.51847573E8,1445686.631111111,2.74670182E8,0.15264677032361765
9,10.0,5.51366325E8,1445686.631111111,2.74670182E8,0.15250393598096212
10,11.0,5.51692401E8,1445686.631111111,2.74670182E8,0.15238707151878939
11,12.0,5.51901305E8,1445686.631111111,2.74670182E8,0.1522896844669788
12,13.0,5.51140533E8,1445686.631111111,2.74670182E8,0.15220728003852368
13,14.0,5.50934418E8,1445686.631111111,2.74670182E8,0.15213664767127644
14,15.0,5.51001363E8,1445686.631111111,2.74670182E8,0.15213664767127644
15,16.0,5.50985501E8,1445686.631111111,2.74670182E8,0.15213664767127644
16,17.0,5.51022221E8,1445686.631111111,2.74670182E8,0.15213664767127644
17,18.0,5.51022221E8,1445686.631111111,2.74670182E8,0.15213664767127644
18,19.0,5.51022221E8,1445686.631111111,2.74670182E8,0.15213664767127644
19,20.0,5.50874585E8,1445686.631111111,2.74670182E8,0.15213664767127644
20,21.0,5.51022221E8,1445686.631111111,2.74670182E8,0.15213664767127644
