type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload
Role_10,6.082202E7,7.819974E7,6.951088E7,6.082202E7,7.819974E7,6.951088E7,2.0853264E8,43756.0,46966.0,44446.0,43756.0,46966.0,45056.0,135168.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,2.606658E7,0.005035873520807102,0.005405312089272931,0.005115285549542748,0.005035873520807102,0.005405312089272931,0.005185490386540928,0.015556471159622783,ID4882,7.819974E7,46966,8688860,0.005405312089272931,ID0998,6.082202E7,43756,8688860,0.005035873520807102,ID4528,6.951088E7,44446,8688860,0.005115285549542748
Role_11,6.951088E7,1.9115492E8,7.819974E7,6.951088E7,1.9115492E8,1.1295518E8,3.3886554E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,2.606658E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,7.819974E7,0,8688860,0.0,ID4872,1.9115492E8,0,8688860,0.0,ID4528,6.951088E7,0,8688860,0.0
Role_22,1.8246606E8,1.8246606E8,1.8246606E8,1.8246606E8,1.8246606E8,1.8246606E8,1.8246606E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,1.8246606E8,0,8688860,0.0,,,,,,,,,,
Role_17,9.557746E7,2.2591036E8,1.8246606E8,9.557746E7,2.2591036E8,1.6798462666666666E8,5.0395388E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,2.606658E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID0997,1.8246606E8,0,8688860,0.0,ID4219,9.557746E7,0,8688860,0.0,ID3846,2.2591036E8,0,8688860,0.0
Role_15,1.737772E7,2.172215E8,8.68886E7,1.737772E7,2.172215E8,1.0716260666666667E8,3.2148782E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,2.606658E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4873,2.172215E8,0,8688860,0.0,ID4326,8.68886E7,0,8688860,0.0,ID4162,1.737772E7,0,8688860,0.0
Role_9,6.082202E7,7.819974E7,6.951088E7,6.082202E7,7.819974E7,6.951088E7,2.0853264E8,291366.0,347031.0,346083.0,291366.0,347031.0,328160.0,984480.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,2.606658E7,0.03353328284723197,0.03993976194805763,0.03983065672596865,0.03353328284723197,0.03993976194805763,0.03776790050708608,0.11330370152125824,ID4882,7.819974E7,346083,8688860,0.03983065672596865,ID0998,6.082202E7,291366,8688860,0.03353328284723197,ID4528,6.951088E7,347031,8688860,0.03993976194805763
Role_5,4.34443E7,2.606658E8,1.1295518E8,4.34443E7,2.606658E8,1.3902176E8,4.1706528E8,1549098.0,1702735.0,1696629.0,1549098.0,1702735.0,1649487.3333333333,4948462.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,2.606658E7,0.17828552882656643,0.19596759528868,0.1952648563793179,0.17828552882656643,0.19596759528868,0.18983932683152147,0.5695179804945644,ID4287,4.34443E7,1696629,8688860,0.1952648563793179,ID4618,2.606658E8,1549098,8688860,0.17828552882656643,ID4163,1.1295518E8,1702735,8688860,0.19596759528868
Role_6,1.737772E7,2.4328808E8,1.9115492E8,1.737772E7,2.4328808E8,1.5060690666666666E8,4.5182072E8,331200.0,331200.0,331200.0,331200.0,331200.0,331200.0,993600.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,2.606658E7,0.0381177737931098,0.0381177737931098,0.0381177737931098,0.0381177737931098,0.0381177737931098,0.0381177737931098,0.11435332137932941,ID4820,1.737772E7,331200,8688860,0.0381177737931098,ID4291,1.9115492E8,331200,8688860,0.0381177737931098,ID4491,2.4328808E8,331200,8688860,0.0381177737931098
Role_7,7.819974E7,2.3459922E8,1.3902176E8,7.819974E7,2.3459922E8,1.5060690666666666E8,4.5182072E8,593453.0,671836.0,662613.0,593453.0,671836.0,642634.0,1927902.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,2.606658E7,0.06830044447718113,0.07732153585165373,0.0762600617342206,0.06830044447718113,0.07732153585165373,0.07396068068768515,0.22188204206305545,ID4355,1.3902176E8,671836,8688860,0.07732153585165373,ID4445,7.819974E7,593453,8688860,0.06830044447718113,ID4385,2.3459922E8,662613,8688860,0.0762600617342206
Role_8,4.34443E7,2.606658E8,1.1295518E8,4.34443E7,2.606658E8,1.3902176E8,4.1706528E8,2809593.0,2908692.0,2898188.0,2809593.0,2908692.0,2872157.6666666665,8616473.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,8688860.0,2.606658E7,0.32335576819053363,0.3347610618654231,0.3335521575902938,0.32335576819053363,0.3347610618654231,0.33055632921541683,0.9916689876462506,ID4287,4.34443E7,2898188,8688860,0.3335521575902938,ID4618,2.606658E8,2908692,8688860,0.3347610618654231,ID4163,1.1295518E8,2809593,8688860,0.32335576819053363
