instanceId,costs,duration,effective,waiting,offTime
0,2744688.0,157790,154190,3600,0
1,1208739.0,78428,78428,0,0
2,3667549.0,178626,178626,0,0
3,2598815.0,162517,162517,0,0
4,1.3952982E7,1779872,658708,890764,230400
5,4498402.0,223457,223457,0,0
6,1573172.0,108022,108022,0,0
7,5393562.0,570491,297871,42220,230400
8,2.3576067E7,6207778,1108758,4638220,460800
9,4122618.0,443703,213303,0,230400
10,2032044.0,112600,112600,0,0
11,1470131.0,68133,68133,0,0
12,5963089.0,634801,301476,102925,230400
13,6454214.0,1007122,339343,437379,230400
14,2886236.0,390400,150436,9564,230400
15,8371064.0,1241672,415264,365608,460800
16,6680043.0,1169766,322569,386397,460800
17,1.1229386E7,2799393,588295,1519898,691200
18,2384521.0,390084,106540,283544,0
19,5608250.0,1163682,310679,853003,0
20,1071943.0,287102,66349,220753,0
21,2527664.0,471781,154079,317702,0
22,1.369846E7,4026176,655917,2909459,460800
23,6198378.0,1037557,294158,743399,0
24,4778423.0,797913,266372,301141,230400
25,2592404.0,328020,127356,200664,0
26,2281197.0,374049,156021,218028,0
27,2567833.0,299328,125171,174157,0
28,5489522.0,734366,283784,220182,230400
29,1177922.0,93467,71302,22165,0
30,1.0460747E7,2018211,511787,1045624,460800
31,3594951.0,608887,212901,165586,230400
32,2100461.0,225252,120039,105213,0
33,5071703.0,733125,266374,466751,0
34,6313663.0,846088,309852,305836,230400
35,1846680.0,169378,110772,58606,0
36,2921927.0,235694,144500,91194,0
37,6016184.0,801484,291947,509537,0
38,6904490.0,1396531,376597,1019934,0
39,5479494.0,1242449,275552,736497,230400
40,4277089.0,594093,181885,412208,0
41,3649543.0,614718,192831,191487,230400
42,9251659.0,1624422,406119,757503,460800
43,4833033.0,1604177,301882,1071895,230400
44,7483350.0,2205748,360516,1845232,0
45,5763558.0,1570631,278399,1061832,230400
46,4662381.0,1173726,226881,946845,0
47,5042827.0,1060372,235044,364528,460800
48,6428443.0,1693266,302306,1160560,230400
49,9137736.0,2263014,425767,1376447,460800
50,618639.0,252088,28087,224001,0
51,6663010.0,2037192,347350,1459442,230400
52,3277133.0,774243,172538,371305,230400
53,2061705.0,316615,86292,230323,0
54,1.3604904E7,5113560,724975,3697385,691200
55,4951668.0,1509173,286340,1222833,0
56,3010284.0,786171,166009,389762,230400
57,5059106.0,1362244,260897,870947,230400
58,8076200.0,2536989,400070,1906519,230400
59,4700449.0,727739,264917,232422,230400
60,875038.0,175852,75526,100326,0
61,5984339.0,1758288,304532,1223356,230400
62,1156986.0,171902,91749,80153,0
63,3060631.0,699654,183102,516552,0
64,5921305.0,1376976,271557,1105419,0
65,2386054.0,595626,120964,474662,0
66,4985381.0,1386632,249496,906736,230400
67,9823980.0,2405980,421756,1523424,460800
68,4415638.0,1291334,240202,1051132,0
69,5256098.0,1846735,264806,1581929,0
70,885571.0,357480,59889,67191,230400
71,2652078.0,640011,161760,478251,0
72,1478573.0,519376,82114,437262,0
73,4724015.0,1221324,246283,744641,230400
74,1134492.0,325946,81362,244584,0
75,7906024.0,2941402,388113,2322889,230400
76,4184404.0,1657318,256430,1400888,0
77,2489214.0,523053,178420,344633,0
78,1197826.0,289060,55851,233209,0
79,2848801.0,484505,126689,357816,0
80,1141637.0,238144,94396,143748,0
81,2723596.0,716937,163382,323155,230400
82,8685847.0,3127947,433158,2464389,230400
83,1357920.0,333952,84020,249932,0
84,8858883.0,3101360,404754,2466206,230400
85,2285925.0,687331,125419,561912,0
86,1201034.0,92437,43468,48969,0
87,1432421.0,297817,105512,192305,0
88,1.0584985E7,4250764,533312,3487052,230400
89,618596.0,88876,36406,52470,0
90,462403.0,138115,34128,103987,0
91,1.043243E7,4173597,554867,2927530,691200
92,6437445.0,1897864,324957,1572907,0
93,1.9922797E7,5624664,894174,4269690,460800
94,5094348.0,1194238,240768,723070,230400
95,5162376.0,1178057,223376,724281,230400
96,1597212.0,531707,119980,181327,230400
97,3188899.0,1190845,190531,769914,230400
98,1800702.0,207807,77097,130710,0
99,5380549.0,2426811,254315,1942096,230400
100,2492430.0,688237,137272,550965,0
101,381003.0,65800,23089,42711,0
102,898412.0,57176,57176,0,0
103,680607.0,344943,74285,40258,230400
104,1124149.0,367177,85127,51650,230400
105,1680440.0,591194,122380,468814,0
106,9244326.0,3572490,506032,2836058,230400
107,4350940.0,2191995,258457,1933538,0
108,2781965.0,990249,162439,827810,0
109,7968499.0,3918051,394619,3062632,460800
110,1614282.0,477456,81325,396131,0
111,5664269.0,2094411,282980,1811431,0
112,9089166.0,3903994,495899,3408095,0
113,1.2404479E7,5074746,721494,4122852,230400
114,3675723.0,902973,170800,732173,0
115,4857231.0,2612638,229502,2383136,0
