type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload
Role_10,8124186.0,3.481794E7,1.5087774E7,9284784.0,3.481794E7,1.9730166E7,1.38111162E8,13343.0,24347.0,20024.0,16036.0,21537.0,19309.714285714286,135168.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,8124186.0,0.011496659480715975,0.02097797859379389,0.01725317465651328,0.013817015021566468,0.01855681295332234,0.01663772838288045,0.11646409868016316,ID4882,1.0445382E7,24347,1160598,0.02097797859379389,ID4872,2.5533156E7,21537,1160598,0.01855681295332234,ID0998,8124186.0,21189,1160598,0.018256967528808423,ID4528,9284784.0,16036,1160598,0.013817015021566468,ID0420,1.5087774E7,20024,1160598,0.01725317465651328,ID3716,3.481794E7,18692,1160598,0.01610549044544278,ID4618,3.481794E7,13343,1160598,0.011496659480715975,,,,,,,,,,,,,,,
Role_11,8124186.0,3.1336146E7,1.0445382E7,9284784.0,2.5533156E7,1.7215537E7,1.03293222E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,6963588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,1.0445382E7,0,1160598,0.0,ID4355,1.8569568E7,0,1160598,0.0,ID4872,2.5533156E7,0,1160598,0.0,ID0998,8124186.0,0,1160598,0.0,ID4528,9284784.0,0,1160598,0.0,ID4385,3.1336146E7,0,1160598,0.0,,,,,,,,,,,,,,,,,,,,
Role_22,2.4372558E7,2.4372558E7,2.4372558E7,2.4372558E7,2.4372558E7,2.4372558E7,2.4372558E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,2.4372558E7,0,1160598,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,9284784.0,3.481794E7,2.321196E7,1.8569568E7,2.901495E7,2.27477208E7,2.27477208E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1.160598E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4167,3.481794E7,0,1160598,0.0,ID4794,2.321196E7,0,1160598,0.0,ID4641,2.901495E7,0,1160598,0.0,ID0997,2.4372558E7,0,1160598,0.0,ID4622,1.8569568E7,0,1160598,0.0,ID4799,2.0890764E7,0,1160598,0.0,ID4932,9284784.0,0,1160598,0.0,ID4219,1.2766578E7,0,1160598,0.0,ID3846,3.0175548E7,0,1160598,0.0,ID4132,2.4372558E7,0,1160598,0.0
Role_15,2321196.0,2.901495E7,5802990.0,3481794.0,2.4372558E7,1.160598E7,8.124186E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,8124186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,5802990.0,0,1160598,0.0,ID4873,2.901495E7,0,1160598,0.0,ID0997,2.4372558E7,0,1160598,0.0,ID4326,1.160598E7,0,1160598,0.0,ID4140,4642392.0,0,1160598,0.0,ID4162,2321196.0,0,1160598,0.0,ID0937,3481794.0,0,1160598,0.0,,,,,,,,,,,,,,,
Role_9,3481794.0,2.5533156E7,1.0445382E7,8124186.0,1.6248372E7,1.23023388E7,1.23023388E8,67329.0,138876.0,96591.0,90247.0,110297.0,99358.8,993588.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1.160598E7,0.058012335020394656,0.1196590033758459,0.08322519942305605,0.07775905179915871,0.09503462870003222,0.08561000449768137,0.8561000449768137,ID4287,5802990.0,110297,1160598,0.09503462870003222,ID4882,1.0445382E7,100617,1160598,0.08669410079976013,ID4355,1.8569568E7,67329,1160598,0.058012335020394656,ID4872,2.5533156E7,96591,1160598,0.08322519942305605,ID4445,1.0445382E7,90247,1160598,0.07775905179915871,ID0998,8124186.0,95262,1160598,0.0820801000863348,ID4528,9284784.0,111484,1160598,0.09605737731755526,ID0420,1.5087774E7,75693,1160598,0.06521896470612563,ID4718,1.6248372E7,107192,1160598,0.09235928374855032,ID0937,3481794.0,138876,1160598,0.1196590033758459
Role_5,3481794.0,3.481794E7,5802990.0,5802990.0,1.5087774E7,1.29986976E7,6.4993488E7,951737.0,1043680.0,981481.0,962501.0,1009063.0,989692.4,4948462.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,5802990.0,0.8200401861798832,0.8992605536111556,0.845668353727992,0.8293147153450204,0.869433688495069,0.8527434994718239,4.26371749735912,ID4287,5802990.0,1009063,1160598,0.869433688495069,ID4618,3.481794E7,1043680,1160598,0.8992605536111556,ID4163,1.5087774E7,981481,1160598,0.845668353727992,ID4493,5802990.0,962501,1160598,0.8293147153450204,ID0937,3481794.0,951737,1160598,0.8200401861798832,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,2321196.0,3.2496744E7,5802990.0,2321196.0,2.5533156E7,1.65385215E7,6.6154086E7,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,4642392.0,0.21402759611855268,0.21402759611855268,0.21402759611855268,0.21402759611855268,0.21402759611855268,0.21402759611855268,0.8561103844742107,ID4820,2321196.0,248400,1160598,0.21402759611855268,ID4291,2.5533156E7,248400,1160598,0.21402759611855268,ID4491,3.2496744E7,248400,1160598,0.21402759611855268,ID4493,5802990.0,248400,1160598,0.21402759611855268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,5802990.0,3.481794E7,1.5087774E7,9284784.0,2.5533156E7,1.71768504E7,1.71768504E8,166736.0,216568.0,194904.0,185126.0,213790.0,197182.9,1971829.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1.160598E7,0.14366386983262078,0.18660035602336036,0.16793411672258612,0.1595091495935716,0.18420676237594757,0.16989767344076073,1.6989767344076072,ID4287,5802990.0,203328,1160598,0.17519244389530225,ID4355,1.8569568E7,213790,1160598,0.18420676237594757,ID4872,2.5533156E7,166736,1160598,0.14366386983262078,ID4445,1.0445382E7,172105,1160598,0.1482899332930093,ID4528,9284784.0,215261,1160598,0.185474212431867,ID0420,1.5087774E7,212529,1160598,0.18312025352447617,ID4618,3.481794E7,216568,1160598,0.18660035602336036,ID4163,1.5087774E7,191482,1160598,0.16498563671486596,ID4493,5802990.0,194904,1160598,0.16793411672258612,ID4385,3.1336146E7,185126,1160598,0.1595091495935716
Role_8,3481794.0,3.481794E7,1.5087774E7,5802990.0,3.2496744E7,1.93433E7,1.740897E8,890404.0,1001209.0,929143.0,902108.0,941623.0,929296.2222222222,8363666.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1160598.0,1.0445382E7,0.7671941533588719,0.8626664874487118,0.8005726358308389,0.77727860982011,0.8113257131237517,0.800704655894825,7.206341903053425,ID4287,5802990.0,926529,1160598,0.7983203486478522,ID4167,3.481794E7,892638,1160598,0.7691190231242859,ID4955,2.6693754E7,1001209,1160598,0.8626664874487118,ID0420,1.5087774E7,937890,1160598,0.8081092678084918,ID4529,3.2496744E7,929143,1160598,0.8005726358308389,ID4618,3.481794E7,942122,1160598,0.8117556638905116,ID4163,1.5087774E7,902108,1160598,0.77727860982011,ID4493,5802990.0,890404,1160598,0.7671941533588719,ID0937,3481794.0,941623,1160598,0.8113257131237517,,,,,
