type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload
Role_10,4458972.0,1.910988E7,8280948.0,5095968.0,1.910988E7,1.0828932E7,7.5802524E7,13343.0,24347.0,20024.0,16036.0,21189.0,19309.714285714286,135168.0,636996.0,636996.0,636996.0,636996.0,636996.0,636996.0,4458972.0,0.02094675633755942,0.038221590088477794,0.03143504825775986,0.025174412398194023,0.03326394514251267,0.030313713564471816,0.2121959949513027,ID4882,5732964.0,24347,636996,0.038221590088477794,ID4872,1.4013912E7,20248,636996,0.031786698817574996,ID0998,4458972.0,21189,636996,0.03326394514251267,ID4528,5095968.0,16036,636996,0.025174412398194023,ID0420,8280948.0,20024,636996,0.03143504825775986,ID3716,1.910988E7,19981,636996,0.03136754390922392,ID4618,1.910988E7,13343,636996,0.02094675633755942,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,4458972.0,1.7198892E7,5732964.0,5095968.0,1.4013912E7,9448774.0,5.6692644E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636996.0,636996.0,636996.0,636996.0,636996.0,636996.0,3821976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,5732964.0,0,636996,0.0,ID4355,1.0191936E7,0,636996,0.0,ID4872,1.4013912E7,0,636996,0.0,ID0998,4458972.0,0,636996,0.0,ID4528,5095968.0,0,636996,0.0,ID4385,1.7198892E7,0,636996,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_22,1.3376916E7,1.3376916E7,1.3376916E7,1.3376916E7,1.3376916E7,1.3376916E7,1.3376916E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636996.0,636996.0,636996.0,636996.0,636996.0,636996.0,636996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,1.3376916E7,0,636996,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,5095968.0,1.910988E7,1.273992E7,7006956.0,1.59249E7,1.2156007E7,1.45872084E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636996.0,636996.0,636996.0,636996.0,636996.0,636996.0,7643952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4167,1.910988E7,0,636996,0.0,ID4442,5095968.0,0,636996,0.0,ID4794,1.273992E7,0,636996,0.0,ID4641,1.59249E7,0,636996,0.0,ID0997,1.3376916E7,0,636996,0.0,ID4622,1.0191936E7,0,636996,0.0,ID4799,1.1465928E7,0,636996,0.0,ID4932,5095968.0,0,636996,0.0,ID4219,7006956.0,0,636996,0.0,ID3846,1.6561896E7,0,636996,0.0,ID4429,1.59249E7,0,636996,0.0,ID4132,1.3376916E7,0,636996,0.0
Role_15,1273992.0,1.59249E7,3184980.0,1910988.0,1.3376916E7,6369960.0,4.458972E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636996.0,636996.0,636996.0,636996.0,636996.0,636996.0,4458972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,3184980.0,0,636996,0.0,ID4873,1.59249E7,0,636996,0.0,ID0997,1.3376916E7,0,636996,0.0,ID4326,6369960.0,0,636996,0.0,ID4140,2547984.0,0,636996,0.0,ID4162,1273992.0,0,636996,0.0,ID0937,1910988.0,0,636996,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,1910988.0,1.4013912E7,5732964.0,4458972.0,8917944.0,6891138.545454546,7.5802524E7,63079.0,122057.0,89911.0,77470.0,99708.0,89766.0,987426.0,636996.0,636996.0,636996.0,636996.0,636996.0,636996.0,7006956.0,0.0990257395650836,0.19161344812212322,0.14114845305151053,0.12161771816463526,0.15652845543771077,0.14092082210877308,1.5501290431965038,ID4287,3184980.0,81808,636996,0.12842780802391224,ID4882,5732964.0,111908,636996,0.17568085199907063,ID4355,1.0191936E7,95435,636996,0.149820407035523,ID4872,1.4013912E7,122057,636996,0.19161344812212322,ID4445,5732964.0,84777,636996,0.13308874781003335,ID0998,4458972.0,69522,636996,0.10914040276548047,ID4528,5095968.0,77470,636996,0.12161771816463526,ID0420,8280948.0,99708,636996,0.15652845543771077,ID4163,8280948.0,63079,636996,0.0990257395650836,ID4718,8917944.0,89911,636996,0.14114845305151053,ID0937,1910988.0,91751,636996,0.14403701122142054,,,,,
Role_5,1910988.0,1.910988E7,3184980.0,3184980.0,8280948.0,7134355.2,3.5671776E7,920077.0,1042266.0,987450.0,959058.0,1012847.0,984339.6,4921698.0,636996.0,636996.0,636996.0,636996.0,636996.0,636996.0,3184980.0,1.444399964834944,1.6362206356083868,1.550166720042198,1.50559501158563,1.5900366721298094,1.5452838008401937,7.726419004200968,ID4287,3184980.0,1012847,636996,1.5900366721298094,ID4618,1.910988E7,1042266,636996,1.6362206356083868,ID4163,8280948.0,987450,636996,1.550166720042198,ID4493,3184980.0,959058,636996,1.50559501158563,ID0937,1910988.0,920077,636996,1.444399964834944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,1273992.0,1.7835888E7,3184980.0,1273992.0,1.4013912E7,9077193.0,3.6308772E7,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,636996.0,636996.0,636996.0,636996.0,636996.0,636996.0,2547984.0,0.38995535293785205,0.38995535293785205,0.38995535293785205,0.38995535293785205,0.38995535293785205,0.38995535293785205,1.5598214117514082,ID4820,1273992.0,248400,636996,0.38995535293785205,ID4291,1.4013912E7,248400,636996,0.38995535293785205,ID4491,1.7835888E7,248400,636996,0.38995535293785205,ID4493,3184980.0,248400,636996,0.38995535293785205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,1910988.0,1.910988E7,8280948.0,3184980.0,1.1465928E7,8971027.0,1.07652324E8,121630.0,193103.0,166667.0,146889.0,175187.0,162764.66666666666,1953176.0,636996.0,636996.0,636996.0,636996.0,636996.0,636996.0,7643952.0,0.19094311424247562,0.3031463305892031,0.26164528505673507,0.2305964244673436,0.2750205652782749,0.2555191346047176,3.066229615256611,ID4287,3184980.0,193103,636996,0.3031463305892031,ID4355,1.0191936E7,163786,636996,0.25712249370482704,ID4872,1.4013912E7,154072,636996,0.24187279040998688,ID4445,5732964.0,146889,636996,0.2305964244673436,ID4160,1.1465928E7,167059,636996,0.2622606735364115,ID4528,5095968.0,130419,636996,0.20474068910950774,ID0420,8280948.0,178200,636996,0.27975057928150254,ID4618,1.910988E7,166667,636996,0.26164528505673507,ID4163,8280948.0,175187,636996,0.2750205652782749,ID4493,3184980.0,121630,636996,0.19094311424247562,ID0937,1910988.0,187693,636996,0.2946533416222394,ID4385,1.7198892E7,168471,636996,0.26447732795810336
Role_8,1910988.0,1.910988E7,8280948.0,3184980.0,1.7835888E7,1.06166E7,9.55494E7,872500.0,950306.0,930534.0,909528.0,931941.0,922441.1111111111,8301970.0,636996.0,636996.0,636996.0,636996.0,636996.0,636996.0,5732964.0,1.3697103278513523,1.4918555218557101,1.4608160804777424,1.42783942128365,1.4630248855565813,1.4481113085656911,13.03300177709122,ID4287,3184980.0,930555,636996,1.4608490477177252,ID4167,1.910988E7,872500,636996,1.3697103278513523,ID4955,1.4650908E7,931941,636996,1.4630248855565813,ID0420,8280948.0,948848,636996,1.4895666534797707,ID4529,1.7835888E7,950306,636996,1.4918555218557101,ID4618,1.910988E7,924194,636996,1.4508631137401178,ID4163,8280948.0,903564,636996,1.4184767251285721,ID4493,3184980.0,930534,636996,1.4608160804777424,ID0937,1910988.0,909528,636996,1.42783942128365,,,,,,,,,,,,,,,
