type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload
Role_10,1.2214692E7,5.234868E7,2.2684428E7,1.3959648E7,5.234868E7,2.9664252E7,2.07649764E8,13343.0,24347.0,20024.0,16036.0,21189.0,19309.714285714286,135168.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1.2214692E7,0.007646611146642093,0.013952787348219668,0.011475360983314193,0.009189916536577426,0.01214299959425911,0.011066017874212465,0.07746212511948726,ID4882,1.5704604E7,24347,1744956,0.013952787348219668,ID4872,3.8389032E7,20248,1744956,0.011603730982328494,ID0998,1.2214692E7,21189,1744956,0.01214299959425911,ID4528,1.3959648E7,16036,1744956,0.009189916536577426,ID0420,2.2684428E7,20024,1744956,0.011475360983314193,ID3716,5.234868E7,19981,1744956,0.011450718528146268,ID4618,5.234868E7,13343,1744956,0.007646611146642093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,1.2214692E7,4.7113812E7,1.5704604E7,1.3959648E7,3.8389032E7,2.5883514E7,1.55301084E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1.0469736E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,1.5704604E7,0,1744956,0.0,ID4355,2.7919296E7,0,1744956,0.0,ID4872,3.8389032E7,0,1744956,0.0,ID0998,1.2214692E7,0,1744956,0.0,ID4528,1.3959648E7,0,1744956,0.0,ID4385,4.7113812E7,0,1744956,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_22,3.6644076E7,3.6644076E7,3.6644076E7,3.6644076E7,3.6644076E7,3.6644076E7,3.6644076E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,3.6644076E7,0,1744956,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,1.2214692E7,5.234868E7,3.489912E7,1.9194516E7,4.36239E7,3.1677662769230768E7,4.11809616E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,2.2684428E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID0997,3.6644076E7,0,1744956,0.0,ID4219,1.9194516E7,0,1744956,0.0,ID3846,4.5368856E7,0,1744956,0.0,ID4429,4.36239E7,0,1744956,0.0,ID3718,1.2214692E7,0,1744956,0.0,ID4167,5.234868E7,0,1744956,0.0,ID4442,1.3959648E7,0,1744956,0.0,ID4794,3.489912E7,0,1744956,0.0,ID4641,4.36239E7,0,1744956,0.0,ID4622,2.7919296E7,0,1744956,0.0,ID4799,3.1409208E7,0,1744956,0.0,ID4932,1.3959648E7,0,1744956,0.0,ID4132,3.6644076E7,0,1744956,0.0
Role_15,3489912.0,4.36239E7,8724780.0,5234868.0,3.6644076E7,1.744956E7,1.2214692E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1.2214692E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,8724780.0,0,1744956,0.0,ID4873,4.36239E7,0,1744956,0.0,ID0997,3.6644076E7,0,1744956,0.0,ID4326,1.744956E7,0,1744956,0.0,ID4140,6979824.0,0,1744956,0.0,ID4162,3489912.0,0,1744956,0.0,ID0937,5234868.0,0,1744956,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,5234868.0,3.8389032E7,1.5704604E7,1.2214692E7,2.4429384E7,1.8877251272727273E7,2.07649764E8,63079.0,122057.0,84777.0,77470.0,111163.0,89766.0,987426.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1.9194516E7,0.036149335570639034,0.0699484686146814,0.04858403306444403,0.04439653492695518,0.06370533125190549,0.05144313094427595,0.5658744403870355,ID4287,8724780.0,81808,1744956,0.04688255749715179,ID4882,1.5704604E7,111163,1744956,0.06370533125190549,ID4355,2.7919296E7,84275,1744956,0.04829634672736734,ID4872,3.8389032E7,122057,1744956,0.0699484686146814,ID4445,1.5704604E7,84777,1744956,0.04858403306444403,ID0998,1.2214692E7,69522,1744956,0.03984169228335843,ID4528,1.3959648E7,77470,1744956,0.04439653492695518,ID0420,2.2684428E7,111613,1744956,0.06396321741063958,ID4163,2.2684428E7,63079,1744956,0.036149335570639034,ID4718,2.4429384E7,89911,1744956,0.05152622759542361,ID0937,5234868.0,91751,1744956,0.05258069544446966,,,,,,,,,,
Role_5,5234868.0,5.234868E7,8724780.0,8724780.0,2.2684428E7,1.95435072E7,9.7717536E7,958236.0,1025422.0,997826.0,966528.0,1000450.0,989692.4,4948462.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,8724780.0,0.5491462248904844,0.5876492014698365,0.5718344760555567,0.5538982071754245,0.5733382389011528,0.5671732696984909,2.8358663484924547,ID4287,8724780.0,966528,1744956,0.5538982071754245,ID4618,5.234868E7,997826,1744956,0.5718344760555567,ID4163,2.2684428E7,1000450,1744956,0.5733382389011528,ID4493,8724780.0,958236,1744956,0.5491462248904844,ID0937,5234868.0,1025422,1744956,0.5876492014698365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,3489912.0,4.8858768E7,8724780.0,3489912.0,3.8389032E7,2.4865623E7,9.9462492E7,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,6979824.0,0.1423531596212168,0.1423531596212168,0.1423531596212168,0.1423531596212168,0.1423531596212168,0.1423531596212168,0.5694126384848672,ID4820,3489912.0,248400,1744956,0.1423531596212168,ID4291,3.8389032E7,248400,1744956,0.1423531596212168,ID4491,4.8858768E7,248400,1744956,0.1423531596212168,ID4493,8724780.0,248400,1744956,0.1423531596212168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,5234868.0,5.234868E7,2.2684428E7,1.3959648E7,3.1409208E7,2.496629353846154E7,3.24561816E8,113093.0,182704.0,152767.0,138843.0,164971.0,150244.3076923077,1953176.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,2.2684428E7,0.06481137633269836,0.10470407276745088,0.08754776624740108,0.07956819541581564,0.09454163887226956,0.08610206084984819,1.1193267910480265,ID4109,2.9664252E7,158723,1744956,0.09096103282833493,ID4528,1.3959648E7,140043,1744956,0.08025589183910654,ID4618,5.234868E7,138843,1744956,0.07956819541581564,ID0937,5234868.0,164971,1744956,0.09454163887226956,ID4287,8724780.0,113093,1744956,0.06481137633269836,ID4355,2.7919296E7,171439,1744956,0.09824832259380752,ID4872,3.8389032E7,182704,1744956,0.10470407276745088,ID4445,1.5704604E7,124543,1744956,0.07137314637159906,ID4160,3.1409208E7,143382,1744956,0.08216940713691348,ID0420,2.2684428E7,127386,1744956,0.07300241381444575,ID4163,2.2684428E7,152767,1744956,0.08754776624740108,ID4493,8724780.0,178791,1744956,0.10246160934716979,ID4385,4.7113812E7,156491,1744956,0.08968191748101385
Role_8,5234868.0,5.234868E7,2.2684428E7,8724780.0,4.8858768E7,2.90826E7,2.617434E8,846958.0,986672.0,924791.0,905944.0,933371.0,922441.1111111111,8301970.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1744956.0,1.5704604E7,0.4853749893980135,0.5654423378010678,0.5299795524930142,0.5191787070848778,0.5348965819195441,0.5286328773396642,4.757695896056978,ID4287,8724780.0,959529,1744956,0.5498872177865803,ID4167,5.234868E7,897316,1744956,0.5142341698014162,ID4955,4.0133988E7,905944,1744956,0.5191787070848778,ID0420,2.2684428E7,924791,1744956,0.5299795524930142,ID4529,4.8858768E7,921264,1744956,0.5279582980888916,ID4618,5.234868E7,986672,1744956,0.5654423378010678,ID4163,2.2684428E7,926125,1744956,0.5307440416835726,ID4493,8724780.0,846958,1744956,0.4853749893980135,ID0937,5234868.0,933371,1744956,0.5348965819195441,,,,,,,,,,,,,,,,,,,,
