type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload,instances_instance_13_id,instances_instance_13_cost,instances_instance_13_time_inUse,instances_instance_13_time_available,instances_instance_13_time_workload,instances_instance_14_id,instances_instance_14_cost,instances_instance_14_time_inUse,instances_instance_14_time_available,instances_instance_14_time_workload
Role_10,2.067443E7,8.86047E7,3.839537E7,2.362792E7,8.86047E7,5.020933E7,3.5146531E8,13343.0,24347.0,20024.0,16036.0,21537.0,19309.714285714286,135168.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,2.067443E7,0.004517706171343055,0.00824346789730116,0.006779775790674761,0.005429508818380966,0.007292051098869473,0.00653793115457113,0.04576551808199791,ID4882,2.658141E7,24347,2953490,0.00824346789730116,ID4872,6.497678E7,21537,2953490,0.007292051098869473,ID0998,2.067443E7,21189,2953490,0.007174224392159784,ID4528,2.362792E7,16036,2953490,0.005429508818380966,ID0420,3.839537E7,20024,2953490,0.006779775790674761,ID3716,8.86047E7,18692,2953490,0.006328783913268709,ID4618,8.86047E7,13343,2953490,0.004517706171343055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,2.067443E7,7.974423E7,2.658141E7,2.362792E7,6.497678E7,4.3810101666666664E7,2.6286061E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,1.772094E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,2.658141E7,0,2953490,0.0,ID4355,4.725584E7,0,2953490,0.0,ID4872,6.497678E7,0,2953490,0.0,ID0998,2.067443E7,0,2953490,0.0,ID4528,2.362792E7,0,2953490,0.0,ID4385,7.974423E7,0,2953490,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_22,6.202329E7,6.202329E7,6.202329E7,6.202329E7,6.202329E7,6.202329E7,6.202329E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,6.202329E7,0,2953490,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,2.067443E7,8.86047E7,5.90698E7,3.248839E7,7.383725E7,5.361720307692308E7,6.9702364E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,3.839537E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID0997,6.202329E7,0,2953490,0.0,ID4219,3.248839E7,0,2953490,0.0,ID3846,7.679074E7,0,2953490,0.0,ID4429,7.383725E7,0,2953490,0.0,ID3718,2.067443E7,0,2953490,0.0,ID4167,8.86047E7,0,2953490,0.0,ID4442,2.362792E7,0,2953490,0.0,ID4794,5.90698E7,0,2953490,0.0,ID4641,7.383725E7,0,2953490,0.0,ID4622,4.725584E7,0,2953490,0.0,ID4799,5.316282E7,0,2953490,0.0,ID4932,2.362792E7,0,2953490,0.0,ID4132,6.202329E7,0,2953490,0.0,,,,,,,,,,
Role_15,5906980.0,7.383725E7,1.476745E7,8860470.0,6.202329E7,2.95349E7,2.067443E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,2.067443E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,1.476745E7,0,2953490,0.0,ID4873,7.383725E7,0,2953490,0.0,ID0997,6.202329E7,0,2953490,0.0,ID4326,2.95349E7,0,2953490,0.0,ID4140,1.181396E7,0,2953490,0.0,ID4162,5906980.0,0,2953490,0.0,ID0937,8860470.0,0,2953490,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,8860470.0,6.497678E7,2.658141E7,2.067443E7,4.134886E7,3.1951391818181816E7,3.5146531E8,58442.0,132924.0,92402.0,77665.0,104864.0,90326.18181818182,993588.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,3.248839E7,0.019787437912435795,0.04500573897321474,0.03128569929134685,0.026296009128183945,0.035505114288519685,0.03058286360142808,0.3364114996157089,ID4287,1.476745E7,132924,2953490,0.04500573897321474,ID4882,2.658141E7,92751,2953490,0.03140386458054708,ID4355,4.725584E7,105607,2953490,0.035756681078994684,ID4872,6.497678E7,92402,2953490,0.03128569929134685,ID4445,2.658141E7,83172,2953490,0.028160582903615724,ID0998,2.067443E7,104864,2953490,0.035505114288519685,ID4528,2.362792E7,77665,2953490,0.026296009128183945,ID0420,3.839537E7,66182,2953490,0.022408066389254747,ID4163,3.839537E7,58442,2953490,0.019787437912435795,ID4718,4.134886E7,94219,2953490,0.031900903676667265,ID0937,8860470.0,85360,2953490,0.028901401392928367,,,,,,,,,,,,,,,,,,,,
Role_5,8860470.0,8.86047E7,1.476745E7,1.476745E7,3.839537E7,3.3079088E7,1.6539544E8,919979.0,1032816.0,1000998.0,974448.0,1020221.0,989692.4,4948462.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,1.476745E7,0.31148878106917577,0.3496934135548114,0.33892039587064793,0.32993103074667596,0.3454289670863961,0.3350925176655414,1.675462588327707,ID4287,1.476745E7,974448,2953490,0.32993103074667596,ID4618,8.86047E7,1000998,2953490,0.33892039587064793,ID4163,3.839537E7,1020221,2953490,0.3454289670863961,ID4493,1.476745E7,1032816,2953490,0.3496934135548114,ID0937,8860470.0,919979,2953490,0.31148878106917577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,5906980.0,8.269772E7,1.476745E7,5906980.0,6.497678E7,4.20872325E7,1.6834893E8,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,1.181396E7,0.08410389065139885,0.08410389065139885,0.08410389065139885,0.08410389065139885,0.08410389065139885,0.08410389065139885,0.3364155626055954,ID4820,5906980.0,248400,2953490,0.08410389065139885,ID4291,6.497678E7,248400,2953490,0.08410389065139885,ID4491,8.269772E7,248400,2953490,0.08410389065139885,ID4493,1.476745E7,248400,2953490,0.08410389065139885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,8860470.0,8.86047E7,3.839537E7,1.476745E7,5.316282E7,3.8789168666666664E7,5.8183753E8,89470.0,161735.0,131987.0,119548.0,147852.0,131455.26666666666,1971829.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,4.430235E7,0.030292975429068662,0.05476063910830915,0.044688487179573994,0.040476859579683694,0.050060098392071754,0.044508451583268153,0.6676267737490224,ID0998,2.067443E7,148216,2953490,0.050183342418630164,ID4109,5.020933E7,143916,2953490,0.0487274377092863,ID4528,2.362792E7,110313,2953490,0.03735005027949984,ID4618,8.86047E7,148503,2953490,0.050280515593416605,ID0937,8860470.0,141969,2953490,0.04806821760019502,ID4287,1.476745E7,140357,2953490,0.04752242262543635,ID4355,4.725584E7,120381,2953490,0.04075889879430775,ID4872,6.497678E7,161735,2953490,0.05476063910830915,ID4445,2.658141E7,128866,2953490,0.04363177122658279,ID3854,1.181396E7,112241,2953490,0.038002837321270765,ID4160,5.316282E7,131987,2953490,0.044688487179573994,ID0420,3.839537E7,119548,2953490,0.040476859579683694,ID4163,3.839537E7,147852,2953490,0.050060098392071754,ID4493,1.476745E7,126475,2953490,0.042822220491689496,ID4385,7.974423E7,89470,2953490,0.030292975429068662
Role_8,8860470.0,8.86047E7,3.839537E7,1.476745E7,8.269772E7,4.9224833333333336E7,4.430235E8,916509.0,1041254.0,971627.0,940580.0,982242.0,969145.5555555555,8722310.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,2953490.0,2.658141E7,0.3103138998269844,0.35255037261003086,0.3289758895408483,0.3184639189568951,0.33256994267798434,0.328135715900699,2.9532214431062913,ID4287,1.476745E7,1041254,2953490,0.35255037261003086,ID4167,8.86047E7,916509,2953490,0.3103138998269844,ID4955,6.793027E7,931363,2953490,0.31534320414154104,ID0420,3.839537E7,994857,2953490,0.33684116079621057,ID4529,8.269772E7,940580,2953490,0.3184639189568951,ID4618,8.86047E7,982097,2953490,0.3325208482168553,ID4163,3.839537E7,961781,2953490,0.32564220633894136,ID4493,1.476745E7,982242,2953490,0.33256994267798434,ID0937,8860470.0,971627,2953490,0.3289758895408483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
