type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424792,0.0,,,,,,,,,,
Role_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424792,0.0,,,,,,,,,,
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424792,0.0,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424792,0.0,,,,,,,,,,
Role_8,8495840.0,8495840.0,8495840.0,8495840.0,8495840.0,8495840.0,1.699168E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,849584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,8495840.0,0,424792,0.0,617,8495840.0,0,424792,0.0,,,,,
Role_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,0.17726557938944237,0.17726557938944237,0.17726557938944237,0.17726557938944237,0.17726557938944237,0.17726557938944237,0.17726557938944237,NOT_SET,0.0,75301,424792,0.17726557938944237,,,,,,,,,,
Role_2,2973544.0,3823128.0,2973544.0,2973544.0,3823128.0,3398336.0,6796672.0,50561.0,51455.0,50561.0,50561.0,51455.0,51008.0,102016.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,849584.0,0.11902531121113392,0.12112987061903237,0.11902531121113392,0.11902531121113392,0.12112987061903237,0.12007759091508315,0.2401551818301663,322,3823128.0,50561,424792,0.11902531121113392,614,2973544.0,51455,424792,0.12112987061903237,,,,,
Role_3,1274376.0,5097504.0,1274376.0,1274376.0,5097504.0,3185940.0,6371880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,849584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323,1274376.0,0,424792,0.0,615,5097504.0,0,424792,0.0,,,,,
Role_4,6796672.0,7221464.0,6796672.0,6796672.0,7221464.0,6938269.333333333,2.0814808E7,264204.0,294766.0,292983.0,264204.0,294766.0,283984.3333333333,851953.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,1274376.0,0.6219608655530235,0.6939066649089437,0.6897093165596339,0.6219608655530235,0.6939066649089437,0.6685256156738669,2.005576847021601,200,6796672.0,264204,424792,0.6219608655530235,201,6796672.0,294766,424792,0.6939066649089437,580,7221464.0,292983,424792,0.6897093165596339
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424792,0.0,,,,,,,,,,
