instanceId,costs,duration,effective,waiting,offTime
0,96225.0,10034,6434,3600,0
1,10937.0,3622,2151,1471,0
2,82243.0,7119,7119,0,0
3,23630.0,2139,2139,0,0
4,79453.0,6450,6450,0,0
5,13416.0,1257,1257,0,0
6,141539.0,12565,12565,0,0
7,169484.0,12448,12448,0,0
8,21686.0,2990,2990,0,0
9,18046.0,1189,1189,0,0
10,21775.0,1501,1501,0,0
11,43424.0,3981,3981,0,0
12,11299.0,1437,1437,0,0
13,37499.0,2591,2591,0,0
14,229603.0,15270,15270,0,0
15,46303.0,4337,4337,0,0
16,78526.0,6850,6850,0,0
17,20217.0,2030,2030,0,0
18,49866.0,4001,4001,0,0
19,34267.0,229248,3679,225569,0
20,62184.0,214612,4748,209864,0
21,78948.0,178124,5563,172561,0
22,203858.0,157550,15027,142523,0
23,41956.0,136431,4105,132326,0
24,12322.0,118967,1570,117397,0
25,21751.0,112439,2420,110019,0
26,22591.0,104283,2131,102152,0
27,47022.0,98717,3236,95481,0
28,106994.0,102962,9172,93790,0
29,102807.0,94589,6998,87591,0
30,800.0,63720,167,63553,0
31,19593.0,59898,2744,57154,0
32,25632.0,1846,1846,0,0
33,29088.0,2685,2685,0,0
34,132222.0,9701,9701,0,0
35,77593.0,5609,5609,0,0
36,33993.0,4014,4014,0,0
37,110929.0,7835,7835,0,0
38,17609.0,2163,2163,0,0
39,153877.0,11948,11948,0,0
40,57184.0,3841,3841,0,0
41,51451.0,4066,4066,0,0
42,44634.0,3303,3303,0,0
43,69798.0,4979,4979,0,0
44,42805.0,3494,3494,0,0
45,31280.0,2562,2562,0,0
46,104166.0,8240,8240,0,0
47,176560.0,12400,12400,0,0
48,27147.0,3237,3237,0,0
49,90873.0,238500,8174,230326,0
50,78441.0,231139,5519,225620,0
51,21595.0,218939,1753,217186,0
52,6362.0,198215,1040,197175,0
53,187530.0,202576,15831,186745,0
54,107857.0,182511,7891,174620,0
55,20523.0,140531,1347,139184,0
56,143485.0,146850,9381,137469,0
57,37871.0,129650,2957,126693,0
58,29844.0,124787,2338,122449,0
59,104314.0,129482,6878,122604,0
60,44420.0,123882,4699,119183,0
61,178299.0,18483,15295,3188,0
62,12861.0,780,780,0,0
63,18653.0,1834,1834,0,0
64,41903.0,3131,3131,0,0
65,108654.0,9500,9500,0,0
66,115566.0,8427,8427,0,0
67,17580.0,1215,1215,0,0
68,17412.0,1906,1906,0,0
69,41716.0,4294,4294,0,0
70,37187.0,2936,2936,0,0
71,78519.0,4889,4889,0,0
72,74090.0,6790,6790,0,0
73,13111.0,1288,1288,0,0
74,21235.0,1907,1907,0,0
75,111383.0,8142,8142,0,0
76,93955.0,6671,6671,0,0
77,12271.0,1384,1384,0,0
78,60997.0,4640,4640,0,0
79,73210.0,235499,5099,0,230400
80,18533.0,231298,1750,229548,0
81,148499.0,214763,11415,203348,0
82,32464.0,125062,3281,121781,0
83,78375.0,121683,5462,116221,0
84,36684.0,117792,3676,114116,0
85,5559.0,96045,726,95319,0
86,46584.0,74127,3164,70963,0
87,14616.0,52269,2192,50077,0
88,174993.0,44817,12688,32129,0
89,66767.0,5710,5053,657,0
90,75140.0,6717,6717,0,0
91,24758.0,2458,2458,0,0
92,180901.0,12796,12796,0,0
93,42883.0,3822,3822,0,0
94,14418.0,1673,1673,0,0
95,54494.0,4118,4118,0,0
96,100003.0,7678,7678,0,0
97,80860.0,6168,6168,0,0
98,25876.0,1902,1902,0,0
99,32318.0,2380,2380,0,0
100,20684.0,1727,1727,0,0
101,17260.0,1774,1774,0,0
102,39865.0,3528,3528,0,0
103,23513.0,2268,2268,0,0
104,16080.0,1359,1359,0,0
105,69773.0,5159,5159,0,0
106,57463.0,4307,4307,0,0
107,34333.0,218389,2673,215716,0
108,174208.0,224920,13023,211897,0
109,33887.0,211847,2154,209693,0
110,36549.0,203561,3401,200160,0
111,115231.0,194398,9911,184487,0
112,7400.0,165342,1592,163750,0
113,40170.0,125400,2824,122576,0
114,90449.0,114045,6790,107255,0
115,51230.0,68657,5357,63300,0
116,89847.0,7007,7007,0,0
117,17880.0,1545,1545,0,0
118,54446.0,4231,4231,0,0
119,120089.0,10925,10925,0,0
120,64162.0,4542,4542,0,0
121,1837.0,409,409,0,0
122,39987.0,3556,3556,0,0
123,55183.0,3855,3855,0,0
124,47288.0,4453,4453,0,0
125,8728.0,1304,1304,0,0
126,45408.0,3509,3509,0,0
127,41620.0,3185,3185,0,0
128,8577.0,1296,1296,0,0
129,72594.0,4972,4972,0,0
130,13293.0,2217,2217,0,0
131,137597.0,11495,11495,0,0
132,52275.0,228662,4564,224098,0
133,39020.0,210390,3917,206473,0
134,31661.0,153682,3040,150642,0
135,11887.0,130464,1182,129282,0
136,72107.0,123439,5092,118347,0
137,46202.0,105227,4003,101224,0
138,27840.0,97828,2024,95804,0
139,119083.0,92681,8218,84463,0
140,19909.0,68301,2223,66078,0
141,53335.0,34900,6394,28506,0
142,240233.0,45909,20357,25552,0
143,13122.0,1396,1396,0,0
144,105852.0,8365,8365,0,0
145,96504.0,7373,7373,0,0
146,16255.0,1692,1692,0,0
147,15886.0,2014,2014,0,0
148,42481.0,3356,3356,0,0
149,53664.0,3518,3518,0,0
150,60899.0,4775,4775,0,0
151,83158.0,7818,7818,0,0
152,124250.0,8427,8427,0,0
153,12331.0,1548,1548,0,0
154,33620.0,2975,2975,0,0
155,76952.0,5142,5142,0,0
156,34517.0,3649,3649,0,0
157,232533.0,17266,17266,0,0
158,16043.0,1525,1525,0,0
159,32691.0,2771,2771,0,0
160,80851.0,5857,5857,0,0
161,31035.0,3221,3221,0,0
162,17334.0,1638,1638,0,0
163,44944.0,3470,3470,0,0
164,20257.0,2203,2203,0,0
165,12254.0,228908,1831,227077,0
166,133311.0,203788,9371,194417,0
167,40290.0,180491,3705,176786,0
168,46475.0,122590,3318,119272,0
169,5758.0,117210,797,116413,0
170,79120.0,120466,9809,110657,0
171,69628.0,114505,4567,109938,0
172,10980.0,103740,1180,102560,0
173,9742.0,98047,1023,97024,0
174,38555.0,95000,3742,91258,0
175,84886.0,78236,5845,72391,0
176,65019.0,45764,4890,40874,0
177,38121.0,26760,2611,24149,0
178,166591.0,32069,12032,20037,0
179,133709.0,19427,10526,8901,0
180,127765.0,15133,8763,6370,0
181,50631.0,4293,4010,283,0
182,77691.0,6597,6597,0,0
183,72459.0,5278,5278,0,0
184,42605.0,5345,5345,0,0
185,18309.0,2132,2132,0,0
186,44422.0,3161,3161,0,0
187,18714.0,3397,3397,0,0
188,67926.0,6467,6467,0,0
189,9203.0,919,919,0,0
190,36871.0,2496,2496,0,0
191,26951.0,2073,2073,0,0
192,48226.0,4028,4028,0,0
193,53534.0,4484,4484,0,0
194,21870.0,2345,2345,0,0
195,11054.0,205535,1090,204445,0
196,50391.0,207858,5363,202495,0
197,73168.0,199010,5574,193436,0
198,183887.0,185370,12398,172972,0
199,24397.0,164279,2167,162112,0
200,4648.0,146452,1311,145141,0
201,35436.0,99703,2612,97091,0
202,64787.0,79354,6106,73248,0
203,56881.0,58686,6572,52114,0
204,78825.0,51255,5189,46066,0
205,37199.0,42186,2732,39454,0
206,54333.0,31535,3819,27716,0
207,18083.0,16145,1868,14277,0
208,157461.0,12478,12478,0,0
209,35060.0,4022,4022,0,0
210,30926.0,3879,3879,0,0
211,21955.0,2330,2330,0,0
212,78401.0,5043,5043,0,0
213,79061.0,6380,6380,0,0
214,74906.0,4850,4850,0,0
215,18759.0,2584,2584,0,0
216,16338.0,1806,1806,0,0
217,68138.0,5051,5051,0,0
218,11611.0,973,973,0,0
219,77786.0,6392,6392,0,0
220,43347.0,5246,5246,0,0
221,18864.0,1680,1680,0,0
222,134881.0,239489,9089,0,230400
223,19068.0,231260,2130,229130,0
224,16416.0,204392,1487,202905,0
