type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424792,0.0,,,,,,,,,,
Role_13,1274376.0,1274376.0,1274376.0,1274376.0,1274376.0,1274376.0,1274376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1274376.0,0,424792,0.0,,,,,,,,,,
Role_6,6371880.0,8495840.0,8071048.0,6371880.0,8495840.0,7646256.0,2.2938768E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,1274376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,6371880.0,0,424792,0.0,69,8071048.0,0,424792,0.0,224,8495840.0,0,424792,0.0
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424792,0.0,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424792,0.0,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424792,0.0,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424792,0.0,,,,,,,,,,
Role_1,849584.0,2973544.0,2548752.0,849584.0,2973544.0,2123960.0,6371880.0,32347.0,35480.0,34189.0,32347.0,35480.0,34005.333333333336,102016.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,1274376.0,0.07614785589182471,0.08352323019265899,0.08048409574568259,0.07614785589182471,0.08352323019265899,0.0800517272767221,0.24015518183016632,540,2973544.0,35480,424792,0.08352323019265899,2,849584.0,32347,424792,0.07614785589182471,312,2548752.0,34189,424792,0.08048409574568259
Role_2,424792.0,7646256.0,2973544.0,424792.0,7646256.0,3681530.6666666665,1.1044592E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,1274376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2973544.0,0,424792,0.0,438,7646256.0,0,424792,0.0,384,424792.0,0,424792,0.0
Role_3,849584.0,8495840.0,2973544.0,849584.0,8495840.0,4106322.6666666665,1.2318968E7,282690.0,286545.0,282718.0,282690.0,286545.0,283984.3333333333,851953.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,1274376.0,0.6654786342492326,0.6745536639108081,0.6655445488615604,0.6654786342492326,0.6745536639108081,0.6685256156738669,2.005576847021601,23,2973544.0,282718,424792,0.6655445488615604,16,849584.0,282690,424792,0.6654786342492326,27,8495840.0,286545,424792,0.6745536639108081
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424792,0.0,,,,,,,,,,
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,424792.0,0.17726557938944237,0.17726557938944237,0.17726557938944237,0.17726557938944237,0.17726557938944237,0.17726557938944237,0.17726557938944237,NOT_SET,0.0,75301,424792,0.17726557938944237,,,,,,,,,,
