instanceId,costs,duration,effective,waiting,offTime
0,57057.0,7583,3983,3600,0
1,26325.0,3722,2251,1471,0
2,75960.0,6430,6430,0,0
3,69956.0,8185,8185,0,0
4,12414.0,1340,1340,0,0
5,75945.0,6145,6145,0,0
6,51334.0,4131,4131,0,0
7,12513.0,1409,1409,0,0
8,42970.0,6921,6921,0,0
9,246313.0,16329,16329,0,0
10,5930.0,1644,1644,0,0
11,54349.0,5454,5454,0,0
12,28618.0,2862,2862,0,0
13,8032.0,619,619,0,0
14,143464.0,11843,11843,0,0
15,17732.0,1783,1783,0,0
16,16385.0,3237,3237,0,0
17,104642.0,6718,6718,0,0
18,5622.0,1457,1457,0,0
19,16835.0,226450,1339,225111,0
20,22140.0,208771,2235,206536,0
21,37082.0,177015,3274,173741,0
22,49945.0,146611,4628,141983,0
23,5008.0,131985,1738,130247,0
24,169286.0,131873,13551,118322,0
25,168117.0,119747,11101,108646,0
26,74800.0,110565,8650,101915,0
27,284030.0,117861,23149,94712,0
28,34202.0,94161,2557,91604,0
29,19264.0,88192,1769,86423,0
30,103400.0,67757,5562,62195,0
31,38012.0,60439,3930,56509,0
32,44192.0,2649,2649,0,0
33,25180.0,1737,1737,0,0
34,17037.0,1903,1903,0,0
35,55077.0,4204,4204,0,0
36,54340.0,4442,4442,0,0
37,8304.0,2511,2511,0,0
38,18362.0,1988,1988,0,0
39,72517.0,7041,7041,0,0
40,18724.0,1245,1245,0,0
41,7419.0,1138,1138,0,0
42,22464.0,1846,1846,0,0
43,42292.0,3297,3297,0,0
44,26514.0,3004,3004,0,0
45,12068.0,1300,1300,0,0
46,113353.0,8660,8660,0,0
47,11688.0,1864,1864,0,0
48,7290.0,1123,1123,0,0
49,42940.0,228457,3079,225378,0
50,7410.0,225068,878,224190,0
51,10241.0,218866,1789,217077,0
52,11604.0,200843,3675,197168,0
53,49412.0,188706,3746,184960,0
54,34362.0,177239,3845,173394,0
55,124913.0,146710,8899,137811,0
56,14186.0,136934,1975,134959,0
57,8838.0,126544,2087,124457,0
58,77374.0,126611,6010,120601,0
59,175122.0,131395,10939,120456,0
60,110696.0,126941,8935,118006,0
61,71294.0,8153,6393,1760,0
62,30006.0,4252,4252,0,0
63,8939.0,911,911,0,0
64,85168.0,8919,8919,0,0
65,10571.0,1202,1202,0,0
66,7083.0,944,944,0,0
67,53600.0,2991,2991,0,0
68,115302.0,11479,11479,0,0
69,25754.0,3711,3711,0,0
70,3810.0,894,894,0,0
71,2462.0,275,275,0,0
72,48534.0,5398,5398,0,0
73,182391.0,11703,11703,0,0
74,4870.0,2366,2366,0,0
75,14472.0,1183,1183,0,0
76,1982.0,844,844,0,0
77,63907.0,4260,4260,0,0
78,77026.0,5922,5922,0,0
79,25741.0,2674,2674,0,0
80,14112.0,230966,1418,229548,0
81,43759.0,206461,4116,202345,0
82,55652.0,127326,6800,120526,0
83,61176.0,120696,4739,115957,0
84,20780.0,114970,1707,113263,0
85,83884.0,102764,7656,95108,0
86,20800.0,72409,1634,70775,0
87,18288.0,51514,1480,50034,0
88,23064.0,34531,3230,31301,0
89,69833.0,4458,4458,0,0
90,54778.0,4860,4860,0,0
91,96203.0,7401,7401,0,0
92,58376.0,5098,5098,0,0
93,121464.0,9246,9246,0,0
94,14580.0,2368,2368,0,0
95,96073.0,9709,9709,0,0
96,80091.0,7655,7655,0,0
97,190366.0,15388,15388,0,0
98,51246.0,4530,4530,0,0
99,20141.0,1970,1970,0,0
100,5353.0,713,713,0,0
101,7686.0,1719,1719,0,0
102,70678.0,4913,4913,0,0
103,178792.0,13517,13517,0,0
104,89200.0,5439,5439,0,0
105,12131.0,1570,1570,0,0
106,6802.0,1089,1089,0,0
107,39563.0,218211,2495,215716,0
108,23389.0,214109,2212,211897,0
109,1210.0,209448,358,209090,0
110,197524.0,211968,12146,199822,0
111,11673.0,185425,1763,183662,0
112,120962.0,173778,10189,163589,0
113,35111.0,125759,3729,122030,0
114,59586.0,111830,4575,107255,0
115,17836.0,68894,5594,63300,0
116,13369.0,2892,2892,0,0
117,136650.0,9800,9800,0,0
118,47774.0,2955,2955,0,0
119,11710.0,1710,1710,0,0
120,3450.0,987,987,0,0
121,7228.0,778,778,0,0
122,12582.0,1351,1351,0,0
123,144350.0,9576,9576,0,0
124,6140.0,1122,1122,0,0
125,59162.0,10119,10119,0,0
126,30922.0,3059,3059,0,0
127,41202.0,3293,3293,0,0
128,16017.0,1446,1446,0,0
129,143132.0,11264,11264,0,0
130,74159.0,5425,5425,0,0
131,90512.0,7189,7189,0,0
132,39970.0,227106,3008,224098,0
133,2036.0,206256,1243,205013,0
134,4769.0,151861,1219,150642,0
135,16877.0,130479,1197,129282,0
136,12366.0,119581,1358,118223,0
137,21540.0,104842,4872,99970,0
138,5829.0,95688,1070,94618,0
139,58944.0,87307,4382,82925,0
140,105572.0,72683,8995,63688,0
141,22510.0,30063,1866,28197,0
142,109102.0,31717,7292,24425,0
143,92175.0,9624,9624,0,0
144,14638.0,1506,1506,0,0
145,8922.0,817,817,0,0
146,17313.0,1727,1727,0,0
147,57820.0,4953,4953,0,0
148,40804.0,5153,5153,0,0
149,6525.0,555,555,0,0
150,20154.0,2476,2476,0,0
151,134253.0,10696,10696,0,0
152,13563.0,1664,1664,0,0
153,5111.0,693,693,0,0
154,7616.0,1230,1230,0,0
155,23736.0,5205,5205,0,0
156,65411.0,4417,4417,0,0
157,19012.0,2350,2350,0,0
158,4078.0,575,575,0,0
159,33973.0,2961,2961,0,0
160,39156.0,4421,4421,0,0
161,20260.0,3030,3030,0,0
162,2627.0,860,860,0,0
163,152462.0,9932,9932,0,0
164,4509.0,936,936,0,0
165,7251.0,228262,1185,227077,0
166,179942.0,211596,18727,192869,0
167,16724.0,177852,2189,175663,0
168,67108.0,121619,4666,116953,0
169,12924.0,118343,2271,116072,0
170,48955.0,111624,3103,108521,0
171,28720.0,107170,1499,105671,0
172,16904.0,103896,1569,102327,0
173,164676.0,112468,15057,97411,0
174,27019.0,93577,2097,91480,0
175,23760.0,72107,2541,69566,0
176,26008.0,38319,2129,36190,0
177,4386.0,20623,648,19975,0
178,14422.0,17791,1670,16121,0
179,5950.0,4763,852,3911,0
180,7941.0,2950,862,2088,0
181,88406.0,6406,6406,0,0
182,73311.0,5765,5765,0,0
183,95428.0,7036,7036,0,0
184,17666.0,3186,3186,0,0
185,92748.0,11327,11327,0,0
186,23297.0,1861,1861,0,0
187,8650.0,2768,2768,0,0
188,20600.0,2776,2776,0,0
189,19128.0,1790,1790,0,0
190,3962.0,595,595,0,0
191,98532.0,7430,7430,0,0
192,14131.0,1458,1458,0,0
193,28346.0,2898,2898,0,0
194,1872.0,1406,1406,0,0
195,302481.0,230917,24745,206172,0
196,145726.0,211614,8945,202669,0
197,52184.0,196392,3510,192882,0
198,228387.0,186782,14388,172394,0
199,5742.0,163154,1042,162112,0
200,40383.0,151875,5976,145899,0
201,35766.0,101155,5162,95993,0
202,41769.0,79704,4951,74753,0
203,10511.0,53271,800,52471,0
204,141610.0,57684,9573,48111,0
205,35597.0,49824,8342,41482,0
206,65374.0,29221,4090,25131,0
207,24173.0,18674,2390,16284,0
208,45302.0,5449,5449,0,0
209,62999.0,6439,6439,0,0
210,50205.0,4450,4450,0,0
211,15678.0,1405,1405,0,0
212,24756.0,2335,2335,0,0
213,103116.0,7269,7269,0,0
214,1906.0,825,825,0,0
215,13738.0,1565,1565,0,0
216,195756.0,14598,14598,0,0
217,16254.0,1741,1741,0,0
218,211568.0,12980,12980,0,0
219,25356.0,4011,4011,0,0
220,22568.0,3037,3037,0,0
221,207794.0,245831,15431,0,230400
222,73396.0,238449,8049,0,230400
223,11168.0,232442,3312,229130,0
224,59408.0,206511,3606,202905,0
