type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_13,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1185624.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,1185624.0,7904160.0,5928120.0,1976040.0,7904160.0,5256266.4,5.2562664E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,3952080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,5928120.0,0,395208,0.0,396,4742496.0,0,395208,0.0,332,7904160.0,0,395208,0.0,69,7508952.0,0,395208,0.0,224,7904160.0,0,395208,0.0,324,7904160.0,0,395208,0.0,81,1185624.0,0,395208,0.0,516,5928120.0,0,395208,0.0,270,1580832.0,0,395208,0.0,296,1976040.0,0,395208,0.0
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,790416.0,7904160.0,3556872.0,2371248.0,5928120.0,3912559.2,3.9125592E7,8199.0,11960.0,10173.0,9544.0,10741.0,10201.6,102016.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,3952080.0,0.020746037529604664,0.030262545292605414,0.02574087569077549,0.024149308718446994,0.027178093560859092,0.025813242646909984,0.25813242646909984,540,2766456.0,10741,395208,0.027178093560859092,2,790416.0,11960,395208,0.030262545292605414,574,3556872.0,8199,395208,0.020746037529604664,322,3556872.0,10173,395208,0.02574087569077549,312,2371248.0,10203,395208,0.02581678508532216,434,1580832.0,9544,395208,0.024149308718446994,547,5928120.0,9863,395208,0.024956478613793243,602,3556872.0,9131,395208,0.023104289386854517,61,7904160.0,10560,395208,0.026720106880427523,381,7113744.0,11642,395208,0.02945790571041072
Role_2,395208.0,7904160.0,5137704.0,1976040.0,7113744.0,4623933.6,4.6239336E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,3952080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,5137704.0,0,395208,0.0,3,2766456.0,0,395208,0.0,612,6323328.0,0,395208,0.0,438,7113744.0,0,395208,0.0,526,7113744.0,0,395208,0.0,219,1580832.0,0,395208,0.0,272,1976040.0,0,395208,0.0,409,7904160.0,0,395208,0.0,471,5928120.0,0,395208,0.0,384,395208.0,0,395208,0.0
Role_3,790416.0,7904160.0,6323328.0,2766456.0,7113744.0,5137704.0,5.137704E7,72075.0,97130.0,89692.0,86838.0,96576.0,89628.5,896285.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,3952080.0,0.1823723203983725,0.245769316410599,0.22694884718932815,0.21972733345478837,0.24436752292463715,0.2267881723042044,2.267881723042044,451,7113744.0,92131,395208,0.23312028096597234,23,2766456.0,86452,395208,0.2187506325782879,34,3952080.0,86838,395208,0.21972733345478837,35,6718536.0,87710,395208,0.2219337665229449,16,790416.0,91100,395208,0.2305115281067185,203,6323328.0,72075,395208,0.1823723203983725,27,7904160.0,97130,395208,0.245769316410599,29,6323328.0,89692,395208,0.22694884718932815,92,2371248.0,96576,395208,0.24436752292463715,20,7113744.0,96581,395208,0.24438017449039492
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,NOT_SET,0.0,75301,395208,0.190535110625291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
