type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_13,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1185624.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,1185624.0,7904160.0,5928120.0,1580832.0,7508952.0,5203572.0,6.2442864E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,4742496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,5928120.0,0,395208,0.0,441,3952080.0,0,395208,0.0,266,7113744.0,0,395208,0.0,332,7904160.0,0,395208,0.0,365,4347288.0,0,395208,0.0,69,7508952.0,0,395208,0.0,224,7904160.0,0,395208,0.0,324,7904160.0,0,395208,0.0,81,1185624.0,0,395208,0.0,516,5928120.0,0,395208,0.0,60,1185624.0,0,395208,0.0,270,1580832.0,0,395208,0.0
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,790416.0,7904160.0,3556872.0,1580832.0,4742496.0,3787410.0,4.544892E7,6720.0,10848.0,8409.0,7579.0,8523.0,8501.333333333334,102016.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,4742496.0,0.017003704378453877,0.027448837068075545,0.021277403291431348,0.01917724337564017,0.02156585899070869,0.021511035539091648,0.2581324264690998,540,2766456.0,8455,395208,0.021393797696402907,2,790416.0,8158,395208,0.020642294690390882,442,4742496.0,10848,395208,0.027448837068075545,574,3556872.0,7174,395208,0.018152466549260136,322,3556872.0,9747,395208,0.02466296228821279,312,2371248.0,8409,395208,0.021277403291431348,488,1580832.0,8493,395208,0.02148994959616202,434,1580832.0,8266,395208,0.020915568510758892,547,5928120.0,7579,395208,0.01917724337564017,602,3556872.0,8523,395208,0.02156585899070869,61,7904160.0,6720,395208,0.017003704378453877,381,7113744.0,9644,395208,0.02440234003360256
Role_2,395208.0,7904160.0,3556872.0,1580832.0,6323328.0,4281420.0,5.137704E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,4742496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386,3556872.0,0,395208,0.0,530,5137704.0,0,395208,0.0,3,2766456.0,0,395208,0.0,597,1580832.0,0,395208,0.0,612,6323328.0,0,395208,0.0,438,7113744.0,0,395208,0.0,526,7113744.0,0,395208,0.0,219,1580832.0,0,395208,0.0,272,1976040.0,0,395208,0.0,409,7904160.0,0,395208,0.0,471,5928120.0,0,395208,0.0,384,395208.0,0,395208,0.0
Role_3,790416.0,7904160.0,6323328.0,2766456.0,7113744.0,5401176.0,6.4814112E7,56887.0,86874.0,74847.0,71497.0,76351.0,74690.41666666667,896285.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,4742496.0,0.14394192425254548,0.21981842472824437,0.18938634845448474,0.18090979939677335,0.1931919394344244,0.18899014358683697,2.2678817230420436,451,7113744.0,76351,395208,0.1931919394344244,23,2766456.0,73625,395208,0.18629430578328374,34,3952080.0,80459,395208,0.20358646586101495,35,6718536.0,69458,395208,0.1757504908807514,16,790416.0,74991,395208,0.18975071354830875,203,6323328.0,74847,395208,0.18938634845448474,27,7904160.0,81342,395208,0.20582073237383858,17,6323328.0,86874,395208,0.21981842472824437,29,6323328.0,74460,395208,0.1884071172648327,315,7113744.0,56887,395208,0.14394192425254548,92,2371248.0,75494,395208,0.19102346106354123,20,7113744.0,71497,395208,0.18090979939677335
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,NOT_SET,0.0,75301,395208,0.190535110625291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
