type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_13,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1273080.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,1273080.0,8487200.0,5516680.0,2121800.0,8062840.0,5157606.153846154,6.704888E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,5516680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,8062840.0,0,424360,0.0,270,1697440.0,0,424360,0.0,242,6365400.0,0,424360,0.0,441,4243600.0,0,424360,0.0,332,8487200.0,0,424360,0.0,365,4667960.0,0,424360,0.0,224,8487200.0,0,424360,0.0,324,8487200.0,0,424360,0.0,138,5516680.0,0,424360,0.0,303,2121800.0,0,424360,0.0,81,1273080.0,0,424360,0.0,516,6365400.0,0,424360,0.0,60,1273080.0,0,424360,0.0
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,848720.0,8487200.0,3819240.0,2546160.0,5516680.0,4178313.846153846,5.431808E7,5640.0,10075.0,7607.0,6705.0,8985.0,7847.384615384615,102016.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,5516680.0,0.013290602318785937,0.02374163446130644,0.017925817701951174,0.015800263926854557,0.02117306060891696,0.018492281589651747,0.24039966066547272,381,7638480.0,7474,424360,0.0176124045621642,275,5516680.0,9054,424360,0.02133565840324253,540,2970520.0,8585,424360,0.020230464699783204,2,848720.0,6513,424360,0.015347817890470355,442,5092320.0,9095,424360,0.02143227448392874,574,3819240.0,6705,424360,0.015800263926854557,322,3819240.0,6669,424360,0.015715430295032518,312,2546160.0,8553,424360,0.020155057027052503,488,1697440.0,5640,424360,0.013290602318785937,434,1697440.0,10075,424360,0.02374163446130644,547,6365400.0,7061,424360,0.016639174285983598,602,3819240.0,7607,424360,0.017925817701951174,61,8487200.0,8985,424360,0.02117306060891696
Role_2,424360.0,8487200.0,3819240.0,2121800.0,6789760.0,4504744.615384615,5.856168E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,5516680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272,2121800.0,0,424360,0.0,471,6365400.0,0,424360,0.0,384,424360.0,0,424360,0.0,440,3394880.0,0,424360,0.0,386,3819240.0,0,424360,0.0,530,5516680.0,0,424360,0.0,3,2970520.0,0,424360,0.0,597,1697440.0,0,424360,0.0,612,6789760.0,0,424360,0.0,438,7638480.0,0,424360,0.0,526,7638480.0,0,424360,0.0,219,1697440.0,0,424360,0.0,409,8487200.0,0,424360,0.0
Role_3,848720.0,8487200.0,6789760.0,2970520.0,7638480.0,5516680.0,7.171684E7,59293.0,76567.0,63969.0,61409.0,69497.0,65534.846153846156,851953.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,5516680.0,0.13972334810066925,0.18042935243661043,0.15074229427844282,0.1447096804599868,0.16376896974267133,0.15443219472581335,2.0076185314355737,23,2970520.0,62058,424360,0.14623904232255633,34,4243600.0,61409,424360,0.1447096804599868,35,7214120.0,61247,424360,0.14432792911678763,16,848720.0,76567,424360,0.18042935243661043,27,8487200.0,59293,424360,0.13972334810066925,17,6789760.0,70576,424360,0.16631162220755963,29,6789760.0,63997,424360,0.15080827599208219,451,7638480.0,68767,424360,0.16204873220850222,157,2121800.0,71375,424360,0.1681944575360543,203,6789760.0,62873,424360,0.14815958148741634,315,7638480.0,69497,424360,0.16376896974267133,92,2546160.0,60325,424360,0.14215524554623432,20,7638480.0,63969,424360,0.15074229427844282
