,0,avg_costxhour,costxhour,dif_timestamp,members,quantity,resource,role,roleID,role_ID,schedule
0,Resource table: Resources grouped by tasks performed 1.0,,,,,,,,,,
0,,19.0,,,['525'],1.0,,Role 1,,Role_1,
1,,3.0,,,['393'],1.0,,Role 2,,Role_2,
2,,8.0,,,['444'],1.0,,Role 3,,Role_3,
3,,6.0,,,['558'],1.0,,Role 4,,Role_4,
4,,4.0,,,['219'],1.0,,Role 5,,Role_5,
5,,2.0,,,['2'],1.0,,Role 6,,Role_6,
6,,19.0,,,['340'],1.0,,Role 7,,Role_7,
7,,16.0,,,['13'],1.0,,Role 8,,Role_8,
8,,7.0,,,['449'],1.0,,Role 9,,Role_9,
9,,12.0,,,['362'],1.0,,Role 10,,Role_10,
10,,3.0,,,['601'],1.0,,Role 11,,Role_11,
11,,5.0,,,['218'],1.0,,Role 12,,Role_12,
12,,14.0,,,['142'],1.0,,Role 13,,Role_13,
13,,9.0,,,['602'],1.0,,Role 14,,Role_14,
14,,2.0,,,['493'],1.0,,Role 15,,Role_15,
15,,8.0,,,['149'],1.0,,Role 16,,Role_16,
16,,17.0,,,['250'],1.0,,Role 17,,Role_17,
17,,8.0,,,['616'],1.0,,Role 18,,Role_18,
18,,20.0,,,['286'],1.0,,Role 19,,Role_19,
19,,2.0,,,['153'],1.0,,Role 20,,Role_20,
20,,12.0,,,['62'],1.0,,Role 21,,Role_21,
21,,6.0,,,['535'],1.0,,Role 22,,Role_22,
22,,8.0,,,['10'],1.0,,Role 23,,Role_23,
23,,20.0,,,['371'],1.0,,Role 24,,Role_24,
24,,4.0,,,['291'],1.0,,Role 25,,Role_25,
25,,10.0,,,['261'],1.0,,Role 26,,Role_26,
26,,15.0,,,['68'],1.0,,Role 27,,Role_27,
27,,16.0,,,['554'],1.0,,Role 28,,Role_28,
28,,10.0,,,['474'],1.0,,Role 29,,Role_29,
29,,2.0,,,['252'],1.0,,Role 30,,Role_30,
30,,5.0,,,['132'],1.0,,Role 31,,Role_31,
31,,15.0,,,['471'],1.0,,Role 32,,Role_32,
32,,11.0,,,['280'],1.0,,Role 33,,Role_33,
33,,12.0,,,['7'],1.0,,Role 34,,Role_34,
34,,7.0,,,['175'],1.0,,Role 35,,Role_35,
35,,4.0,,,['508'],1.0,,Role 36,,Role_36,
36,,19.0,,,['55'],1.0,,Role 37,,Role_37,
37,,10.0,,,['300'],1.0,,Role 38,,Role_38,
38,,8.0,,,['375'],1.0,,Role 39,,Role_39,
39,,8.0,,,['437'],1.0,,Role 40,,Role_40,
40,,9.0,,,['28'],1.0,,Role 41,,Role_41,
41,,17.0,,,['507'],1.0,,Role 42,,Role_42,
42,,4.0,,,['529'],1.0,,Role 43,,Role_43,
43,,15.0,,,['547'],1.0,,Role 44,,Role_44,
44,,14.0,,,['234'],1.0,,Role 45,,Role_45,
45,,19.0,,,['446'],1.0,,Role 46,,Role_46,
46,,18.0,,,['24'],1.0,,Role 47,,Role_47,
47,,5.0,,,['480'],1.0,,Role 48,,Role_48,
48,,20.0,,,['450'],1.0,,Role 49,,Role_49,
49,,18.0,,,['266'],1.0,,Role 50,,Role_50,
50,,9.0,,,['537'],1.0,,Role 51,,Role_51,
51,,13.0,,,['47'],1.0,,Role 52,,Role_52,
52,,17.0,,,['131'],1.0,,Role 53,,Role_53,
53,,3.0,,,['122'],1.0,,Role 54,,Role_54,
54,,2.0,,,['360'],1.0,,Role 55,,Role_55,
55,,9.0,,,['561'],1.0,,Role 56,,Role_56,
56,,13.0,,,['118'],1.0,,Role 57,,Role_57,
57,,20.0,,,['505'],1.0,,Role 58,,Role_58,
58,,11.0,,,['402'],1.0,,Role 59,,Role_59,
59,,7.0,,,['406'],1.0,,Role 60,,Role_60,
60,,7.0,,,['283'],1.0,,Role 61,,Role_61,
61,,7.0,,,['36'],1.0,,Role 62,,Role_62,
62,,3.0,,,['511'],1.0,,Role 63,,Role_63,
63,,6.0,,,['208'],1.0,,Role 64,,Role_64,
64,,11.0,,,['331'],1.0,,Role 65,,Role_65,
65,,3.0,,,['323'],1.0,,Role 66,,Role_66,
66,,14.0,,,['158'],1.0,,Role 67,,Role_67,
67,,20.0,,,['56'],1.0,,Role 68,,Role_68,
68,,6.0,,,['44'],1.0,,Role 69,,Role_69,
69,,12.0,,,['168'],1.0,,Role 70,,Role_70,
70,,11.0,,,['86'],1.0,,Role 71,,Role_71,
71,,14.0,,,['115'],1.0,,Role 72,,Role_72,
72,,2.0,,,['383'],1.0,,Role 73,,Role_73,
73,,11.0,,,['67'],1.0,,Role 74,,Role_74,
74,,19.0,,,['382'],1.0,,Role 75,,Role_75,
75,,6.0,,,['521'],1.0,,Role 76,,Role_76,
76,,10.0,,,['593'],1.0,,Role 77,,Role_77,
77,,3.0,,,['316'],1.0,,Role 78,,Role_78,
78,,4.0,,,['281'],1.0,,Role 79,,Role_79,
79,,16.0,,,['555'],1.0,,Role 80,,Role_80,
80,,2.0,,,['605'],1.0,,Role 81,,Role_81,
