,0,avg_costxhour,costxhour,dif_timestamp,members,quantity,resource,role,roleID,role_ID,schedule
0,Resource table: Resources grouped by tasks performed 1.0,,,,,,,,,,
0,,8.0,,,['616'],1.0,,Role 1,,Role_1,
1,,6.0,,,['364'],1.0,,Role 2,,Role_2,
2,,5.0,,,['132'],1.0,,Role 3,,Role_3,
3,,20.0,,,['324'],1.0,,Role 4,,Role_4,
4,,12.0,,,['615'],1.0,,Role 5,,Role_5,
5,,12.0,,,['531'],1.0,,Role 6,,Role_6,
6,,20.0,,,['617'],1.0,,Role 7,,Role_7,
7,,2.0,,,['18'],1.0,,Role 8,,Role_8,
8,,6.0,,,['171'],1.0,,Role 9,,Role_9,
9,,7.0,,,['614'],1.0,,Role 10,,Role_10,
10,,17.0,,,['580'],1.0,,Role 11,,Role_11,
11,,7.0,,,['143'],1.0,,Role 12,,Role_12,
12,,0.0,,,['NOT_SET'],1.0,,Role 13,,Role_13,
13,,16.0,,,['201'],1.0,,Role 14,,Role_14,
14,,9.0,,,['322'],1.0,,Role 15,,Role_15,
15,,3.0,,,['323'],1.0,,Role 16,,Role_16,
16,,16.0,,,['200'],1.0,,Role 17,,Role_17,
0,,8.0,8.0,3160.0,,,616,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
1,,6.0,6.0,3292.0,,,364,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
2,,5.0,5.0,2480.0,,,132,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
3,,20.0,20.0,0.0,,,324,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
4,,12.0,12.0,0.0,,,615,Role 5,Role_5,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
5,,12.0,12.0,2542.0,,,531,Role 6,Role_6,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
6,,20.0,20.0,0.0,,,617,Role 7,Role_7,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
7,,2.0,2.0,116.0,,,18,Role 8,Role_8,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
8,,6.0,6.0,5949.0,,,171,Role 9,Role_9,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
9,,7.0,7.0,201.0,,,614,Role 10,Role_10,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
10,,17.0,17.0,380.0,,,580,Role 11,Role_11,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
11,,7.0,7.0,4278.0,,,143,Role 12,Role_12,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
12,,0.0,0.0,204.0,,,NOT_SET,Role 13,Role_13,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
13,,16.0,16.0,3924.0,,,201,Role 14,Role_14,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
14,,9.0,9.0,274.0,,,322,Role 15,Role_15,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
15,,3.0,3.0,0.0,,,323,Role 16,Role_16,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
16,,16.0,16.0,5125.0,,,200,Role 17,Role_17,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
