instanceId,costs,duration,effective,waiting,offTime
0,48634.0,6605,2877,3728,0
1,87834.0,8765,5708,3057,0
2,130498.0,7119,7119,0,0
3,28968.0,2193,2139,54,0
4,112562.0,6450,6450,0,0
5,20272.0,1257,1257,0,0
6,258504.0,14090,13597,493,0
7,206418.0,15962,11416,4546,0
8,36128.0,2990,2990,0,0
9,22544.0,1189,1189,0,0
10,23024.0,1501,1501,0,0
11,50284.0,3981,3981,0,0
12,24414.0,1437,1437,0,0
13,43048.0,2591,2591,0,0
14,294128.0,15270,15270,0,0
15,73084.0,4337,4337,0,0
16,105608.0,6850,6850,0,0
17,30080.0,2030,2030,0,0
18,54140.0,4001,4001,0,0
19,82346.0,252586,5117,247469,0
20,175992.0,259915,9875,250040,0
21,52546.0,184203,3753,180450,0
22,145658.0,171244,8086,163158,0
23,23748.0,153317,1671,151646,0
24,87272.0,164746,5240,159506,0
25,20686.0,119845,1414,118431,0
26,84586.0,134565,4629,129936,0
27,13088.0,107650,1098,106552,0
28,15216.0,105047,1540,103507,0
29,284552.0,147935,14863,133072,0
30,32816.0,79412,1745,77667,0
31,56864.0,76159,4666,71493,0
32,65738.0,21424,3482,17942,0
33,115180.0,30878,6220,24658,0
34,23054.0,7381,2393,4988,0
35,107458.0,6628,5609,1019,0
36,44876.0,7523,4014,3509,0
37,146722.0,7835,7835,0,0
38,21862.0,2163,2163,0,0
39,215834.0,11948,11948,0,0
40,68692.0,3841,3841,0,0
41,71686.0,6720,4066,2654,0
42,50068.0,4714,3303,1411,0
43,83066.0,4979,4979,0,0
44,52220.0,3494,3494,0,0
45,35968.0,2562,2562,0,0
46,143808.0,8240,8240,0,0
47,220482.0,12400,12400,0,0
48,49944.0,3237,3237,0,0
49,330518.0,298069,17116,280953,0
50,46670.0,251847,2841,249006,0
51,11506.0,222110,1201,220909,0
52,22596.0,201875,1652,200223,0
53,35036.0,200628,2607,198021,0
54,175076.0,204138,9463,194675,0
55,142752.0,191095,7326,183769,0
56,164122.0,204127,8668,195459,0
57,71894.0,156092,4211,151881,0
58,144736.0,180876,7711,173165,0
59,90136.0,181104,5028,176076,0
60,112268.0,157852,7752,150100,0
61,119904.0,49219,7527,41692,0
62,14830.0,780,780,0,0
63,29706.0,1834,1834,0,0
64,58662.0,3131,3131,0,0
65,177412.0,9545,9500,45,0
66,153714.0,8589,8427,162,0
67,19296.0,1215,1215,0,0
68,20856.0,1906,1906,0,0
69,56432.0,4294,4294,0,0
70,44310.0,2936,2936,0,0
71,108660.0,7192,5625,1567,0
72,57210.0,9408,3528,5880,0
73,53886.0,9950,3164,6786,0
74,37054.0,6111,2557,3554,0
75,172644.0,11742,9427,2315,0
76,95464.0,10767,5386,5381,0
77,12470.0,1384,1384,0,0
78,72612.0,4640,4640,0,0
79,119264.0,249932,6489,13043,230400
80,15786.0,233323,1535,231788,0
81,20638.0,205674,2923,202751,0
82,82732.0,138291,4841,133450,0
83,22930.0,118884,1677,117207,0
84,120284.0,129284,6539,122745,0
85,81800.0,128927,4489,124438,0
86,33236.0,88883,2162,86721,0
87,55596.0,73948,3492,70456,0
88,93200.0,71875,5308,66567,0
89,200138.0,46587,10841,35746,0
90,174892.0,33606,9671,23935,0
91,52576.0,11268,3714,7554,0
92,234410.0,12796,12796,0,0
93,50114.0,3822,3822,0,0
94,16340.0,1673,1673,0,0
95,67388.0,4118,4118,0,0
96,139826.0,7678,7678,0,0
97,114192.0,6168,6168,0,0
98,31572.0,1902,1902,0,0
99,39196.0,2380,2380,0,0
100,25574.0,1727,1727,0,0
101,22696.0,1774,1774,0,0
102,45974.0,3528,3528,0,0
103,34458.0,2268,2268,0,0
104,26800.0,1359,1359,0,0
105,87566.0,5159,5159,0,0
106,69988.0,4307,4307,0,0
107,86754.0,256794,5144,251650,0
108,180450.0,247693,9748,237945,0
109,194200.0,249138,9862,239276,0
110,163222.0,236481,8751,227730,0
111,38222.0,188956,2745,186211,0
112,52540.0,171169,3417,167752,0
113,43678.0,131077,2740,128337,0
114,21102.0,121554,2200,119354,0
115,19314.0,80615,3118,77497,0
116,126382.0,7618,7007,611,0
117,17238.0,1545,1545,0,0
118,74724.0,4231,4231,0,0
119,198574.0,10925,10925,0,0
120,48366.0,2791,2791,0,0
121,35970.0,2810,2160,650,0
122,49456.0,3556,3556,0,0
123,66650.0,3855,3855,0,0
124,68660.0,4453,4453,0,0
125,18160.0,1304,1304,0,0
126,50100.0,3509,3509,0,0
127,46932.0,3185,3185,0,0
128,11526.0,1296,1296,0,0
129,96426.0,4972,4972,0,0
130,18398.0,2217,2217,0,0
131,196700.0,11495,11495,0,0
132,53310.0,229211,3262,225949,0
133,152104.0,228714,8760,219954,0
134,131066.0,191748,7293,184455,0
135,40874.0,159215,2492,156723,0
136,127876.0,147263,7303,139960,0
137,118292.0,159549,6619,152930,0
138,15494.0,106815,1252,105563,0
139,183892.0,134594,9659,124935,0
140,17146.0,77268,1802,75466,0
141,39376.0,61578,2757,58821,0
142,27892.0,39828,2350,37478,0
143,84592.0,23346,5095,18251,0
144,52836.0,11452,3323,8129,0
145,241790.0,26585,12356,14229,0
146,95138.0,20883,5517,15366,0
147,32212.0,2014,2014,0,0
148,58342.0,3356,3356,0,0
149,66154.0,3518,3518,0,0
150,78420.0,4775,4775,0,0
151,131622.0,7818,7818,0,0
152,144002.0,8427,8427,0,0
153,29946.0,1548,1548,0,0
154,39228.0,2975,2975,0,0
155,94340.0,5142,5142,0,0
156,63628.0,3649,3649,0,0
157,332126.0,17266,17266,0,0
158,24628.0,1525,1525,0,0
159,33214.0,2771,2771,0,0
160,95090.0,5857,5857,0,0
161,48896.0,3221,3221,0,0
162,18144.0,1638,1638,0,0
163,63520.0,3470,3470,0,0
164,27254.0,2203,2203,0,0
165,84030.0,258927,5019,253908,0
166,14714.0,202224,1396,200828,0
167,16232.0,178478,2209,176269,0
168,135642.0,140092,7347,132745,0
169,154868.0,176846,8245,168601,0
170,62470.0,170220,3574,166646,0
171,213360.0,187657,10731,176926,0
172,79900.0,143188,4689,138499,0
173,17788.0,137624,1233,136391,0
174,96414.0,104412,5561,98851,0
175,39624.0,84832,3052,81780,0
176,160344.0,110543,8916,101627,0
177,142960.0,94752,7371,87381,0
178,35476.0,32867,2138,30729,0
179,153772.0,52392,7927,44465,0
180,135586.0,57859,7281,50578,0
181,61286.0,45847,4312,41535,0
182,48458.0,11892,3616,8276,0
183,92496.0,5278,5278,0,0
184,84942.0,5345,5345,0,0
185,21142.0,2132,2132,0,0
186,47142.0,3161,3161,0,0
187,20784.0,3397,3397,0,0
188,100160.0,5517,5517,0,0
189,24630.0,2449,1869,580,0
190,52922.0,3794,3145,649,0
191,14354.0,2921,1424,1497,0
192,71720.0,4631,4028,603,0
193,74748.0,6003,4484,1519,0
194,21770.0,2345,2345,0,0
195,54268.0,208201,3489,204712,0
196,66898.0,228336,3771,224565,0
197,152548.0,240057,8237,231820,0
198,56732.0,211878,3413,208465,0
199,59110.0,169499,3444,166055,0
200,32824.0,153359,2880,150479,0
201,110522.0,138759,5935,132824,0
202,23062.0,88880,2040,86840,0
203,107954.0,73860,6024,67836,0
204,22298.0,74011,1910,72101,0
205,354342.0,99325,18305,81020,0
206,33114.0,58074,1876,56198,0
207,76594.0,52892,4691,48201,0
208,47634.0,11802,3458,8344,0
209,50414.0,9195,3828,5367,0
210,39992.0,3879,3879,0,0
211,31900.0,2330,2330,0,0
212,171464.0,10934,8805,2129,0
213,38550.0,5734,2618,3116,0
214,85880.0,4850,4850,0,0
215,34126.0,2584,2584,0,0
216,16332.0,1806,1806,0,0
217,78420.0,5051,5051,0,0
218,13660.0,973,973,0,0
219,118112.0,9977,6392,3585,0
220,72462.0,7210,5246,1964,0
221,28060.0,1680,1680,0,0
222,152832.0,240943,8420,2123,230400
223,39388.0,231929,2799,229130,0
224,20520.0,207556,1487,206069,0
