,0,avg_costxhour,costxhour,dif_timestamp,members,quantity,resource,role,roleID,role_ID,schedule
0,Resource table: Resources grouped by tasks performed 0.9,,,,,,,,,,
0,,18.846153846153847,,,"['ID4783', 'ID0997', 'ID4794', 'ID4142', 'ID4132', 'ID4429', 'ID4219', 'ID4932', 'ID4529', 'ID4167', 'ID3846', 'ID4641', 'ID4718']",13.0,,Role 1,,Role_1,
1,,14.88888888888889,,,"['ID4385', 'ID4109', 'ID4160', 'ID3854', 'ID4872', 'ID0420', 'ID4355', 'ID4445', 'ID4528']",9.0,,Role 2,,Role_2,
2,,13.25,,,"['ID4618', 'ID4163', 'ID4287', 'ID4493']",4.0,,Role 3,,Role_3,
3,,10.25,,,"['ID4873', 'ID4326', 'ID4162', 'ID4140']",4.0,,Role 4,,Role_4,
4,,13.666666666666666,,,"['ID4799', 'ID3718', 'ID4622']",3.0,,Role 5,,Role_5,
5,,17.333333333333332,,,"['ID4491', 'ID4820', 'ID4291']",3.0,,Role 6,,Role_6,
6,,15.5,,,"['ID4890', 'ID4851']",2.0,,Role 7,,Role_7,
7,,8.0,,,"['ID0998', 'ID4882']",2.0,,Role 8,,Role_8,
8,,8.0,,,['ID4442'],1.0,,Role 9,,Role_9,
9,,22.0,,,['ID3998'],1.0,,Role 10,,Role_10,
10,,3.0,,,['ID0937'],1.0,,Role 11,,Role_11,
11,,23.0,,,['ID4955'],1.0,,Role 12,,Role_12,
12,,16.0,,,['ID3641'],1.0,,Role 13,,Role_13,
13,,30.0,,,['ID3716'],1.0,,Role 14,,Role_14,
0,,18.846153846153847,13.0,39600.0,,,ID4783,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
1,,18.846153846153847,21.0,1676520.0,,,ID0997,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
2,,18.846153846153847,20.0,3986940.0,,,ID4794,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
3,,18.846153846153847,3.0,4500.0,,,ID4142,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
4,,18.846153846153847,21.0,1809060.0,,,ID4132,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
5,,18.846153846153847,25.0,1860420.0,,,ID4429,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
6,,18.846153846153847,11.0,1463160.0,,,ID4219,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
7,,18.846153846153847,8.0,3777240.0,,,ID4932,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
8,,18.846153846153847,28.0,3420480.0,,,ID4529,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
9,,18.846153846153847,30.0,2397000.0,,,ID4167,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
10,,18.846153846153847,26.0,1904520.0,,,ID3846,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
11,,18.846153846153847,25.0,2712300.0,,,ID4641,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
12,,18.846153846153847,14.0,353640.0,,,ID4718,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
13,,14.88888888888889,27.0,1905420.0,,,ID4385,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
14,,14.88888888888889,17.0,20820.0,,,ID4109,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
15,,14.88888888888889,18.0,49080.0,,,ID4160,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
16,,14.88888888888889,4.0,6840.0,,,ID3854,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
17,,14.88888888888889,22.0,1547940.0,,,ID4872,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
18,,14.88888888888889,13.0,1612440.0,,,ID0420,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
19,,14.88888888888889,16.0,1480020.0,,,ID4355,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
20,,14.88888888888889,9.0,2346960.0,,,ID4445,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
21,,14.88888888888889,8.0,1985460.0,,,ID4528,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
22,,13.25,30.0,2404920.0,,,ID4618,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
23,,13.25,13.0,1813920.0,,,ID4163,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
24,,13.25,5.0,1973040.0,,,ID4287,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
25,,13.25,5.0,1221780.0,,,ID4493,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
26,,10.25,25.0,141300.0,,,ID4873,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
