type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload
Role_10,2.1838705E7,9.359445E7,4.0557595E7,2.495852E7,9.359445E7,5.3036855E7,3.71257985E8,13343.0,24347.0,20024.0,16036.0,21537.0,19309.714285714286,135168.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,2.1838705E7,0.004276856159740241,0.007803988377515975,0.006418329291961222,0.005140048368252605,0.006903293945314065,0.006189377987385241,0.043325645911696686,ID4882,2.8078335E7,24347,3119815,0.007803988377515975,ID4872,6.863593E7,21537,3119815,0.006903293945314065,ID0998,2.1838705E7,21189,3119815,0.0067917488697246476,ID4528,2.495852E7,16036,3119815,0.005140048368252605,ID0420,4.0557595E7,20024,3119815,0.006418329291961222,ID3716,9.359445E7,18692,3119815,0.005991380899187933,ID4618,9.359445E7,13343,3119815,0.004276856159740241,,,,,
Role_11,2.1838705E7,8.4235005E7,2.8078335E7,2.495852E7,6.863593E7,4.6277255833333336E7,2.77663535E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,1.871889E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,2.8078335E7,0,3119815,0.0,ID4355,4.991704E7,0,3119815,0.0,ID4872,6.863593E7,0,3119815,0.0,ID0998,2.1838705E7,0,3119815,0.0,ID4528,2.495852E7,0,3119815,0.0,ID4385,8.4235005E7,0,3119815,0.0,,,,,,,,,,
Role_22,6.5516115E7,6.5516115E7,6.5516115E7,6.5516115E7,6.5516115E7,6.5516115E7,6.5516115E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,6.5516115E7,0,3119815,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,2.495852E7,9.359445E7,5.615667E7,3.4317965E7,7.7995375E7,6.0446415625E7,4.83571325E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,2.495852E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4167,9.359445E7,0,3119815,0.0,ID4641,7.7995375E7,0,3119815,0.0,ID0997,6.5516115E7,0,3119815,0.0,ID4622,4.991704E7,0,3119815,0.0,ID4799,5.615667E7,0,3119815,0.0,ID4932,2.495852E7,0,3119815,0.0,ID4219,3.4317965E7,0,3119815,0.0,ID3846,8.111519E7,0,3119815,0.0
Role_15,6239630.0,7.7995375E7,1.5599075E7,9359445.0,6.5516115E7,3.119815E7,2.1838705E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,2.1838705E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,1.5599075E7,0,3119815,0.0,ID4873,7.7995375E7,0,3119815,0.0,ID0997,6.5516115E7,0,3119815,0.0,ID4326,3.119815E7,0,3119815,0.0,ID4140,1.247926E7,0,3119815,0.0,ID4162,6239630.0,0,3119815,0.0,ID0937,9359445.0,0,3119815,0.0,,,,,
Role_9,2.1838705E7,6.863593E7,2.8078335E7,2.495852E7,4.367741E7,3.821773375E7,3.0574187E8,90065.0,143018.0,118135.0,109294.0,140313.0,124198.5,993588.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,2.495852E7,0.028868698945290025,0.04584182074898672,0.037866027312516926,0.03503220543525818,0.04497478215855748,0.03980957204193198,0.31847657633545584,ID4882,2.8078335E7,118135,3119815,0.037866027312516926,ID4355,4.991704E7,109294,3119815,0.03503220543525818,ID4872,6.863593E7,139782,3119815,0.044804579758735696,ID4445,2.8078335E7,142592,3119815,0.0457052741909376,ID0998,2.1838705E7,143018,3119815,0.04584182074898672,ID4528,2.495852E7,110389,3119815,0.03538318778517316,ID0420,4.0557595E7,140313,3119815,0.04497478215855748,ID4718,4.367741E7,90065,3119815,0.028868698945290025
Role_5,9359445.0,9.359445E7,1.5599075E7,1.5599075E7,4.0557595E7,3.4941928E7,1.7470964E8,946633.0,1011516.0,985312.0,969235.0,1009002.0,984339.6,4921698.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,1.5599075E7,0.30342600442654455,0.3242230709192693,0.31582385494011667,0.31067066476698135,0.3234172539076836,0.3155121697921191,1.5775608489605955,ID4287,1.5599075E7,969235,3119815,0.31067066476698135,ID4618,9.359445E7,1011516,3119815,0.3242230709192693,ID4163,4.0557595E7,1009002,3119815,0.3234172539076836,ID4493,1.5599075E7,985312,3119815,0.31582385494011667,ID0937,9359445.0,946633,3119815,0.30342600442654455,,,,,,,,,,,,,,,
Role_6,6239630.0,8.735482E7,1.5599075E7,6239630.0,6.863593E7,4.445736375E7,1.77829455E8,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,1.247926E7,0.07962010567934316,0.07962010567934316,0.07962010567934316,0.07962010567934316,0.07962010567934316,0.07962010567934316,0.31848042271737265,ID4820,6239630.0,248400,3119815,0.07962010567934316,ID4291,6.863593E7,248400,3119815,0.07962010567934316,ID4491,8.735482E7,248400,3119815,0.07962010567934316,ID4493,1.5599075E7,248400,3119815,0.07962010567934316,,,,,,,,,,,,,,,,,,,,
Role_7,1.5599075E7,8.4235005E7,4.0557595E7,2.495852E7,4.991704E7,4.4067386875E7,3.52539095E8,217590.0,288236.0,230826.0,222224.0,252349.0,246478.625,1971829.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,2.495852E7,0.0697445201077628,0.09238881151606745,0.07398707936207756,0.07122986459132993,0.08088588586182194,0.07900424384138162,0.632033950731053,ID4287,1.5599075E7,230826,3119815,0.07398707936207756,ID4355,4.991704E7,227838,3119815,0.07302933026477532,ID4872,6.863593E7,287043,3119815,0.09200641704716465,ID4445,2.8078335E7,222224,3119815,0.07122986459132993,ID4528,2.495852E7,252349,3119815,0.08088588586182194,ID0420,4.0557595E7,217590,3119815,0.0697445201077628,ID4163,4.0557595E7,245723,3119815,0.07876204198005331,ID4385,8.4235005E7,288236,3119815,0.09238881151606745
Role_8,9359445.0,9.359445E7,4.0557595E7,1.5599075E7,7.1755745E7,4.757717875E7,3.8061743E8,1012672.0,1096408.0,1029246.0,1026064.0,1066805.0,1045458.25,8363666.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,3119815.0,2.495852E7,0.32459360571059503,0.35143365872655913,0.3299061002014543,0.32888616792982917,0.3419449550694512,0.335102642304111,2.680821138432888,ID4287,1.5599075E7,1075316,3119815,0.3446730014439959,ID4167,9.359445E7,1029246,3119815,0.3299061002014543,ID4955,7.1755745E7,1012672,3119815,0.32459360571059503,ID0420,4.0557595E7,1096408,3119815,0.35143365872655913,ID4618,9.359445E7,1026064,3119815,0.32888616792982917,ID4163,4.0557595E7,1031013,3119815,0.3304724799387143,ID4493,1.5599075E7,1026142,3119815,0.3289111694122889,ID0937,9359445.0,1066805,3119815,0.3419449550694512
