type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload,instances_instance_13_id,instances_instance_13_cost,instances_instance_13_time_inUse,instances_instance_13_time_available,instances_instance_13_time_workload,instances_instance_14_id,instances_instance_14_cost,instances_instance_14_time_inUse,instances_instance_14_time_available,instances_instance_14_time_workload,instances_instance_15_id,instances_instance_15_cost,instances_instance_15_time_inUse,instances_instance_15_time_available,instances_instance_15_time_workload
Role_10,7194908.0,3.083532E7,1.3361972E7,8222752.0,3.083532E7,1.7473348E7,1.22313436E8,13343.0,24347.0,20024.0,16036.0,21537.0,19309.714285714286,135168.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,7194908.0,0.012981541946054071,0.02368744673316184,0.019481555566798075,0.015601589346243205,0.020953568829511094,0.018786619648229,0.131506337537603,ID4882,9250596.0,24347,1027844,0.02368744673316184,ID4872,2.2612568E7,21537,1027844,0.020953568829511094,ID0998,7194908.0,21189,1027844,0.02061499604998424,ID4528,8222752.0,16036,1027844,0.015601589346243205,ID0420,1.3361972E7,20024,1027844,0.019481555566798075,ID3716,3.083532E7,18692,1027844,0.01818563906585046,ID4618,3.083532E7,13343,1027844,0.012981541946054071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,7194908.0,2.7751788E7,9250596.0,8222752.0,2.2612568E7,1.5246352666666666E7,9.1478116E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,6167064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,9250596.0,0,1027844,0.0,ID4355,1.6445504E7,0,1027844,0.0,ID4872,2.2612568E7,0,1027844,0.0,ID0998,7194908.0,0,1027844,0.0,ID4528,8222752.0,0,1027844,0.0,ID4385,2.7751788E7,0,1027844,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_22,2.1584724E7,2.1584724E7,2.1584724E7,2.1584724E7,2.1584724E7,2.1584724E7,2.1584724E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,2.1584724E7,0,1027844,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,7194908.0,3.083532E7,2.055688E7,1.1306284E7,2.56961E7,1.8659321846153848E7,2.42571184E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,1.3361972E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID0997,2.1584724E7,0,1027844,0.0,ID4219,1.1306284E7,0,1027844,0.0,ID3846,2.6723944E7,0,1027844,0.0,ID4429,2.56961E7,0,1027844,0.0,ID3718,7194908.0,0,1027844,0.0,ID4167,3.083532E7,0,1027844,0.0,ID4442,8222752.0,0,1027844,0.0,ID4794,2.055688E7,0,1027844,0.0,ID4641,2.56961E7,0,1027844,0.0,ID4622,1.6445504E7,0,1027844,0.0,ID4799,1.8501192E7,0,1027844,0.0,ID4932,8222752.0,0,1027844,0.0,ID4132,2.1584724E7,0,1027844,0.0,,,,,,,,,,,,,,,
Role_15,2055688.0,2.56961E7,5139220.0,3083532.0,2.1584724E7,1.027844E7,7.194908E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,7194908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,5139220.0,0,1027844,0.0,ID4873,2.56961E7,0,1027844,0.0,ID0997,2.1584724E7,0,1027844,0.0,ID4326,1.027844E7,0,1027844,0.0,ID4140,4111376.0,0,1027844,0.0,ID4162,2055688.0,0,1027844,0.0,ID0937,3083532.0,0,1027844,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,3083532.0,2.2612568E7,9250596.0,7194908.0,1.4389816E7,1.1119403272727273E7,1.22313436E8,47056.0,132924.0,95729.0,71975.0,104864.0,89498.18181818182,984480.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,1.1306284E7,0.04578126641786107,0.12932312685582636,0.09313572876817883,0.07002521783461303,0.10202326423075875,0.08707370166891261,0.9578107183580387,ID4287,5139220.0,132924,1027844,0.12932312685582636,ID4882,9250596.0,107277,1027844,0.1043708967508688,ID4355,1.6445504E7,101464,1027844,0.09871536925836995,ID4872,2.2612568E7,47056,1027844,0.04578126641786107,ID4445,9250596.0,102831,1027844,0.10004533761932745,ID0998,7194908.0,104864,1027844,0.10202326423075875,ID4528,8222752.0,82351,1027844,0.08012013496211487,ID0420,1.3361972E7,73764,1027844,0.07176575433626114,ID4163,1.3361972E7,64245,1027844,0.06250462132385848,ID4718,1.4389816E7,95729,1027844,0.09313572876817883,ID0937,3083532.0,71975,1027844,0.07002521783461303,,,,,,,,,,,,,,,,,,,,,,,,,
Role_5,3083532.0,3.083532E7,5139220.0,5139220.0,1.3361972E7,1.15118528E7,5.7559264E7,954293.0,1016572.0,999829.0,970799.0,1006969.0,989692.4,4948462.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,5139220.0,0.9284414755546562,0.9890333552562451,0.9727439183378023,0.9445003327353179,0.9796904977798188,0.962881915932768,4.81440957966384,ID4287,5139220.0,970799,1027844,0.9445003327353179,ID4618,3.083532E7,1006969,1027844,0.9796904977798188,ID4163,1.3361972E7,1016572,1027844,0.9890333552562451,ID4493,5139220.0,954293,1027844,0.9284414755546562,ID0937,3083532.0,999829,1027844,0.9727439183378023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,2055688.0,2.8779632E7,5139220.0,2055688.0,2.2612568E7,1.4646777E7,5.8587108E7,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,4111376.0,0.2416709150415822,0.2416709150415822,0.2416709150415822,0.2416709150415822,0.2416709150415822,0.2416709150415822,0.9666836601663288,ID4820,2055688.0,248400,1027844,0.2416709150415822,ID4291,2.2612568E7,248400,1027844,0.2416709150415822,ID4491,2.8779632E7,248400,1027844,0.2416709150415822,ID4493,5139220.0,248400,1027844,0.2416709150415822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,3083532.0,3.083532E7,1.3361972E7,5139220.0,1.8501192E7,1.3499017866666667E7,2.02485268E8,89470.0,156701.0,130102.0,116198.0,145163.0,128526.8,1927902.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,1.541766E7,0.08704628328812544,0.1524560147259701,0.12657757402874367,0.11305022941224543,0.14123057584614007,0.12504504574624167,1.875675686193625,ID0998,7194908.0,130102,1027844,0.12657757402874367,ID4109,1.7473348E7,115918,1027844,0.11277781453216636,ID4528,8222752.0,145163,1027844,0.14123057584614007,ID4618,3.083532E7,122194,1027844,0.11888379948708169,ID0937,3083532.0,112241,1027844,0.10920042341055647,ID4287,5139220.0,116198,1027844,0.11305022941224543,ID4355,1.6445504E7,122266,1027844,0.11895384902767346,ID4872,2.2612568E7,148827,1027844,0.144795319134032,ID4445,9250596.0,140357,1027844,0.1365547690116399,ID3854,4111376.0,132313,1027844,0.12872867867108237,ID4160,1.8501192E7,156701,1027844,0.1524560147259701,ID0420,1.3361972E7,132097,1027844,0.1285185300493071,ID4163,1.3361972E7,118123,1027844,0.1149230817127891,ID4493,5139220.0,145932,1027844,0.14197874385607154,ID4385,2.7751788E7,89470,1027844,0.08704628328812544,,,,,
Role_8,3083532.0,3.083532E7,1.3361972E7,5139220.0,2.8779632E7,1.7130733333333332E7,1.541766E8,913453.0,1010242.0,948384.0,937441.0,972331.0,957385.8888888889,8616473.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,1027844.0,9250596.0,0.8887078194745506,0.982874833145886,0.9226925486747016,0.9120459914150396,0.9459908312934647,0.931450578968101,8.383055210712909,ID4287,5139220.0,913453,1027844,0.8887078194745506,ID4167,3.083532E7,972331,1027844,0.9459908312934647,ID4955,2.3640412E7,932047,1027844,0.9067981133323734,ID0420,1.3361972E7,967097,1027844,0.940898618856558,ID4529,2.8779632E7,1010242,1027844,0.982874833145886,ID4618,3.083532E7,988132,1027844,0.9613637867224988,ID4163,1.3361972E7,947346,1027844,0.921682667797837,ID4493,5139220.0,948384,1027844,0.9226925486747016,ID0937,3083532.0,937441,1027844,0.9120459914150396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
