type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload,instances_instance_13_id,instances_instance_13_cost,instances_instance_13_time_inUse,instances_instance_13_time_available,instances_instance_13_time_workload,instances_instance_14_id,instances_instance_14_cost,instances_instance_14_time_inUse,instances_instance_14_time_available,instances_instance_14_time_workload,instances_instance_15_id,instances_instance_15_cost,instances_instance_15_time_inUse,instances_instance_15_time_available,instances_instance_15_time_workload,instances_instance_16_id,instances_instance_16_cost,instances_instance_16_time_inUse,instances_instance_16_time_available,instances_instance_16_time_workload,instances_instance_17_id,instances_instance_17_cost,instances_instance_17_time_inUse,instances_instance_17_time_available,instances_instance_17_time_workload,instances_instance_18_id,instances_instance_18_cost,instances_instance_18_time_inUse,instances_instance_18_time_available,instances_instance_18_time_workload
Role_10,1.6995699E7,7.283871E7,3.1563441E7,1.9423656E7,7.283871E7,4.1275269E7,2.88926883E8,16036.0,21189.0,20024.0,17340.0,20350.0,19309.714285714286,135168.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,1.6995699E7,0.006604729820173916,0.008727090306788794,0.008247263028134354,0.007141806877139917,0.008381532292375853,0.007953070950479884,0.05567149665335919,ID4882,2.1851613E7,17340,2427957,0.007141806877139917,ID4872,5.3415054E7,20248,2427957,0.008339521663686796,ID0998,1.6995699E7,21189,2427957,0.008727090306788794,ID4528,1.9423656E7,16036,2427957,0.006604729820173916,ID0420,3.1563441E7,20024,2427957,0.008247263028134354,ID3716,7.283871E7,19981,2427957,0.008229552665059554,ID4618,7.283871E7,20350,2427957,0.008381532292375853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,1.6995699E7,6.5554839E7,2.1851613E7,1.9423656E7,5.3415054E7,3.60146955E7,2.16088173E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,1.4567742E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,2.1851613E7,0,2427957,0.0,ID4355,3.8847312E7,0,2427957,0.0,ID4872,5.3415054E7,0,2427957,0.0,ID0998,1.6995699E7,0,2427957,0.0,ID4528,1.9423656E7,0,2427957,0.0,ID4385,6.5554839E7,0,2427957,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_22,5.0987097E7,5.0987097E7,5.0987097E7,5.0987097E7,5.0987097E7,5.0987097E7,5.0987097E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,5.0987097E7,0,2427957,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,1.6995699E7,7.283871E7,4.855914E7,2.6707527E7,6.0698925E7,4.407675784615385E7,5.72997852E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,3.1563441E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID0997,5.0987097E7,0,2427957,0.0,ID4219,2.6707527E7,0,2427957,0.0,ID3846,6.3126882E7,0,2427957,0.0,ID4429,6.0698925E7,0,2427957,0.0,ID3718,1.6995699E7,0,2427957,0.0,ID4167,7.283871E7,0,2427957,0.0,ID4442,1.9423656E7,0,2427957,0.0,ID4794,4.855914E7,0,2427957,0.0,ID4641,6.0698925E7,0,2427957,0.0,ID4622,3.8847312E7,0,2427957,0.0,ID4799,4.3703226E7,0,2427957,0.0,ID4932,1.9423656E7,0,2427957,0.0,ID4132,5.0987097E7,0,2427957,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_15,4855914.0,6.0698925E7,1.2139785E7,7283871.0,5.0987097E7,2.427957E7,1.6995699E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,1.6995699E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,1.2139785E7,0,2427957,0.0,ID4873,6.0698925E7,0,2427957,0.0,ID0997,5.0987097E7,0,2427957,0.0,ID4326,2.427957E7,0,2427957,0.0,ID4140,9711828.0,0,2427957,0.0,ID4162,4855914.0,0,2427957,0.0,ID0937,7283871.0,0,2427957,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,7283871.0,5.3415054E7,2.1851613E7,1.6995699E7,3.3991398E7,2.6266080272727273E7,2.88926883E8,65815.0,139877.0,84275.0,77721.0,92883.0,90326.18181818182,993588.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,2.6707527E7,0.02710715222716053,0.05761098734450404,0.034710252282062655,0.0320108634543363,0.038255619848292205,0.037202545933960864,0.4092280052735695,ID4287,1.2139785E7,115189,2427957,0.04744276772611706,ID4882,2.1851613E7,139877,2427957,0.05761098734450404,ID4355,3.8847312E7,84275,2427957,0.034710252282062655,ID4872,5.3415054E7,90613,2427957,0.0373206774255063,ID4445,2.1851613E7,77979,2427957,0.03211712563278509,ID0998,1.6995699E7,73136,2427957,0.030122444507872256,ID4528,1.9423656E7,77721,2427957,0.0320108634543363,ID0420,3.1563441E7,92883,2427957,0.038255619848292205,ID4163,3.1563441E7,65815,2427957,0.02710715222716053,ID4718,3.3991398E7,92636,2427957,0.03815388822783929,ID0937,7283871.0,83464,2427957,0.03437622659709377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_5,7283871.0,7.283871E7,1.2139785E7,1.2139785E7,3.1563441E7,2.71931184E7,1.35965592E8,917013.0,1036310.0,989760.0,957140.0,1021475.0,984339.6,4921698.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,1.2139785E7,0.37768914358862204,0.4268238687917455,0.4076513710910037,0.39421620728867934,0.4207137935309398,0.405418876858198,2.02709438429099,ID4287,1.2139785E7,957140,2427957,0.39421620728867934,ID4618,7.283871E7,1021475,2427957,0.4207137935309398,ID4163,3.1563441E7,917013,2427957,0.37768914358862204,ID4493,1.2139785E7,1036310,2427957,0.4268238687917455,ID0937,7283871.0,989760,2427957,0.4076513710910037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,4855914.0,6.7982796E7,1.2139785E7,4855914.0,5.3415054E7,3.459838725E7,1.38393549E8,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,9711828.0,0.10230823692511852,0.10230823692511852,0.10230823692511852,0.10230823692511852,0.10230823692511852,0.10230823692511852,0.4092329477004741,ID4820,4855914.0,248400,2427957,0.10230823692511852,ID4291,5.3415054E7,248400,2427957,0.10230823692511852,ID4491,6.7982796E7,248400,2427957,0.10230823692511852,ID4493,1.2139785E7,248400,2427957,0.10230823692511852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,7283871.0,7.283871E7,3.1563441E7,1.2139785E7,4.3703226E7,3.18871686E7,4.78307529E8,79276.0,153669.0,133607.0,119437.0,144430.0,131455.26666666666,1971829.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,3.6419355E7,0.03265131960739008,0.06329148333351868,0.0550285692868531,0.049192386850343724,0.059486226485889165,0.054142337227004705,0.8121350584050706,ID0998,1.6995699E7,133607,2427957,0.0550285692868531,ID4109,4.1275269E7,144430,2427957,0.059486226485889165,ID4528,1.9423656E7,153669,2427957,0.06329148333351868,ID4618,7.283871E7,131841,2427957,0.05430120879406019,ID0937,7283871.0,133415,2427957,0.054949490456379584,ID4287,1.2139785E7,126913,2427957,0.05227151881190647,ID4355,3.8847312E7,119437,2427957,0.049192386850343724,ID4872,5.3415054E7,114460,2427957,0.047142515291662905,ID4445,2.1851613E7,140289,2427957,0.05778067733489514,ID3854,9711828.0,111913,2427957,0.0460934851811626,ID4160,4.3703226E7,152091,2427957,0.06264155419556441,ID0420,3.1563441E7,138075,2427957,0.056868799570997344,ID4163,3.1563441E7,150130,2427957,0.06183387926557184,ID4493,1.2139785E7,142283,2427957,0.058601943938875356,ID4385,6.5554839E7,79276,2427957,0.03265131960739008,,,,,,,,,,,,,,,,,,,,
Role_8,7283871.0,7.283871E7,3.1563441E7,1.2139785E7,6.7982796E7,4.046595E7,3.6419355E8,880928.0,957056.0,927901.0,921556.0,947424.0,929296.2222222222,8363666.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,2427957.0,2.1851613E7,0.36282685401759585,0.39418161030034715,0.38217357226672466,0.37956026404092,0.39021448897159217,0.38274822092080796,3.4447339882872714,ID4287,1.2139785E7,926604,2427957,0.3816393782921197,ID4167,7.283871E7,927901,2427957,0.38217357226672466,ID4955,5.5843011E7,921556,2427957,0.37956026404092,ID0420,3.1563441E7,947424,2427957,0.39021448897159217,ID4529,6.7982796E7,932459,2427957,0.3840508707526534,ID4618,7.283871E7,880928,2427957,0.36282685401759585,ID4163,3.1563441E7,957056,2427957,0.39418161030034715,ID4493,1.2139785E7,913100,2427957,0.37607750054881534,ID0937,7283871.0,956638,2427957,0.39400944909650376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
