type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload
Role_10,1.5160439E7,6.497331E7,2.8155101E7,1.7326216E7,6.497331E7,3.6818209E7,2.57727463E8,13343.0,24347.0,20024.0,16036.0,21537.0,19309.714285714286,135168.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,1.5160439E7,0.006160837426937307,0.011241692935145216,0.00924564255692068,0.0074042710768467855,0.00994423710289656,0.00891583680393424,0.06241085762753968,ID4882,1.9491993E7,24347,2165777,0.011241692935145216,ID4872,4.7647094E7,21537,2165777,0.00994423710289656,ID0998,1.5160439E7,21189,2165777,0.009783555740041566,ID4528,1.7326216E7,16036,2165777,0.0074042710768467855,ID0420,2.8155101E7,20024,2165777,0.00924564255692068,ID3716,6.497331E7,18692,2165777,0.008630620788751566,ID4618,6.497331E7,13343,2165777,0.006160837426937307
Role_11,1.5160439E7,5.8475979E7,1.9491993E7,1.7326216E7,4.7647094E7,3.2125692166666668E7,1.92754153E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,1.2994662E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,1.9491993E7,0,2165777,0.0,ID4355,3.4652432E7,0,2165777,0.0,ID4872,4.7647094E7,0,2165777,0.0,ID0998,1.5160439E7,0,2165777,0.0,ID4528,1.7326216E7,0,2165777,0.0,ID4385,5.8475979E7,0,2165777,0.0,,,,,
Role_22,4.5481317E7,4.5481317E7,4.5481317E7,4.5481317E7,4.5481317E7,4.5481317E7,4.5481317E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,4.5481317E7,0,2165777,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,1.7326216E7,5.6310202E7,3.8983986E7,2.3823547E7,5.4144425E7,3.867458928571428E7,2.70722125E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,1.5160439E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4641,5.4144425E7,0,2165777,0.0,ID0997,4.5481317E7,0,2165777,0.0,ID4622,3.4652432E7,0,2165777,0.0,ID4799,3.8983986E7,0,2165777,0.0,ID4932,1.7326216E7,0,2165777,0.0,ID4219,2.3823547E7,0,2165777,0.0,ID3846,5.6310202E7,0,2165777,0.0
Role_15,4331554.0,5.4144425E7,1.0828885E7,6497331.0,4.5481317E7,2.165777E7,1.5160439E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,1.5160439E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,1.0828885E7,0,2165777,0.0,ID4873,5.4144425E7,0,2165777,0.0,ID0997,4.5481317E7,0,2165777,0.0,ID4326,2.165777E7,0,2165777,0.0,ID4140,8663108.0,0,2165777,0.0,ID4162,4331554.0,0,2165777,0.0,ID0937,6497331.0,0,2165777,0.0
Role_9,1.5160439E7,4.7647094E7,2.8155101E7,1.7326216E7,3.4652432E7,2.753630757142857E7,1.92754153E8,110387.0,213097.0,137810.0,119953.0,139052.0,141941.14285714287,993588.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,1.5160439E7,0.0509687747168799,0.09839286316181213,0.06363074314668592,0.055385665283175504,0.06420420938997874,0.0655382076996583,0.4587674538976081,ID4882,1.9491993E7,139052,2165777,0.06420420938997874,ID4355,3.4652432E7,135448,2165777,0.06254014148271037,ID4872,4.7647094E7,119953,2165777,0.055385665283175504,ID0998,1.5160439E7,213097,2165777,0.09839286316181213,ID4528,1.7326216E7,137810,2165777,0.06363074314668592,ID0420,2.8155101E7,110387,2165777,0.0509687747168799,ID4718,3.0320878E7,137841,2165777,0.06364505671636554
Role_5,6497331.0,6.497331E7,1.0828885E7,1.0828885E7,2.8155101E7,2.42567024E7,1.21283512E8,927888.0,1033265.0,1002029.0,967423.0,1017857.0,989692.4,4948462.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,1.0828885E7,0.4284319207379153,0.4770874379033483,0.46266490040295005,0.4466863393599618,0.46997313204452723,0.4569687460897406,2.284843730448703,ID4287,1.0828885E7,967423,2165777,0.4466863393599618,ID4618,6.497331E7,1017857,2165777,0.46997313204452723,ID4163,2.8155101E7,1033265,2165777,0.4770874379033483,ID4493,1.0828885E7,927888,2165777,0.4284319207379153,ID0937,6497331.0,1002029,2165777,0.46266490040295005,,,,,,,,,,
Role_6,4331554.0,6.0641756E7,1.0828885E7,4331554.0,4.7647094E7,3.086232225E7,1.23449289E8,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,8663108.0,0.11469324865856458,0.11469324865856458,0.11469324865856458,0.11469324865856458,0.11469324865856458,0.11469324865856458,0.4587729946342583,ID4820,4331554.0,248400,2165777,0.11469324865856458,ID4291,4.7647094E7,248400,2165777,0.11469324865856458,ID4491,6.0641756E7,248400,2165777,0.11469324865856458,ID4493,1.0828885E7,248400,2165777,0.11469324865856458,,,,,,,,,,,,,,,
Role_7,1.0828885E7,5.8475979E7,2.8155101E7,1.7326216E7,4.7647094E7,3.093967142857143E7,2.165777E8,222937.0,310195.0,295871.0,267453.0,309664.0,281689.85714285716,1971829.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,1.5160439E7,0.10293626721495334,0.1432257337666805,0.13661194111859162,0.12349055327487549,0.14298055616991037,0.13006410962110002,0.9104487673477001,ID4287,1.0828885E7,309664,2165777,0.14298055616991037,ID4355,3.4652432E7,310195,2165777,0.1432257337666805,ID4872,4.7647094E7,267453,2165777,0.12349055327487549,ID4445,1.9491993E7,222937,2165777,0.10293626721495334,ID4528,1.7326216E7,267460,2165777,0.12349378537125474,ID0420,2.8155101E7,295871,2165777,0.13661194111859162,ID4385,5.8475979E7,298249,2165777,0.13770993043143406
Role_8,6497331.0,6.497331E7,2.8155101E7,1.0828885E7,6.497331E7,3.0630274714285713E7,2.14411923E8,1167020.0,1222427.0,1198492.0,1170596.0,1205244.0,1194809.4285714286,8363666.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,2165777.0,1.5160439E7,0.5388458737903302,0.5644288400883378,0.5533773791115152,0.5404970133120816,0.5564949669333454,0.5516770325714183,3.8617392279999283,ID4287,1.0828885E7,1167020,2165777,0.5388458737903302,ID4167,6.497331E7,1198492,2165777,0.5533773791115152,ID0420,2.8155101E7,1170596,2165777,0.5404970133120816,ID4618,6.497331E7,1198080,2165777,0.5531871471531926,ID4163,2.8155101E7,1222427,2165777,0.5644288400883378,ID4493,1.0828885E7,1201807,2165777,0.5549080076111252,ID0937,6497331.0,1205244,2165777,0.5564949669333454
