type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload,instances_instance_13_id,instances_instance_13_cost,instances_instance_13_time_inUse,instances_instance_13_time_available,instances_instance_13_time_workload,instances_instance_14_id,instances_instance_14_cost,instances_instance_14_time_inUse,instances_instance_14_time_available,instances_instance_14_time_workload,instances_instance_15_id,instances_instance_15_cost,instances_instance_15_time_inUse,instances_instance_15_time_available,instances_instance_15_time_workload,instances_instance_16_id,instances_instance_16_cost,instances_instance_16_time_inUse,instances_instance_16_time_available,instances_instance_16_time_workload,instances_instance_17_id,instances_instance_17_cost,instances_instance_17_time_inUse,instances_instance_17_time_available,instances_instance_17_time_workload,instances_instance_18_id,instances_instance_18_cost,instances_instance_18_time_inUse,instances_instance_18_time_available,instances_instance_18_time_workload,instances_instance_19_id,instances_instance_19_cost,instances_instance_19_time_inUse,instances_instance_19_time_available,instances_instance_19_time_workload,instances_instance_20_id,instances_instance_20_cost,instances_instance_20_time_inUse,instances_instance_20_time_available,instances_instance_20_time_workload,instances_instance_21_id,instances_instance_21_cost,instances_instance_21_time_inUse,instances_instance_21_time_available,instances_instance_21_time_workload
Role_10,2.2487976E7,9.637704E7,4.1763384E7,2.5700544E7,9.637704E7,5.4613656E7,3.82295592E8,13343.0,24347.0,20024.0,16036.0,21537.0,19309.714285714286,135168.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,2.2487976E7,0.004153375119219266,0.0075786722646804675,0.006233019814677852,0.004991645313033062,0.006703982608305879,0.0060106787734031724,0.042074751413822206,ID4882,2.8913112E7,24347,3212568,0.0075786722646804675,ID4872,7.0676496E7,21537,3212568,0.006703982608305879,ID0998,2.2487976E7,21189,3212568,0.006595658052996855,ID4528,2.5700544E7,16036,3212568,0.004991645313033062,ID0420,4.1763384E7,20024,3212568,0.006233019814677852,ID3716,9.637704E7,18692,3212568,0.005818398240908831,ID4618,9.637704E7,13343,3212568,0.004153375119219266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,2.2487976E7,8.6739336E7,2.8913112E7,2.5700544E7,7.0676496E7,4.7653092E7,2.85918552E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,1.9275408E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,2.8913112E7,0,3212568,0.0,ID4355,5.1401088E7,0,3212568,0.0,ID4872,7.0676496E7,0,3212568,0.0,ID0998,2.2487976E7,0,3212568,0.0,ID4528,2.5700544E7,0,3212568,0.0,ID4385,8.6739336E7,0,3212568,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_22,6.7463928E7,6.7463928E7,6.7463928E7,6.7463928E7,6.7463928E7,6.7463928E7,6.7463928E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,6.7463928E7,0,3212568,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,2.2487976E7,9.637704E7,6.425136E7,3.5338248E7,8.03142E7,5.832046523076923E7,7.58166048E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,4.1763384E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID0997,6.7463928E7,0,3212568,0.0,ID4219,3.5338248E7,0,3212568,0.0,ID3846,8.3526768E7,0,3212568,0.0,ID4429,8.03142E7,0,3212568,0.0,ID3718,2.2487976E7,0,3212568,0.0,ID4167,9.637704E7,0,3212568,0.0,ID4442,2.5700544E7,0,3212568,0.0,ID4794,6.425136E7,0,3212568,0.0,ID4641,8.03142E7,0,3212568,0.0,ID4622,5.1401088E7,0,3212568,0.0,ID4799,5.7826224E7,0,3212568,0.0,ID4932,2.5700544E7,0,3212568,0.0,ID4132,6.7463928E7,0,3212568,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_15,6425136.0,8.03142E7,1.606284E7,9637704.0,6.7463928E7,3.212568E7,2.2487976E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,2.2487976E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,1.606284E7,0,3212568,0.0,ID4873,8.03142E7,0,3212568,0.0,ID0997,6.7463928E7,0,3212568,0.0,ID4326,3.212568E7,0,3212568,0.0,ID4140,1.2850272E7,0,3212568,0.0,ID4162,6425136.0,0,3212568,0.0,ID0937,9637704.0,0,3212568,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,9637704.0,7.0676496E7,2.8913112E7,2.2487976E7,4.4975952E7,3.475414472727273E7,3.82295592E8,71366.0,132288.0,83464.0,77001.0,105507.0,90326.18181818182,993588.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,3.5338248E7,0.02221462705225228,0.04117827233540271,0.025980461736529778,0.023968675526868224,0.032841950738474644,0.028116504247748787,0.30928154672523667,ID4287,1.606284E7,115189,3212568,0.03585573908474467,ID4882,2.8913112E7,132288,3212568,0.04117827233540271,ID4355,5.1401088E7,80318,3212568,0.025001182854339582,ID4872,7.0676496E7,85062,3212568,0.02647788311406949,ID4445,2.8913112E7,78850,3212568,0.02454422754631186,ID0998,2.2487976E7,73136,3212568,0.022765588152530936,ID4528,2.5700544E7,77001,3212568,0.023968675526868224,ID0420,4.1763384E7,105507,3212568,0.032841950738474644,ID4163,4.1763384E7,71366,3212568,0.02221462705225228,ID4718,4.4975952E7,91407,3212568,0.028452938583712468,ID0937,9637704.0,83464,3212568,0.025980461736529778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_5,9637704.0,9.637704E7,1.606284E7,1.606284E7,4.1763384E7,3.59807616E7,1.79903808E8,967140.0,1005825.0,991235.0,979298.0,1004964.0,989692.4,4948462.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,1.606284E7,0.30104888052175083,0.3130906489761462,0.3085491108670696,0.3048333918534954,0.3128226390849937,0.30806893426069115,1.5403446713034556,ID4287,1.606284E7,1005825,3212568,0.3130906489761462,ID4618,9.637704E7,1004964,3212568,0.3128226390849937,ID4163,4.1763384E7,979298,3212568,0.3048333918534954,ID4493,1.606284E7,967140,3212568,0.30104888052175083,ID0937,9637704.0,991235,3212568,0.3085491108670696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,6425136.0,8.9951904E7,1.606284E7,6425136.0,7.0676496E7,4.5779094E7,1.83116376E8,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,1.2850272E7,0.07732132051368251,0.07732132051368251,0.07732132051368251,0.07732132051368251,0.07732132051368251,0.07732132051368251,0.30928528205473005,ID4820,6425136.0,248400,3212568,0.07732132051368251,ID4291,7.0676496E7,248400,3212568,0.07732132051368251,ID4491,8.9951904E7,248400,3212568,0.07732132051368251,ID4493,1.606284E7,248400,3212568,0.07732132051368251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,9637704.0,9.637704E7,4.1763384E7,1.606284E7,5.7826224E7,4.21917264E7,6.32875896E8,79276.0,173795.0,133607.0,123289.0,140671.0,131455.26666666666,1971829.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,4.818852E7,0.02467683174332808,0.05409846577566607,0.04158884730222053,0.03837708649279953,0.0437877112640106,0.040919061220390254,0.6137859183058538,ID0998,2.2487976E7,133607,3212568,0.04158884730222053,ID4109,5.4613656E7,140671,3212568,0.0437877112640106,ID4528,2.5700544E7,133415,3212568,0.041529082030325896,ID4618,9.637704E7,138511,3212568,0.04311535195519597,ID0937,9637704.0,127691,3212568,0.03974732986196713,ID4287,1.606284E7,143837,3212568,0.044773215695356486,ID4355,5.1401088E7,137863,3212568,0.04291364416255158,ID4872,7.0676496E7,119676,3212568,0.03725244103782395,ID4445,2.8913112E7,132430,3212568,0.04122247373440811,ID3854,1.2850272E7,173795,3212568,0.05409846577566607,ID4160,5.7826224E7,141699,3212568,0.04410770449061312,ID0420,4.1763384E7,123289,3212568,0.03837708649279953,ID4163,4.1763384E7,111913,3212568,0.034835994133042475,ID4493,1.606284E7,134156,3212568,0.041759738626544245,ID4385,8.6739336E7,79276,3212568,0.02467683174332808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,9637704.0,9.637704E7,4.1763384E7,1.606284E7,8.9951904E7,5.35428E7,4.818852E8,905570.0,974495.0,926724.0,915331.0,938135.0,929296.2222222222,8363666.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,3212568.0,2.8913112E7,0.281883527445956,0.30333832622375617,0.2884682907879304,0.284921906711391,0.29202027785870993,0.2892689655821206,2.6034206902390857,ID4287,1.606284E7,928255,3212568,0.28894485657579855,ID4167,9.637704E7,905570,3212568,0.281883527445956,ID4955,7.3889064E7,911187,3212568,0.28363197292633185,ID0420,4.1763384E7,944421,3212568,0.2939769679583436,ID4529,8.9951904E7,974495,3212568,0.30333832622375617,ID4618,9.637704E7,915331,3212568,0.284921906711391,ID4163,4.1763384E7,938135,3212568,0.29202027785870993,ID4493,1.606284E7,919548,3212568,0.2862345637508685,ID0937,9637704.0,926724,3212568,0.2884682907879304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
