type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,399648,0.0,,,,,
Role_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,399648,0.0,,,,,
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,399648,0.0,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,399648,0.0,,,,,
Role_8,7992960.0,7992960.0,7992960.0,7992960.0,7992960.0,7992960.0,1.598592E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,799296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,7992960.0,0,399648,0.0,617,7992960.0,0,399648,0.0
Role_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,0.1884183081111378,0.1884183081111378,0.1884183081111378,0.1884183081111378,0.1884183081111378,0.1884183081111378,0.1884183081111378,NOT_SET,0.0,75301,399648,0.1884183081111378,,,,,
Role_2,2797536.0,3596832.0,2797536.0,2797536.0,3596832.0,3197184.0,6394368.0,50561.0,51455.0,50561.0,50561.0,51455.0,51008.0,102016.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,799296.0,0.12651383217231163,0.12875080070462006,0.12651383217231163,0.12651383217231163,0.12875080070462006,0.12763231643846584,0.2552646328769317,322,3596832.0,50561,399648,0.12651383217231163,614,2797536.0,51455,399648,0.12875080070462006
Role_3,1198944.0,4795776.0,1198944.0,1198944.0,4795776.0,2997360.0,5994720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,799296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323,1198944.0,0,399648,0.0,615,4795776.0,0,399648,0.0
Role_4,6394368.0,6394368.0,6394368.0,6394368.0,6394368.0,6394368.0,1.2788736E7,447239.0,449046.0,447239.0,447239.0,449046.0,448142.5,896285.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,799296.0,1.1190822924173272,1.1236037713187605,1.1190822924173272,1.1190822924173272,1.1236037713187605,1.1213430318680437,2.2426860637360875,200,6394368.0,447239,399648,1.1190822924173272,201,6394368.0,449046,399648,1.1236037713187605
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,399648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,399648,0.0,,,,,
