type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload,instances_instance_13_id,instances_instance_13_cost,instances_instance_13_time_inUse,instances_instance_13_time_available,instances_instance_13_time_workload,instances_instance_14_id,instances_instance_14_cost,instances_instance_14_time_inUse,instances_instance_14_time_available,instances_instance_14_time_workload,instances_instance_15_id,instances_instance_15_cost,instances_instance_15_time_inUse,instances_instance_15_time_available,instances_instance_15_time_workload,instances_instance_16_id,instances_instance_16_cost,instances_instance_16_time_inUse,instances_instance_16_time_available,instances_instance_16_time_workload
Role_10,2.1530439E7,9.227331E7,3.9985101E7,2.4606216E7,9.227331E7,5.2288209E7,3.66017463E8,13343.0,24347.0,20024.0,16036.0,21189.0,19309.714285714286,135168.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,2.1530439E7,0.004338090830382046,0.007915723409076796,0.0065102248960181444,0.005213641951285805,0.006888990976914126,0.006277995539245623,0.04394596877471936,ID4882,2.7681993E7,24347,3075777,0.007915723409076796,ID4872,6.7667094E7,20248,3075777,0.006583052022302007,ID0998,2.1530439E7,21189,3075777,0.006888990976914126,ID4528,2.4606216E7,16036,3075777,0.005213641951285805,ID0420,3.9985101E7,20024,3075777,0.0065102248960181444,ID3716,9.227331E7,19981,3075777,0.006496244688740439,ID4618,9.227331E7,13343,3075777,0.004338090830382046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,2.1530439E7,8.3045979E7,2.7681993E7,2.4606216E7,6.7667094E7,4.56240255E7,2.73744153E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,1.8454662E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,2.7681993E7,0,3075777,0.0,ID4355,4.9212432E7,0,3075777,0.0,ID4872,6.7667094E7,0,3075777,0.0,ID0998,2.1530439E7,0,3075777,0.0,ID4528,2.4606216E7,0,3075777,0.0,ID4385,8.3045979E7,0,3075777,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_22,6.4591317E7,6.4591317E7,6.4591317E7,6.4591317E7,6.4591317E7,6.4591317E7,6.4591317E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,6.4591317E7,0,3075777,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,2.1530439E7,9.227331E7,6.151554E7,3.3833547E7,7.6894425E7,5.5837182461538464E7,7.25883372E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,3.9985101E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID0997,6.4591317E7,0,3075777,0.0,ID4219,3.3833547E7,0,3075777,0.0,ID3846,7.9970202E7,0,3075777,0.0,ID4429,7.6894425E7,0,3075777,0.0,ID3718,2.1530439E7,0,3075777,0.0,ID4167,9.227331E7,0,3075777,0.0,ID4442,2.4606216E7,0,3075777,0.0,ID4794,6.151554E7,0,3075777,0.0,ID4641,7.6894425E7,0,3075777,0.0,ID4622,4.9212432E7,0,3075777,0.0,ID4799,5.5363986E7,0,3075777,0.0,ID4932,2.4606216E7,0,3075777,0.0,ID4132,6.4591317E7,0,3075777,0.0,,,,,,,,,,,,,,,,,,,,
Role_15,6151554.0,7.6894425E7,1.5378885E7,9227331.0,6.4591317E7,3.075777E7,2.1530439E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,2.1530439E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,1.5378885E7,0,3075777,0.0,ID4873,7.6894425E7,0,3075777,0.0,ID0997,6.4591317E7,0,3075777,0.0,ID4326,3.075777E7,0,3075777,0.0,ID4140,1.2303108E7,0,3075777,0.0,ID4162,6151554.0,0,3075777,0.0,ID0937,9227331.0,0,3075777,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,9227331.0,6.7667094E7,2.7681993E7,2.1530439E7,4.3060878E7,3.3274314818181816E7,3.66017463E8,73136.0,129893.0,84275.0,76001.0,92883.0,89766.0,987426.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,3.3833547E7,0.023778056731681135,0.0422309549749543,0.027399580658805888,0.024709528681695715,0.030198223083142895,0.02918482061605897,0.3210330267766487,ID4287,1.5378885E7,115189,3075777,0.03745037432817789,ID4882,2.7681993E7,129893,3075777,0.0422309549749543,ID4355,4.9212432E7,84275,3075777,0.027399580658805888,ID4872,6.7667094E7,90613,3075777,0.029460198187319823,ID4445,2.7681993E7,80625,3075777,0.026212888645698307,ID0998,2.1530439E7,73136,3075777,0.023778056731681135,ID4528,2.4606216E7,81622,3075777,0.026537034381881392,ID0420,3.9985101E7,92883,3075777,0.030198223083142895,ID4163,3.9985101E7,76001,3075777,0.024709528681695715,ID4718,4.3060878E7,89911,3075777,0.029231963175483787,ID0937,9227331.0,73278,3075777,0.02382422392780751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_5,9227331.0,9.227331E7,1.5378885E7,1.5378885E7,3.9985101E7,3.44487024E7,1.72243512E8,808251.0,986989.0,946512.0,932253.0,973191.0,929439.2,4647196.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,1.5378885E7,0.2627794537770456,0.3208909488561752,0.30773102211246134,0.30309512035495423,0.31640492792552904,0.3021802946052331,1.5109014730261654,ID4287,1.5378885E7,946512,3075777,0.30773102211246134,ID4618,9.227331E7,973191,3075777,0.31640492792552904,ID4163,3.9985101E7,986989,3075777,0.3208909488561752,ID4493,1.5378885E7,808251,3075777,0.2627794537770456,ID0937,9227331.0,932253,3075777,0.30309512035495423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,6151554.0,8.6121756E7,1.5378885E7,6151554.0,6.7667094E7,4.382982225E7,1.75319289E8,223200.0,226800.0,223200.0,223200.0,223200.0,224100.0,896400.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,1.2303108E7,0.07256702940427735,0.07373746536241087,0.07256702940427735,0.07256702940427735,0.07256702940427735,0.07285963839381074,0.29143855357524295,ID4820,6151554.0,226800,3075777,0.07373746536241087,ID4291,6.7667094E7,223200,3075777,0.07256702940427735,ID4491,8.6121756E7,223200,3075777,0.07256702940427735,ID4493,1.5378885E7,223200,3075777,0.07256702940427735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,9227331.0,9.227331E7,3.9985101E7,1.5378885E7,5.5363986E7,4.03952046E7,6.05928069E8,79276.0,159601.0,133415.0,118132.0,148985.0,130211.73333333334,1953176.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,4.6136655E7,0.025774300282497723,0.05188965259835157,0.04337603148732824,0.03840720572395203,0.04843816700625565,0.042334581906729035,0.6350187286009356,ID0998,2.1530439E7,133607,3075777,0.043438454738428695,ID4109,5.2288209E7,140671,3075777,0.04573511018516622,ID4528,2.4606216E7,153669,3075777,0.049961034236227136,ID4618,9.227331E7,156704,3075777,0.05094777677315358,ID0937,9227331.0,133415,3075777,0.04337603148732824,ID4287,1.5378885E7,118132,3075777,0.03840720572395203,ID4355,4.9212432E7,148985,3075777,0.04843816700625565,ID4872,6.7667094E7,114460,3075777,0.03721336104665585,ID4445,2.7681993E7,120946,3075777,0.039322096497893054,ID3854,1.2303108E7,111913,3075777,0.0363852776062764,ID4160,5.5363986E7,122543,3075777,0.03984131489376506,ID0420,3.9985101E7,138075,3075777,0.04489109581091217,ID4163,3.9985101E7,159601,3075777,0.05188965259835157,ID4493,1.5378885E7,121179,3075777,0.03939784971407225,ID4385,8.3045979E7,79276,3075777,0.025774300282497723,,,,,,,,,,
Role_8,9227331.0,9.227331E7,3.9985101E7,1.5378885E7,8.6121756E7,5.126295E7,4.6136655E8,902093.0,937812.0,921585.0,913919.0,935744.0,922441.1111111111,8301970.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,3075777.0,2.7681993E7,0.29328946799459127,0.30490246854697206,0.2996267284656853,0.29713435011705985,0.30423011811324424,0.29990506825140806,2.6991456142626724,ID4287,1.5378885E7,913919,3075777,0.29713435011705985,ID4167,9.227331E7,937722,3075777,0.3048732076480187,ID4955,7.0742871E7,925993,3075777,0.30105986227219983,ID0420,3.9985101E7,935744,3075777,0.30423011811324424,ID4529,8.6121756E7,937812,3075777,0.30490246854697206,ID4618,9.227331E7,919939,3075777,0.29909157913593865,ID4163,3.9985101E7,921585,3075777,0.2996267284656853,ID4493,1.5378885E7,907163,3075777,0.2949378319689626,ID0937,9227331.0,902093,3075777,0.29328946799459127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
