type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload,instances_instance_13_id,instances_instance_13_cost,instances_instance_13_time_inUse,instances_instance_13_time_available,instances_instance_13_time_workload,instances_instance_14_id,instances_instance_14_cost,instances_instance_14_time_inUse,instances_instance_14_time_available,instances_instance_14_time_workload,instances_instance_15_id,instances_instance_15_cost,instances_instance_15_time_inUse,instances_instance_15_time_available,instances_instance_15_time_workload,instances_instance_16_id,instances_instance_16_cost,instances_instance_16_time_inUse,instances_instance_16_time_available,instances_instance_16_time_workload,instances_instance_17_id,instances_instance_17_cost,instances_instance_17_time_inUse,instances_instance_17_time_available,instances_instance_17_time_workload,instances_instance_18_id,instances_instance_18_cost,instances_instance_18_time_inUse,instances_instance_18_time_available,instances_instance_18_time_workload,instances_instance_19_id,instances_instance_19_cost,instances_instance_19_time_inUse,instances_instance_19_time_available,instances_instance_19_time_workload
Role_10,1.195278E7,5.12262E7,2.219802E7,1.366032E7,5.12262E7,2.902818E7,2.0319726E8,16036.0,21537.0,20024.0,17340.0,21189.0,19309.714285714286,135168.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1.195278E7,0.009391288051817234,0.012612881689447977,0.01172681167059044,0.010154959766681893,0.012409079728732562,0.011308498943342052,0.07915949260339436,ID4882,1.536786E7,17340,1707540,0.010154959766681893,ID4872,3.756588E7,21537,1707540,0.012612881689447977,ID0998,1.195278E7,21189,1707540,0.012409079728732562,ID4528,1.366032E7,16036,1707540,0.009391288051817234,ID0420,2.219802E7,20024,1707540,0.01172681167059044,ID3716,5.12262E7,18692,1707540,0.010946742096817645,ID4618,5.12262E7,20350,1707540,0.011917729599306605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,1.195278E7,4.610358E7,1.536786E7,1.366032E7,3.756588E7,2.532851E7,1.5197106E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1.024524E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,1.536786E7,0,1707540,0.0,ID4355,2.732064E7,0,1707540,0.0,ID4872,3.756588E7,0,1707540,0.0,ID0998,1.195278E7,0,1707540,0.0,ID4528,1.366032E7,0,1707540,0.0,ID4385,4.610358E7,0,1707540,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_22,3.585834E7,3.585834E7,3.585834E7,3.585834E7,3.585834E7,3.585834E7,3.585834E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,3.585834E7,0,1707540,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,1.195278E7,5.12262E7,3.41508E7,1.878294E7,4.26885E7,3.099841846153846E7,4.0297944E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,2.219802E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID0997,3.585834E7,0,1707540,0.0,ID4219,1.878294E7,0,1707540,0.0,ID3846,4.439604E7,0,1707540,0.0,ID4429,4.26885E7,0,1707540,0.0,ID3718,1.195278E7,0,1707540,0.0,ID4167,5.12262E7,0,1707540,0.0,ID4442,1.366032E7,0,1707540,0.0,ID4794,3.41508E7,0,1707540,0.0,ID4641,4.26885E7,0,1707540,0.0,ID4622,2.732064E7,0,1707540,0.0,ID4799,3.073572E7,0,1707540,0.0,ID4932,1.366032E7,0,1707540,0.0,ID4132,3.585834E7,0,1707540,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_15,3415080.0,4.26885E7,8537700.0,5122620.0,3.585834E7,1.70754E7,1.195278E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1.195278E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,8537700.0,0,1707540,0.0,ID4873,4.26885E7,0,1707540,0.0,ID0997,3.585834E7,0,1707540,0.0,ID4326,1.70754E7,0,1707540,0.0,ID4140,6830160.0,0,1707540,0.0,ID4162,3415080.0,0,1707540,0.0,ID0937,5122620.0,0,1707540,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,5122620.0,3.756588E7,1.536786E7,1.195278E7,2.390556E7,1.8472478181818184E7,2.0319726E8,47056.0,132924.0,88972.0,71975.0,107277.0,89498.18181818182,984480.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1.878294E7,0.027557773170760275,0.07784532133947082,0.05210536795624114,0.04215128196118392,0.0628254682174356,0.05241351992819016,0.5765487192100918,ID4287,8537700.0,132924,1707540,0.07784532133947082,ID4882,1.536786E7,107277,1707540,0.0628254682174356,ID4355,2.732064E7,104986,1707540,0.06148377197605913,ID4872,3.756588E7,47056,1707540,0.027557773170760275,ID4445,1.536786E7,88972,1707540,0.05210536795624114,ID0998,1.195278E7,90185,1707540,0.05281574662965435,ID4528,1.366032E7,114850,1707540,0.06726050341426848,ID0420,2.219802E7,73764,1707540,0.04319898801785024,ID4163,2.219802E7,64245,1707540,0.037624301626901856,ID4718,2.390556E7,88246,1707540,0.05168019490026588,ID0937,5122620.0,71975,1707540,0.04215128196118392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_5,5122620.0,5.12262E7,8537700.0,8537700.0,2.219802E7,1.9124448E7,9.562224E7,919903.0,1033231.0,1003384.0,974689.0,1017255.0,989692.4,4948462.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,8537700.0,0.5387299858275648,0.6050991484826124,0.5876196165243567,0.5708147393326072,0.595742998699884,0.5796012977734051,2.898006488867025,ID4287,8537700.0,919903,1707540,0.5387299858275648,ID4618,5.12262E7,1033231,1707540,0.6050991484826124,ID4163,2.219802E7,974689,1707540,0.5708147393326072,ID4493,8537700.0,1017255,1707540,0.595742998699884,ID0937,5122620.0,1003384,1707540,0.5876196165243567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,3415080.0,4.781112E7,8537700.0,3415080.0,3.756588E7,2.4332445E7,9.732978E7,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,6830160.0,0.14547243402789978,0.14547243402789978,0.14547243402789978,0.14547243402789978,0.14547243402789978,0.14547243402789978,0.5818897361115991,ID4820,3415080.0,248400,1707540,0.14547243402789978,ID4291,3.756588E7,248400,1707540,0.14547243402789978,ID4491,4.781112E7,248400,1707540,0.14547243402789978,ID4493,8537700.0,248400,1707540,0.14547243402789978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,5122620.0,5.12262E7,2.219802E7,8537700.0,3.073572E7,2.2425692E7,3.3638538E8,89470.0,156701.0,132097.0,116187.0,140357.0,128526.8,1927902.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,2.56131E7,0.05239701558967872,0.09177003174156974,0.07736099886386263,0.06804350117713201,0.082198367241763,0.07527015472551155,1.1290523208826733,ID0998,1.195278E7,116187,1707540,0.06804350117713201,ID4109,2.902818E7,135375,1707540,0.07928071963175094,ID4528,1.366032E7,145163,1707540,0.08501294259578107,ID4618,5.12262E7,122194,1707540,0.07156142755074552,ID0937,5122620.0,127064,1707540,0.07441348372512503,ID4287,8537700.0,111600,1707540,0.06535718050528831,ID4355,2.732064E7,136181,1707540,0.07975274371317802,ID4872,3.756588E7,148827,1707540,0.0871587195614744,ID4445,1.536786E7,140357,1707540,0.082198367241763,ID3854,6830160.0,135486,1707540,0.07934572542956533,ID4160,3.073572E7,156701,1707540,0.09177003174156974,ID0420,2.219802E7,132097,1707540,0.07736099886386263,ID4163,2.219802E7,104725,1707540,0.061330920505522565,ID4493,8537700.0,126475,1707540,0.07406854305023601,ID4385,4.610358E7,89470,1707540,0.05239701558967872,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,5122620.0,5.12262E7,2.219802E7,8537700.0,4.781112E7,2.8459E7,2.56131E8,916887.0,982586.0,962269.0,956614.0,971091.0,957385.8888888889,8616473.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1707540.0,1.536786E7,0.5369637021680312,0.5754395211825198,0.5635411176312122,0.5602293357695867,0.5687076144629115,0.560681383094328,5.046132447848952,ID4287,8537700.0,962269,1707540,0.5635411176312122,ID4167,5.12262E7,927721,1707540,0.5433085022898438,ID4955,3.927342E7,982586,1707540,0.5754395211825198,ID0420,2.219802E7,975266,1707540,0.5711526523536784,ID4529,4.781112E7,961342,1707540,0.5629982313737892,ID4618,5.12262E7,956614,1707540,0.5602293357695867,ID4163,2.219802E7,916887,1707540,0.5369637021680312,ID4493,8537700.0,971091,1707540,0.5687076144629115,ID0937,5122620.0,962697,1707540,0.5637917706173794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
