type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload
Role_10,1.41078924E8,1.81387188E8,1.41078924E8,1.41078924E8,1.81387188E8,1.61233056E8,3.22466112E8,66756.0,68412.0,66756.0,66756.0,68412.0,67584.0,135168.0,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,4.0308264E7,0.0033122736320274175,0.003394440405570431,0.0033122736320274175,0.0033122736320274175,0.003394440405570431,0.003353357018798924,0.006706714037597848,ID4882,1.81387188E8,66756,20154132,0.0033122736320274175,ID0998,1.41078924E8,68412,20154132,0.003394440405570431
Role_11,1.61233056E8,4.43390904E8,1.61233056E8,1.61233056E8,4.43390904E8,3.0231198E8,6.0462396E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,4.0308264E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4872,4.43390904E8,0,20154132,0.0,ID4528,1.61233056E8,0,20154132,0.0
Role_22,4.23236772E8,4.23236772E8,4.23236772E8,4.23236772E8,4.23236772E8,4.23236772E8,4.23236772E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,4.23236772E8,0,20154132,0.0,,,,,
Role_17,2.21695452E8,5.24007432E8,2.21695452E8,2.21695452E8,5.24007432E8,3.72851442E8,7.45702884E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,4.0308264E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4219,2.21695452E8,0,20154132,0.0,ID3846,5.24007432E8,0,20154132,0.0
Role_15,4.0308264E7,2.0154132E8,4.0308264E7,4.0308264E7,2.0154132E8,1.20924792E8,2.41849584E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,4.0308264E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4326,2.0154132E8,0,20154132,0.0,ID4162,4.0308264E7,0,20154132,0.0
Role_9,1.41078924E8,1.81387188E8,1.41078924E8,1.41078924E8,1.81387188E8,1.61233056E8,3.22466112E8,479149.0,514439.0,479149.0,479149.0,514439.0,496794.0,993588.0,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,4.0308264E7,0.023774231507464574,0.025525237206940988,0.023774231507464574,0.023774231507464574,0.025525237206940988,0.02464973435720278,0.04929946871440556,ID4882,1.81387188E8,479149,20154132,0.023774231507464574,ID0998,1.41078924E8,514439,20154132,0.025525237206940988
Role_5,2.62003716E8,6.0462396E8,2.62003716E8,2.62003716E8,6.0462396E8,4.33313838E8,8.66627676E8,2453449.0,2495013.0,2453449.0,2453449.0,2495013.0,2474231.0,4948462.0,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,4.0308264E7,0.12173429250140864,0.12379659912915128,0.12173429250140864,0.12173429250140864,0.12379659912915128,0.12276544581527996,0.2455308916305599,ID4618,6.0462396E8,2453449,20154132,0.12173429250140864,ID4163,2.62003716E8,2495013,20154132,0.12379659912915128
Role_6,4.0308264E7,5.64315696E8,4.0308264E7,4.0308264E7,5.64315696E8,3.0231198E8,6.0462396E8,496800.0,496800.0,496800.0,496800.0,496800.0,496800.0,993600.0,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,4.0308264E7,0.024650032062904025,0.024650032062904025,0.024650032062904025,0.024650032062904025,0.024650032062904025,0.024650032062904025,0.04930006412580805,ID4820,4.0308264E7,496800,20154132,0.024650032062904025,ID4491,5.64315696E8,496800,20154132,0.024650032062904025
Role_7,1.81387188E8,5.44161564E8,1.81387188E8,1.81387188E8,5.44161564E8,3.62774376E8,7.25548752E8,977308.0,994521.0,977308.0,977308.0,994521.0,985914.5,1971829.0,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,4.0308264E7,0.04849169391170009,0.049345761950948815,0.04849169391170009,0.04849169391170009,0.049345761950948815,0.04891872793132446,0.09783745586264891,ID4445,1.81387188E8,977308,20154132,0.04849169391170009,ID4385,5.44161564E8,994521,20154132,0.049345761950948815
Role_8,1.0077066E8,6.0462396E8,1.0077066E8,1.0077066E8,6.0462396E8,3.5269731E8,7.0539462E8,4175940.0,4187726.0,4175940.0,4175940.0,4187726.0,4181833.0,8363666.0,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,2.0154132E7,4.0308264E7,0.20720019100797793,0.20778498424045252,0.20720019100797793,0.20720019100797793,0.20778498424045252,0.20749258762421524,0.4149851752484305,ID4287,1.0077066E8,4175940,20154132,0.20720019100797793,ID4618,6.0462396E8,4187726,20154132,0.20778498424045252
