,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,0.0,,,5.0,1.0,[1],['NOT_SET'],Role 1,,Role_1,,DIGITURNO
1,,19.0,,,7.0,1.0,[1],['22'],Role 2,,Role_2,,TRIAGE
2,,16.0,,,9.0,1.0,[1],['23'],Role 3,,Role_3,,INGRESOADMISION
3,,8.0,,,8.0,1.0,[4],['26'],Role 4,,Role_4,,Folio
4,,0.0,,,6.0,1.0,[1],['NOT_SET'],Role 5,,Role_5,,ATENCIONCONSULTA
5,,0.0,,,0.0,1.0,[1],['NOT_SET'],Role 6,,Role_6,,HOSPITALIZACIONADMISION
6,,0.0,,,4.0,1.0,[1],['NOT_SET'],Role 7,,Role_7,,EGRESOADMISION
7,,14.0,,,1.0,1.0,[1],['27'],Role 8,,Role_8,,SALIDAEGRESO
8,,0.0,,,3.0,1.0,[1],['NOT_SET'],Role 9,,Role_9,,FACTURACIONADMISION
9,,0.0,,,2.0,1.0,[1],['NOT_SET'],Role 10,,Role_10,,SALIDAURGENCIAS
0,,0.0,0.0,163.0,,,,NOT_SET,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,19.0,19.0,274.0,,,,22,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,16.0,16.0,0.0,,,,23,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,8.0,8.0,3924.0,,,,26,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
4,,0.0,0.0,163.0,,,,NOT_SET,Role 5,Role_5,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
5,,0.0,0.0,163.0,,,,NOT_SET,Role 6,Role_6,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
6,,0.0,0.0,163.0,,,,NOT_SET,Role 7,Role_7,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
7,,14.0,14.0,0.0,,,,27,Role 8,Role_8,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
8,,0.0,0.0,163.0,,,,NOT_SET,Role 9,Role_9,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
9,,0.0,0.0,163.0,,,,NOT_SET,Role 10,Role_10,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
