type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload
Role_5,967867.0,1.935734E7,1.4518005E7,6775069.0,1.6453739E7,1.1614404E7,5.807202E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,4839335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,1.6453739E7,0,967867,0.0,245,1.4518005E7,0,967867,0.0,162,967867.0,0,967867,0.0,142,6775069.0,0,967867,0.0,285,1.935734E7,0,967867,0.0
Role_6,5807202.0,1.8389473E7,8710803.0,5807202.0,1.1614404E7,1.00658168E7,5.0329084E7,146453.0,170418.0,157061.0,150880.0,157554.0,156473.2,782366.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,4839335.0,0.15131521169747497,0.17607584513161414,0.1622753952764171,0.15588918725403386,0.16278476278248974,0.16166808042840597,0.8083404021420298,264,8710803.0,146453,967867,0.15131521169747497,68,1.8389473E7,150880,967867,0.15588918725403386,49,5807202.0,157554,967867,0.16278476278248974,70,5807202.0,157061,967867,0.1622753952764171,76,1.1614404E7,170418,967867,0.17607584513161414
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,
Role_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,NOT_SET,0.0,77415,967867,0.0799851632507359,,,,,,,,,,,,,,,,,,,,
Role_2,1935734.0,1.5485872E7,5807202.0,3871468.0,1.3550138E7,8130082.8,4.0650414E7,17649.0,22396.0,20894.0,20091.0,21662.0,20538.4,102692.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,4839335.0,0.01823494343747643,0.02313954293306828,0.021587676819232394,0.020758017372221597,0.022381174272911464,0.02122027096698203,0.10610135483491015,166,1.3550138E7,22396,967867,0.02313954293306828,177,1.5485872E7,20894,967867,0.021587676819232394,2,1935734.0,20091,967867,0.020758017372221597,238,5807202.0,17649,967867,0.01823494343747643,19,3871468.0,21662,967867,0.022381174272911464
Role_3,0.0,1.8389473E7,1.5485872E7,2903601.0,1.7421606E7,1.08401104E7,5.4200552E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,4839335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1.5485872E7,0,967867,0.0,28,1.8389473E7,0,967867,0.0,106,1.7421606E7,0,967867,0.0,NOT_SET,0.0,0,967867,0.0,338,2903601.0,0,967867,0.0
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,
