type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,8487200.0,8487200.0,8487200.0,8487200.0,8487200.0,8487200.0,1.69744E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,848720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,8487200.0,0,424360,0.0,617,8487200.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.1774460363842021,0.1774460363842021,0.1774460363842021,0.1774460363842021,0.1774460363842021,0.1774460363842021,0.1774460363842021,NOT_SET,0.0,75301,424360,0.1774460363842021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_2,2970520.0,3819240.0,2970520.0,2970520.0,3819240.0,3394880.0,6789760.0,50561.0,51455.0,50561.0,50561.0,51455.0,51008.0,102016.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,848720.0,0.11914647940427939,0.12125318126119333,0.11914647940427939,0.11914647940427939,0.12125318126119333,0.12019983033273636,0.24039966066547272,322,3819240.0,50561,424360,0.11914647940427939,614,2970520.0,51455,424360,0.12125318126119333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_3,1273080.0,5092320.0,1273080.0,1273080.0,5092320.0,3182700.0,6365400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,848720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323,1273080.0,0,424360,0.0,615,5092320.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_4,848720.0,7214120.0,3394880.0,2546160.0,6789760.0,4196448.888888889,3.776804E7,81382.0,113362.0,92569.0,89942.0,99765.0,94661.44444444444,851953.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,3819240.0,0.191775850692808,0.26713639362805164,0.21813790178150627,0.21194740314827035,0.2350952021868225,0.2230687257150637,2.0076185314355732,132,2121800.0,81382,424360,0.191775850692808,143,2970520.0,100698,424360,0.237293807144877,200,6789760.0,99765,424360,0.2350952021868225,201,6789760.0,92115,424360,0.21706805542463944,531,5092320.0,113362,424360,0.26713639362805164,18,848720.0,89942,424360,0.21194740314827035,171,2546160.0,85314,424360,0.20104156847959279,616,3394880.0,92569,424360,0.21813790178150627,580,7214120.0,96806,424360,0.22812234894900557
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
